country,continent,is_nato,kpi_name,kpi_value
Kyrgyzstan,Other,0,assets_per_capita,3.710243886158052e-05
Luxembourg,Other,1,assets_per_capita,1.489749036877248e-06
Zambia,Other,0,assets_per_capita,8.942687756537346e-06
Ghana,Other,0,assets_per_capita,1.358809881450487e-06
South Sudan,Other,0,assets_per_capita,1.227987342914049e-05
North Macedonia,Other,1,assets_per_capita,1.404742974178015e-05
Dominican Republic,Other,0,assets_per_capita,1.562520658326012e-05
Nicaragua,Other,0,assets_per_capita,3.56450282374522e-05
Republic of the Congo,Other,0,assets_per_capita,1.426775659207254e-05
Lebanon,Other,0,assets_per_capita,9.879798273160391e-05
Eritrea,Other,0,assets_per_capita,3.215659125000236e-05
Niger,Other,0,assets_per_capita,1.48048133409134e-06
Afghanistan,Other,0,assets_per_capita,1.993940812658493e-07
Namibia,Other,0,assets_per_capita,2.31839809392009e-05
Mauritania,Other,0,assets_per_capita,1.940832339812016e-05
Nepal,Other,0,assets_per_capita,8.675427112965339e-07
Laos,Other,0,assets_per_capita,3.268978052081358e-05
Senegal,Other,0,assets_per_capita,3.289557633553785e-06
Burkina Faso,Other,0,assets_per_capita,1.952938606250211e-06
Montenegro,Other,1,assets_per_capita,6.668344866791476e-05
El Salvador,Other,0,assets_per_capita,1.387903695172901e-05
Botswana,Other,0,assets_per_capita,4.32535129197427e-05
Madagascar,Other,0,assets_per_capita,1.018581852932127e-06
Gabon,Other,0,assets_per_capita,1.873646951963358e-05
Bosnia and Herzegovina,Other,0,assets_per_capita,1.974374722106758e-05
Iceland,Other,1,assets_per_capita,0.0
Panama,Other,0,assets_per_capita,1.856723161010782e-05
Moldova,Other,0,assets_per_capita,1.389071011532623e-06
Somalia,Other,0,assets_per_capita,2.3814511687663e-06
Benin,Other,0,assets_per_capita,9.525719851845118e-07
Kosovo,Other,0,assets_per_capita,0.0
Sierra Leone,Other,0,assets_per_capita,1.315638146445656e-06
Liberia,Other,0,assets_per_capita,1.103499214400518e-06
Suriname,Other,0,assets_per_capita,3.556198763679769e-05
Central African Republic,Other,0,assets_per_capita,1.415689413315302e-06
Beliz,Other,0,assets_per_capita,4.569625459066979e-05
Bhutan,Other,0,assets_per_capita,4.522093819880481e-06
United States,North America,1,power_index_rank_gap,0.0
Russia,Europe,0,power_index_rank_gap,1.0
China,Asia,0,power_index_rank_gap,2.0
India,Asia,0,power_index_rank_gap,3.0
South Korea,Other,0,power_index_rank_gap,4.0
France,Europe,1,power_index_rank_gap,5.0
Japan,Asia,0,power_index_rank_gap,6.0
United Kingdom,Europe,1,power_index_rank_gap,7.0
Turkiye,Other,1,power_index_rank_gap,8.0
Italy,Other,1,power_index_rank_gap,9.0
Brazil,South America,0,power_index_rank_gap,10.0
Germany,Europe,1,power_index_rank_gap,11.0
Indonesia,Other,0,power_index_rank_gap,12.0
Pakistan,Other,0,power_index_rank_gap,13.0
Israel,Other,0,power_index_rank_gap,14.0
Iran,Other,0,power_index_rank_gap,15.0
Australia,Oceania,0,power_index_rank_gap,16.0
Spain,Other,1,power_index_rank_gap,17.0
Egypt,Other,0,power_index_rank_gap,18.0
Ukraine,Other,0,power_index_rank_gap,19.0
Poland,Other,1,power_index_rank_gap,20.0
Taiwan,Other,0,power_index_rank_gap,21.0
Vietnam,Other,0,power_index_rank_gap,22.0
Thailand,Other,0,power_index_rank_gap,23.0
Saudi Arabia,Other,0,power_index_rank_gap,24.0
Sweden,Other,1,power_index_rank_gap,25.0
Algeria,Other,0,power_index_rank_gap,26.0
Canada,North America,1,power_index_rank_gap,27.0
Singapore,Other,0,power_index_rank_gap,28.0
Greece,Other,1,power_index_rank_gap,29.0
North Korea,Other,0,power_index_rank_gap,30.0
Argentina,Other,0,power_index_rank_gap,31.0
Nigeria,Other,0,power_index_rank_gap,32.0
Netherlands,Other,1,power_index_rank_gap,33.0
Myanmar,Other,0,power_index_rank_gap,34.0
Mexico,Other,0,power_index_rank_gap,35.0
Bangladesh,Other,0,power_index_rank_gap,36.0
Portugal,Other,1,power_index_rank_gap,37.0
Norway,Other,1,power_index_rank_gap,38.0
South Africa,Other,0,power_index_rank_gap,39.0
Philippines,Other,0,power_index_rank_gap,40.0
Malaysia,Other,0,power_index_rank_gap,41.0
Colombia,Other,0,power_index_rank_gap,42.0
Iraq,Other,0,power_index_rank_gap,43.0
Denmark,Other,1,power_index_rank_gap,44.0
Switzerland,Other,0,power_index_rank_gap,45.0
Ethiopia,Other,0,power_index_rank_gap,46.0
Finland,Other,1,power_index_rank_gap,47.0
Chile,Other,0,power_index_rank_gap,48.0
Peru,Other,0,power_index_rank_gap,49.0
Venezuela,Other,0,power_index_rank_gap,50.0
Romania,Other,1,power_index_rank_gap,51.0
