Country,Rank,PowerIndex,Total Population,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Total Helicopter Strength,Total Tank Strength,Total Naval Assets,Defense Budget
Finland,48,0.8673,"5,626,414","2,306,830","24,000","870,000",162,27,200,165,"$                        							8,890,000,000"
Chile,49,0.8704,"18,664,652","8,959,033","80,000","40,000",274,86,386,130,"$                        							6,800,000,000"
Peru,50,0.8827,"32,600,249","15,648,120","120,000","386,000",252,112,355,78,"$                        							2,552,000,000"
Venezuela,51,0.9106,"31,250,306","15,625,153","109,000","8,000",224,85,282,41,"$                        							6,060,000,000"
Romania,52,0.9558,"18,148,155","9,437,041","90,000","55,000",148,66,451,18,"$                        							10,230,630,000"
Uzbekistan,53,0.9908,"36,520,593","18,990,708","120,000",0,159,101,470,0,"$                        							6,210,000,000"
United Arab Emirates,54,1.0188,"10,032,213","5,818,684","65,000","130,000",581,250,354,84,"$                        							23,480,000,000"
Czechia,55,1.0313,"10,837,890","5,093,808","30,334","4,900",103,42,20,0,"$                        							9,174,000,000"
Morocco,56,1.0368,"37,387,585","17,946,041","400,000","250,000",271,73,"1,346",100,"$                        							16,100,000,000"
Hungary,57,1.0429,"9,855,745","4,632,200","41,600","20,000",80,50,220,0,"$                        							5,887,250,000"
Kazakhstan,58,1.0433,"20,260,006","9,117,003","110,000","135,000",168,72,353,26,"$                        							5,836,386,000"
Angola,59,1.1045,"37,202,061","7,440,412","107,000",0,278,115,319,32,"$                        							31,200,000,000"
Azerbaijan,60,1.1991,"10,650,239","5,218,617","128,000","306,000",159,87,"1,354",32,"$                        							5,100,000,000"
Belgium,61,1.2201,"11,977,634","4,910,830","26,390","6,600",104,14,0,9,"$                        							14,900,000,000"
Bulgaria,62,1.2522,"6,782,659","3,187,850","36,950","3,000",71,23,334,45,"$                        							2,485,350,000"
Serbia,63,1.2938,"6,652,212","3,259,584","22,500","2,000",115,51,242,30,"$                        							2,770,000,000"
Democratic Republic of the Congo,64,1.3051,"115,403,027","39,237,029","166,580","30,800",56,38,212,16,"$                        							960,000,000"
Cuba,65,1.3345,"10,966,038","5,921,661","50,000","40,000",20,13,194,19,"$                        							3,301,500,000"
Sudan,66,1.3563,"50,467,278","26,747,657","300,000","200,000",183,64,"1,055",10,"$                        							394,700,000"
Austria,67,1.3759,"8,967,982","4,035,592","25,000","125,600",90,41,56,0,"$                        							6,103,900,800"
