country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,fighter_aircraft,fit_for_service,frigates,helicopter_carriers,major_ports_and_terminals,paramilitary,population_reaching_military_age_annually,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km,Power_Score,Power_Rank,Power_Index_Rank_Gap,Total_Assets,Assets_Per_Capita,Budget_to_GDP_Ratio,Continent,Region,Alliance,Military_Readiness_Index,Budget_per_Soldier,Manpower_Density,Tank_Density,Naval_Strength_per_Coastline,Air_Power_Ratio,Logistics_Strength_Index
Dominican Republic,50000,0,540,8,0,376,14,1288,0,810800000,0,0,4034315,0,0,17,30000,97343,2.61616E+11,496,0,19705,0,0,1,0,0,5,48320,79,50,4975294,34,10815857,32,11,17,11,0,50118,73,72,118,1.09E-05,0.003099199,North America,North America,Non-NATO,0.012393678,16216,0.45999998,0.000103477,0.026397516,0.00158,0.418067053
Ecuador,41250,0,5204,0,0,2237,5,2237,6,2376000000,0,0,6738074,2,0,6,1500,329580,2.60213E+11,965,118000,43950,24,5,8,2,0,54,283560,102,46,8422593,30,18309984,310,106,34,20,1500,41436,81,80,186,1.02E-05,0.009130981,South America,South America,Non-NATO,0.02363435,57600,0.46000002,0.000190436,0.013410818,0.002472727,0.163686698
Egypt,440000,0,41012,90,100,2612,62,2450,7,5879500000,0,238,38269053,13,2,31,300000,1668709,1.912E+12,5085,480000,65050,528,1056,11,8,0,3620,1001450,1093,348,45611372,150,111247248,73,962,345,61,3500,444863,11,10,4863,4.37E-05,0.003075052,Africa,Africa,Non-NATO,0.024040313,13362.5,0.410000003,0.003614759,0.06122449,0.002484091,0.073528384
El Salvador,25000,0,1844,15,0,590,10,307,0,334620000,0,0,2512278,0,0,3,15000,145831,71957000000,13,10000,9012,0,0,0,0,0,0,21041,52,30,3181777,14,6628702,27,76,10,4,422,25066,97,96,66,9.96E-06,0.004650277,North America,North America,Non-NATO,0.013931579,13384.8,0.480000006,0,0.045602606,0.00208,0.448980562
Eritrea,120000,0,860,0,6,1840,18,2234,0,198000000,0,1,1598677,0,0,2,0,76127,9702000000,306,130000,16000,22,23,0,0,0,65,117600,20,13,2220385,23,6343956,10,75,1,5,0,120108,44,43,108,1.70E-05,0.020408163,Africa,Africa,Non-NATO,0.156379306,1650,0.350000063,0.000552721,0.010295434,0.000166667,0.138656463
Estonia,7700,0,1685,0,0,657,4,3794,0,1463360000,0,0,456028,0,0,20,10000,13132,57377000000,1441,78800,58412,0,36,0,0,0,0,45228,5,3,584958,8,1193791,26,0,3,2,335,7713,132,131,13,1.09E-05,0.025504296,Europe,Europe,NATO,0.189681335,190046.7532,0.490000343,0,0.002108593,0.000649351,1.33076855
Ethiopia,162000,0,7256,0,7,5925,0,0,0,2097575000,0,25,35327989,0,0,0,0,2726657,3.54604E+11,659,0,120171,40,35,0,0,0,338,1104300,103,33,56904143,0,118550298,57,309,34,8,0,162441,37,36,441,3.72E-06,0.00591526,Africa,Africa,Non-NATO,0.004585599,12947.99383,0.48,0.000306076,,0.000635802,0.109417731
Finland,24000,0,11704,0,0,2563,8,1250,0,6779661000,0,54,1912981,0,0,37,53800,56264,3.21126E+11,5918,870000,454000,76,107,1,0,0,200,338145,163,27,2306830,264,5626414,98,667,77,11,8000,24627,100,99,627,0.000111439,0.021112152,Europe,Europe,NATO,0.467333445,282485.875,0.410000046,0.000591462,0.2112,0.006791667,1.383779148
France,200000,1,110932,0,68,4072,20,4853,0,55000000000,11,226,23794358,11,3,66,150000,752121,3.764E+12,27860,26000,1053215,9,96,44,9,16,215,643801,976,448,30084820,129,68374591,689,0,141,119,8501,201320,26,25,1320,1.93E-05,0.014612115,Europe,Europe,NATO,0.00949805,275000,0.439999999,0.000333954,0.026581496,0.00488,1.692411164
Gabon,4800,0,424,0,0,3261,4,885,0,274820000,0,6,532758,0,0,9,2500,46647,48201000000,649,0,14300,14,0,0,0,0,0,267667,24,15,932940,5,2455105,40,0,0,3,1600,4829,136,135,29,1.18E-05,0.005701541,Africa,Africa,Non-NATO,0.009009719,57254.16667,0.380000041,0,0.005649718,0.005,0.061826822
