country,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km
Iran,"88,386,937","49,496,685","41,541,860","1,414,191","610,000","350,000","220,000",551,188,21,86,103,10,6,129,13,"2,675","75,939",424,"1,803","1,550",109,"283,516",0,0,25,0,7,3,21,1,"$                        							9,230,000,000","$                        							6,759,000,000","$                        							1,486,000,000,000","$                        							120,600,000,000",177,"28,575,000",18,965,"8,484                        						
							km","223,485                        						
							km","4,112,000                        						
							bbl","2,415,000                        						
							bbl","208,600,000,000                        						
							bbl","263,280,000,000                        						
							Cu.M","244,890,000,000                        						
							Cu.M","33,987,000,000,000                        						
							Cu.M","2,209,000                        						
							Cu.M","3,032,000                        						
							mt","1,203,000,000                        						
							Cu.M","1,648,195                        						
							km","2,440                        						
							km","5,894                        						
							km","850                        						
							km"
Turkiye,"84,119,531","42,985,080","36,087,279","1,430,032","481,000","380,000","150,000","1,101",201,0,84,301,27,7,509,111,"2,284","98,193","1,045",635,237,192,"349,739",0,1,14,0,17,9,40,11,"$                        							51,400,000,000","$                        							149,654,000,000","$                        							3,018,000,000,000","$                        							154,744,000,000",116,"36,081,000",54,"1,170","11,497                        						
							km","68,526                        						
							km","83,000                        						
							bbl","1,107,000                        						
							bbl","366,000,000                        						
							bbl","379,701,000                        						
							Cu.M","52,887,000,000                        						
							Cu.M","3,794,000,000                        						
							Cu.M","82,534,000                        						
							Cu.M","124,183,000                        						
							mt","10,975,000,000                        						
							Cu.M","783,562                        						
							km","7,200                        						
							km","2,816                        						
							km","1,200                        						
							km"
Germany,"84,119,100","38,694,786","30,955,829","841,191","184,324","860,000",0,569,127,63,55,16,27,3,292,49,296,"87,338",134,0,33,96,"241,492",0,0,6,0,11,6,54,12,"$                        							127,400,090,000","$                        							6,862,470,230,000","$                        							5,247,000,000,000","$                        							377,936,000,000",840,"43,772,000",35,595,"39,379                        						
							km","830,000                        						
							km","131,000                        						
							bbl","2,062,000                        						
							bbl","115,200,000                        						
							bbl","4,824,000,000                        						
							Cu.M","77,516,000,000                        						
							Cu.M","23,390,000,000                        						
							Cu.M","109,741,000                        						
							Cu.M","140,994,000                        						
							mt","35,400,000,000                        						
							Cu.M","357,022                        						
							km","2,389                        						
							km","3,694                        						
							km","7,300                        						
							km"
Thailand,"69,920,998","36,358,919","27,968,399","1,118,736","360,850","200,000","25,000",496,73,26,52,134,25,0,258,7,744,"52,590",59,595,17,304,"133,523",0,1,0,0,7,5,254,5,"$                        							6,006,660,000","$                        							37,065,000,000","$                        							1,558,000,000,000","$                        							236,934,000,000",105,"40,623,000",21,884,"4,127                        						
							km","180,053                        						
							km","386,000                        						
							bbl","1,397,000                        						
							bbl","252,750,000                        						
							bbl","30,797,000,000                        						
							Cu.M","48,898,000,000                        						
							Cu.M","138,243,000,000                        						
							Cu.M","12,812,000                        						
							Cu.M","42,371,000                        						
							mt","1,063,000,000                        						
							Cu.M","513,120                        						
							km","3,219                        						
							km","5,673                        						
							km","4,000                        						
							km"
United Kingdom,"68,459,055","31,491,165","25,192,932","753,050","141,330","31,940",0,625,103,38,30,201,29,9,262,50,288,"94,064",14,126,43,116,"406,308",2,0,10,6,7,0,26,8,"$                        							88,526,529,585","$                        							10,553,123,900,000","$                        							3,636,000,000,000","$                        							174,598,000,000","1,057","35,359,000",185,868,"16,390                        						
							km","416,461                        						
							km","753,000                        						
							bbl","1,406,000                        						
							bbl","2,500,000,000                        						
							bbl","37,758,000,000                        						
							Cu.M","70,141,000,000                        						
							Cu.M","180,661,000,000                        						
							Cu.M","1,568,000                        						
							Cu.M","7,372,000                        						
							mt","26,000,000                        						
							Cu.M","243,610                        						
							km","12,429                        						
							km","499                        						
							km","3,200                        						
							km"
France,"68,374,591","30,084,820","23,794,358","752,121","264,000","43,444","150,000",974,223,0,118,140,44,15,452,67,427,"110,784",74,0,9,166,"487,471",1,3,9,11,5,0,22,19,"$                        							67,232,395,000","$                        							7,691,315,390,000","$                        							3,732,000,000,000","$                        							282,857,000,000","1,218","31,725,000",66,553,"27,860                        						
							km","1,053,215                        						
							km","80,000                        						
							bbl","1,536,000                        						
							bbl","61,719,000                        						
							bbl","20,132,000                        						
							Cu.M","37,001,000,000                        						
							Cu.M","7,787,000,000                        						
							Cu.M","2,157,000                        						
							Cu.M","12,570,000                        						
							mt","160,000,000                        						
							Cu.M","643,801                        						
							km","4,853                        						
							km","4,072                        						
							km","8,501                        						
							km"
Tanzania,"67,462,121","12,143,182","6,678,750","607,159","25,000",0,"6,500",38,11,0,6,6,0,0,15,0,200,"8,408",0,205,70,12,,0,0,0,0,0,0,10,0,"$                        							1,476,113,361","$                        							17,513,000,000","$                        							246,706,000,000","$                        							5,371,525,000",206,"32,983,000",8,381,"4,097                        						
							km","145,203                        						
							km","0                        						
							bbl","85,000                        						
							bbl","0                        						
							bbl","1,808,000,000                        						
							Cu.M","1,808,000,000                        						
							Cu.M","6,513,000,000                        						
							Cu.M","2,341,000                        						
							Cu.M","740,000                        						
							mt","1,410,000,000                        						
							Cu.M","947,300                        						
							km","1,424                        						
							km","4,161                        						
							km","0                        						
							km"
Italy,"60,964,931","27,434,219","22,191,235","548,684","165,500","18,300","105,000",714,88,65,31,152,22,8,352,37,203,"87,364",64,108,21,285,"387,892",2,0,8,3,14,0,15,10,"$                        							37,325,165,000","$                        							3,025,000,000,000","$                        							3,133,000,000,000","$                        							290,547,000,000",655,"25,828,000",123,"1,276","18,475                        						
							km","228,863                        						
							km","111,000                        						
							bbl","1,245,000                        						
							bbl","497,934,000                        						
							bbl","3,117,000,000                        						
							Cu.M","68,735,000,000                        						
							Cu.M","45,750,000,000                        						
							Cu.M","1,572,000                        						
							Cu.M","12,424,000                        						
							mt","609,999,000                        						
							Cu.M","301,340                        						
							km","7,600                        						
							km","1,836                        						
							km","2,400                        						
							km"
South Africa,"60,442,647","27,803,618","14,989,776","1,027,525","68,731","29,350","50,000",181,2,0,11,81,0,0,87,10,248,"23,024",52,434,201,63,"43,881",0,0,3,0,4,0,42,4,"$                        							2,877,000,000","$                        							93,879,000,000","$                        							870,420,000,000","$                        							65,435,000,000",573,"27,766,000",8,110,"30,400                        						
							km","750,000                        						
							km","88,000                        						
							bbl","609,000                        						
							bbl","15,000,000                        						
							bbl","59,128,000                        						
							Cu.M","4,487,000,000                        						
							Cu.M","0                        						
							Cu.M","239,712,000                        						
							Cu.M","176,095,000                        						
							mt","9,893,000,000                        						
							Cu.M","1,219,090                        						
							km","2,798                        						
							km","5,244                        						
							km","0                        						
							km"
Kenya,"58,246,378","21,551,160","14,037,377","931,942","50,000",0,"25,000",154,17,0,21,30,2,0,84,2,188,"9,114",18,53,0,27,,0,0,0,0,0,0,18,0,"$                        							1,651,803,025","$                        							31,451,000,000","$                        							328,632,000,000","$                        							10,067,000,000",368,"23,781,000",4,26,"3,819                        						
							km","161,452                        						
							km","0                        						
							bbl","113,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","1,453,000                        						
							mt","0                        						
							Cu.M","580,367                        						
							km","536                        						
							km","3,457                        						
							km","0                        						
							km"
Myanmar,"57,527,139","30,489,384","21,975,367","1,035,489","228,000","19,000","55,000",331,70,20,33,120,5,0,86,9,"1,040","11,576",225,"1,680","1,520",239,"89,240",0,0,3,0,6,3,146,2,"$                        							2,815,031,361","$                        							8,748,000,000","$                        							287,559,000,000","$                        							8,590,400,000",74,"22,742,000",7,101,"5,031                        						
							km","157,000                        						
							km","7,000                        						
							bbl","122,000                        						
							bbl","139,000,000                        						
							bbl","16,780,000,000                        						
							Cu.M","3,788,000,000                        						
							Cu.M","637,129,000,000                        						
							Cu.M","1,031,000                        						
							Cu.M","907,000                        						
							mt","252,000,000                        						
							Cu.M","676,578                        						
							km","1,930                        						
							km","6,522                        						
							km","12,800                        						
							km"
South Korea,"52,081,799","26,040,900","21,353,538","416,654","450,000","3,100,000","120,000","1,540",242,98,40,335,35,4,827,113,"1,831","117,460","2,780","5,800",525,215,"427,946",0,2,22,14,18,3,96,14,"$                        							44,800,000,000","$                        							553,871,450,000","$                        							2,607,000,000,000","$                        							418,219,000,000",92,"29,713,000",15,"2,149","3,979                        						
							km","100,428                        						
							km","38,000                        						
							bbl","2,542,000                        						
							bbl","0                        						
							bbl","55,127,000                        						
							Cu.M","59,480,000,000                        						
							Cu.M","7,079,000,000                        						
							Cu.M","16,081,000                        						
							Cu.M","136,817,000                        						
							mt","326,000,000                        						
							Cu.M","99,720                        						
							km","2,413                        						
							km","237                        						
							km","1,600                        						
							km"
Sudan,"50,467,278","26,747,657","17,108,407","1,312,149","300,000","200,000","17,500",183,37,36,13,33,0,0,64,35,"1,055","8,890",100,"1,150",800,10,,0,0,0,0,0,0,10,0,"$                        							394,700,000","$                        							21,650,000,000","$                        							94,420,000,000","$                        							192,348,850",45,"10,949,000",4,14,"7,251                        						
							km","31,000                        						
							km","68,000                        						
							bbl","129,000                        						
							bbl","1,250,000,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","84,951,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","1,861,484                        						
							km","853                        						
							km","6,819                        						
							km","4,068                        						
							km"
Colombia,"49,588,357","24,298,295","19,190,694","843,002","429,000","998,000","150,000",430,16,24,82,72,27,1,255,0,0,"12,780",6,110,0,213,"31,090",0,0,4,0,9,2,158,0,"$                        							15,800,000,000","$                        							108,027,000,000","$                        							978,024,000,000","$                        							61,898,000,000",661,"26,822,000",14,153,"2,141                        						
							km","206,102                        						
							km","800,000                        						
							bbl","374,000                        						
							bbl","2,036,000,000                        						
							bbl","11,290,000,000                        						
							Cu.M","11,451,000,000                        						
							Cu.M","87,782,000,000                        						
							Cu.M","52,376,000                        						
							Cu.M","9,720,000                        						
							mt","4,554,000,000                        						
							Cu.M","1,138,910                        						
							km","3,208                        						
							km","6,672                        						
							km","24,725                        						
							km"
Uganda,"49,283,041","16,756,234","9,905,891","985,661","45,000",0,"10,000",51,6,0,3,12,0,0,30,6,259,"9,702",6,26,12,0,,0,0,0,0,0,0,0,0,"$                        							1,510,000,000","$                        							10,469,000,000","$                        							144,137,000,000","$                        							3,432,750,000",39,"22,829,000",0,0,"1,244                        						
							km","20,544                        						
							km","0                        						
							bbl","44,000                        						
							bbl","2,500,000,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","14,158,000,000                        						
							Cu.M","19                        						
							Cu.M","0                        						
							mt","799,999,000                        						
							Cu.M","241,038                        						
							km","0                        						
							km","2,729                        						
							km","0                        						
							km"
Spain,"47,280,433","21,748,999","17,635,602","330,963","121,802","24,033","78,470",440,136,12,51,108,8,0,169,17,298,"49,324",96,188,0,175,"249,889",1,0,2,0,11,0,112,6,"$                        							39,000,676,350","$                        							2,830,012,130,000","$                        							2,361,000,000,000","$                        							107,774,000,000",365,"24,386,000",52,503,"15,489                        						
							km","150,110                        						
							km","47,000                        						
							bbl","1,325,000                        						
							bbl","150,000,000                        						
							bbl","41,009,000                        						
							Cu.M","32,833,000,000                        						
							Cu.M","2,549,000,000                        						
							Cu.M","1,280,000                        						
							Cu.M","7,388,000                        						
							mt","1,187,000,000                        						
							Cu.M","505,370                        						
							km","4,964                        						
							km","1,953                        						
							km","1,000                        						
							km"
Algeria,"47,022,473","22,570,787","19,185,169","752,360","130,000","150,000","150,000",620,111,42,63,90,10,4,300,74,"1,485","24,920",224,483,188,111,"83,480",0,0,6,0,8,8,75,3,"$                        							25,000,000,000","$                        							4,764,000,000","$                        							722,912,000,000","$                        							83,007,000,000",95,"13,294,000",17,119,"4,020                        						
							km","112,696                        						
							km","1,443,000                        						
							bbl","446,000                        						
							bbl","12,200,000,000                        						
							bbl","100,726,000,000                        						
							Cu.M","47,963,000,000                        						
							Cu.M","4,504,000,000,000                        						
							Cu.M","0                        						
							Cu.M","3,000                        						
							mt","233,000,000                        						
							Cu.M","2,381,740                        						
							km","998                        						
							km","6,734                        						
							km","0                        						
							km"
Argentina,"46,994,384","20,677,529","17,575,900","704,916","108,000","12,370","20,000",241,23,11,25,71,13,2,96,0,362,"22,432",20,172,27,42,"122,128",0,0,2,3,0,6,13,0,"$                        							993,919,790","$                        							74,362,000,000","$                        							1,213,000,000,000","$                        							29,560,000,000",764,"22,286,000",37,201,"17,866                        						
							km","240,000                        						
							km","807,000                        						
							bbl","749,000                        						
							bbl","2,483,000,000                        						
							bbl","43,280,000,000                        						
							Cu.M","46,228,000,000                        						
							Cu.M","396,464,000,000                        						
							Cu.M","869,000                        						
							Cu.M","2,534,000                        						
							mt","799,999,000                        						
							Cu.M","2,780,400                        						
							km","4,989                        						
							km","11,968                        						
							km","11,000                        						
							km"
Iraq,"42,083,436","17,675,043","14,308,368","715,418","193,000",0,"100,000",360,26,36,15,111,17,0,183,39,"1,188","37,496",434,610,572,67,"32,565",0,0,0,0,0,1,55,0,"$                        							8,000,000,000","$                        							15,580,000,000","$                        							585,887,000,000","$                        							100,691,000,000",73,"12,008,000",6,74,"2,272                        						
							km","59,623                        						
							km","4,448,000                        						
							bbl","1,043,000                        						
							bbl","145,019,000,000                        						
							bbl","9,860,000,000                        						
							Cu.M","19,298,000,000                        						
							Cu.M","3,729,000,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","438,317                        						
							km","58                        						
							km","3,809                        						
							km","5,279                        						
							km"
Afghanistan,"40,121,552","15,647,405","8,826,741","842,553","75,000",0,"90,000",5,0,0,2,0,0,0,3,0,0,"3,902",0,0,0,0,,0,0,0,0,0,0,0,0,"$                        							145,000,000","$                        							1,929,750,000","$                        							82,238,000,000","$                        							8,852,092,000",68,"9,133,000",0,0,"0                        						
							km","34,903                        						
							km","0                        						
							bbl","58,000                        						
							bbl","0                        						
							bbl","80,200,000                        						
							Cu.M","80,200,000                        						
							Cu.M","49,554,000,000                        						
							Cu.M","767,000                        						
							Cu.M","503,000                        						
							mt","66,000,000                        						
							Cu.M","652,230                        						
							km","0                        						
							km","5,987                        						
							km","1,200                        						
							km"
Canada,"38,794,813","16,681,770","13,500,595","426,743","63,500","23,000","5,500",354,66,0,29,95,34,6,146,0,74,"21,780",0,0,0,67,"119,637",0,0,4,0,12,0,17,0,"$                        							45,824,959,620","$                        							2,571,113,270,000","$                        							2,341,000,000,000","$                        							119,778,000,000","1,425","22,868,000",284,716,"49,422                        						
							km","1,042,300                        						
							km","5,688,000                        						
							bbl","2,377,000                        						
							bbl","170,300,000,000                        						
							bbl","187,686,000,000                        						
							Cu.M","130,316,000,000                        						
							Cu.M","2,067,126,000,000                        						
							Cu.M","50,687,000                        						
							Cu.M","20,092,000                        						
							mt","6,582,000,000                        						
							Cu.M","9,984,670                        						
							km","202,080                        						
							km","8,893                        						
							km","636                        						
							km"
Poland,"38,746,310","18,985,692","15,576,017","464,956","250,000","350,000","50,000",457,58,12,44,112,11,0,224,29,798,"57,972",593,0,298,63,"55,530",0,0,1,0,2,2,3,29,"$                        							55,865,141,600","$                        							425,641,700,000","$                        							1,649,000,000,000","$                        							223,115,000,000",318,"18,245,000",10,152,"19,461                        						
							km","427,580                        						
							km","24,000                        						
							bbl","743,000                        						
							bbl","113,000,000                        						
							bbl","5,551,000,000                        						
							Cu.M","20,056,000,000                        						
							Cu.M","91,492,000,000                        						
							Cu.M","96,720,000                        						
							Cu.M","99,932,000                        						
							mt","27,758,000,000                        						
							Cu.M","312,685                        						
							km","440                        						
							km","2,845                        						
							km","3,997                        						
							km"
Morocco,"37,387,585","17,946,041","15,254,135","635,589","400,000","250,000","50,000",271,84,0,31,77,4,2,73,6,"1,346","17,594",544,188,185,100,,0,0,0,0,6,1,84,0,"$                        							16,100,000,000","$                        							42,262,000,000","$                        							350,594,000,000","$                        							37,134,000,000",48,"12,475,000",12,94,"2,067                        						
							km","57,300                        						
							km","25                        						
							bbl","296,000                        						
							bbl","684,000                        						
							bbl","82,595,000                        						
							Cu.M","243,201,000                        						
							Cu.M","1,444,000,000                        						
							Cu.M","0                        						
							Cu.M","10,304,000                        						
							mt","96,000,000                        						
							Cu.M","715,550                        						
							km","1,835                        						
							km","2,363                        						
							km","0                        						
							km"
Angola,"37,202,061","7,440,412","3,720,206","372,021","107,000",0,"10,000",278,67,6,32,56,2,0,115,14,319,"2,258",25,575,116,32,,0,0,0,0,0,0,32,0,"$                        							31,200,000,000","$                        							45,299,000,000","$                        							278,239,000,000","$                        							14,243,000,000",107,"15,961,000",21,64,"2,761                        						
							km","76,000                        						
							km","1,175,000                        						
							bbl","121,000                        						
							bbl","7,783,000,000                        						
							bbl","5,514,000,000                        						
							Cu.M","1,397,000,000                        						
							Cu.M","343,002,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","1,246,700                        						
							km","1,600                        						
							km","5,369                        						
							km","1,300                        						
							km"
Saudi Arabia,"36,544,431","19,003,104","17,468,238","621,255","247,000",0,"150,000",917,283,81,49,202,16,22,264,34,"1,085","22,370",380,557,327,32,"49,727",0,0,0,0,7,9,9,3,"$                        							63,988,055,520","$                        							248,171,000,000","$                        							2,213,000,000,000","$                        							463,870,000,000",90,"17,168,000",16,433,"5,410                        						
							km","221,372                        						
							km","11,174,000                        						
							bbl","3,524,000                        						
							bbl","258,600,000,000                        						
							bbl","121,870,000,000                        						
							Cu.M","121,870,000,000                        						
							Cu.M","9,423,000,000,000                        						
							Cu.M","0                        						
							Cu.M","66,000                        						
							mt","0                        						
							Cu.M","2,149,690                        						
							km","2,640                        						
							km","4,272                        						
							km","0                        						
							km"
Uzbekistan,"36,520,593","18,990,708","15,959,499","730,412","120,000",0,"20,000",159,26,13,12,7,0,0,101,34,470,"8,692",177,236,108,0,,0,0,0,0,0,0,0,0,"$                        							6,210,000,000","$                        							25,714,000,000","$                        							379,989,000,000","$                        							41,237,000,000",74,"13,974,000",0,0,"4,642                        						
							km","225,500                        						
							km","64,000                        						
							bbl","111,000                        						
							bbl","594,000,000                        						
							bbl","47,500,000,000                        						
							Cu.M","43,227,000,000                        						
							Cu.M","1,841,000,000,000                        						
							Cu.M","6,379,000                        						
							Cu.M","8,941,000                        						
							mt","1,375,000,000                        						
							Cu.M","447,400                        						
							km","420                        						
							km","6,893                        						
							km","1,100                        						
							km"
Ukraine,"35,661,826","18,187,531","12,731,272","392,280","900,000","4,000,000","100,000",347,88,30,22,72,5,0,140,39,"1,121","45,458",682,625,288,169,"22,266",0,0,0,0,0,0,133,5,"$                        							45,000,000,000","$                        							90,003,000,000","$                        							577,583,000,000","$                        							43,781,000,000",152,"20,539,000",26,410,"21,733                        						
							km","169,694                        						
							km","3,000                        						
							bbl","192,000                        						
							bbl","395,000,000                        						
							bbl","18,725,000,000                        						
							Cu.M","22,856,000,000                        						
							Cu.M","1,104,000,000,000                        						
							Cu.M","19,603,000                        						
							Cu.M","25,012,000                        						
							mt","34,375,000,000                        						
							Cu.M","603,550                        						
							km","2,782                        						
							km","5,581                        						
							km","1,672                        						
							km"
Ghana,"34,589,092","14,873,310","9,961,658","622,604","15,500",0,0,18,0,0,2,5,2,0,9,0,0,"3,648",0,6,6,20,,0,0,0,0,0,0,20,0,"$                        							954,423,756","$                        							29,241,000,000","$                        							243,124,000,000","$                        							3,624,000,000",11,"13,927,000",4,52,"947                        						
							km","65,725                        						
							km","176,000                        						
							bbl","96,000                        						
							bbl","660,000,000                        						
							bbl","3,192,000,000                        						
							Cu.M","3,912,000,000                        						
							Cu.M","22,653,000,000                        						
							Cu.M","0                        						
							Cu.M","51,000                        						
							mt","0                        						
							Cu.M","238,533                        						
							km","539                        						
							km","2,420                        						
							km","1,293                        						
							km"
Malaysia,"34,564,810","16,245,461","13,480,276","553,037","113,000","51,600","100,000",132,25,11,15,31,6,4,45,0,48,"15,415",0,196,36,100,"67,735",0,0,2,0,2,4,72,4,"$                        							5,100,000,000","$                        							8,748,000,000","$                        							1,212,000,000,000","$                        							116,229,000,000",100,"18,264,000",35,"1,750","1,851                        						
							km","144,403                        						
							km","582,000                        						
							bbl","672,000                        						
							bbl","3,600,000,000                        						
							bbl","75,456,000,000                        						
							Cu.M","42,499,000,000                        						
							Cu.M","1,189,000,000,000                        						
							Cu.M","4,476,000                        						
							Cu.M","35,741,000                        						
							mt","226,000,000                        						
							Cu.M","329,847                        						
							km","4,675                        						
							km","2,742                        						
							km","7,200                        						
							km"
Mozambique,"33,350,954","14,674,420","7,770,772","533,615","11,200",0,"3,000",23,8,2,5,1,0,0,7,2,60,"3,488",0,104,12,36,,0,0,0,0,0,0,36,0,"$                        							480,000,000","$                        							8,274,000,000","$                        							51,786,000,000","$                        							3,843,000,000",92,"15,173,000",11,36,"4,787                        						
							km","30,562                        						
							km","0                        						
							bbl","42,000                        						
							bbl","0                        						
							bbl","5,388,000,000                        						
							Cu.M","1,347,000,000                        						
							Cu.M","2,832,000,000,000                        						
							Cu.M","10,583,000                        						
							Cu.M","13,000                        						
							mt","1,792,000,000                        						
							Cu.M","799,380                        						
							km","2,470                        						
							km","4,783                        						
							km","460                        						
							km"
Peru,"32,600,249","15,648,120","12,681,497","619,405","120,000","386,000","60,000",252,15,22,39,68,12,0,112,16,355,"9,168",12,290,61,78,"171,629",0,0,6,0,7,8,13,0,"$                        							2,552,000,000","$                        							38,102,000,000","$                        							535,911,000,000","$                        							79,246,000,000",174,"18,918,000",20,111,"1,855                        						
							km","70,000                        						
							km","118,000                        						
							bbl","255,000                        						
							bbl","858,890,000                        						
							bbl","12,270,000,000                        						
							Cu.M","7,185,000,000                        						
							Cu.M","300,159,000,000                        						
							Cu.M","1,382,000                        						
							Cu.M","973,000                        						
							mt","1,567,000,000                        						
							Cu.M","1,285,216                        						
							km","2,414                        						
							km","7,062                        						
							km","8,808                        						
							km"
Yemen,"32,140,443","12,213,368","9,031,464","610,668","33,350",0,"20,000",160,68,0,3,30,0,0,59,14,0,"1,550",12,60,30,26,,0,0,0,0,0,1,9,0,"$                        							405,187,500","$                        							6,492,000,000","$                        							18,719,000,000","$                        							831,025,575",37,"7,848,000",10,30,"0                        						
							km","71,300                        						
							km","15,000                        						
							bbl","58,000                        						
							bbl","3,000,000,000                        						
							bbl","189,432,000                        						
							Cu.M","189,432,000                        						
							Cu.M","478,555,000,000                        						
							Cu.M","0                        						
							Cu.M","27,000                        						
							mt","0                        						
							Cu.M","527,968                        						
							km","1,906                        						
							km","1,601                        						
							km","0                        						
							km"
Venezuela,"31,250,306","15,625,153","12,812,625","625,006","109,000","8,000","220,000",224,30,0,47,75,3,1,85,10,282,"15,168",60,92,56,41,,0,0,3,0,1,0,26,0,"$                        							6,060,000,000","$                        							121,363,000,000","$                        							110,943,000,000","$                        							9,944,750,000",509,"11,136,000",31,272,"447                        						
							km","96,189                        						
							km","801,000                        						
							bbl","203,000                        						
							bbl","303,806,000,000                        						
							bbl","17,696,000,000                        						
							Cu.M","17,696,000,000                        						
							Cu.M","5,674,000,000,000                        						
							Cu.M","149,000                        						
							Cu.M","80,000                        						
							mt","730,999,000                        						
							Cu.M","912,050                        						
							km","2,800                        						
							km","5,267                        						
							km","7,100                        						
							km"
Nepal,"31,122,387","15,249,970","11,733,140","778,060","98,500","82,000","15,000",17,0,0,7,0,0,0,10,0,0,"1,108",0,14,0,0,,0,0,0,0,0,0,0,0,"$                        							431,355,326","$                        							5,719,000,000","$                        							149,643,000,000","$                        							12,456,000,000",51,"8,435,000",0,0,"59                        						
							km","64,500                        						
							km","0                        						
							bbl","71,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","9,000                        						
							Cu.M","1,091,000                        						
							mt","8,000,000                        						
							Cu.M","147,181                        						
							km","0                        						
							km","3,159                        						
							km","0                        						
							km"
Cameroon,"30,966,105","10,528,476","6,224,187","495,458","38,000",0,"9,000",35,0,0,6,6,2,0,21,0,0,860,18,52,20,19,,0,0,0,0,0,0,19,0,"$                        							835,694,942","$                        							11,112,000,000","$                        							143,264,000,000","$                        							4,882,000,000",37,"11,119,000",7,198,"987                        						
							km","77,589                        						
							km","64,000                        						
							bbl","41,000                        						
							bbl","200,000,000                        						
							bbl","2,595,000,000                        						
							Cu.M","877,058,000                        						
							Cu.M","135,071,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","475,440                        						
							km","400                        						
							km","5,018                        						
							km","0                        						
							km"
Ivory Coast,"29,981,758","12,292,521","7,855,221","569,653","22,000",0,"5,500",22,0,0,3,2,3,0,14,5,0,"1,328",0,4,6,8,,0,0,0,0,0,0,7,0,"$                        							18,200,000","$                        							26,576,000,000","$                        							215,018,000,000","$                        							7,583,484,000",29,"12,595,000",5,25,"660                        						
							km","81,996                        						
							km","29,000                        						
							bbl","87,000                        						
							bbl","100,000,000                        						
							bbl","2,635,000,000                        						
							Cu.M","2,635,000,000                        						
							Cu.M","28,317,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","322,463                        						
							km","515                        						
							km","3,458                        						
							km","980                        						
							km"
Madagascar,"29,452,714","11,192,031","7,952,233","559,602","13,500",0,"8,100",6,0,0,1,0,0,0,5,0,12,316,0,17,0,7,,0,0,0,0,0,0,5,0,"$                        							147,630,000","$                        							3,548,000,000","$                        							52,968,000,000","$                        							2,785,000,000",93,"16,519,000",13,29,"836                        						
							km","31,640                        						
							km","0                        						
							bbl","20,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","472,000                        						
							mt","150,000,000                        						
							Cu.M","587,040                        						
							km","4,828                        						
							km","0                        						
							km","600                        						
							km"
Australia,"26,768,598","11,242,811","9,208,398","294,455","58,910","33,270",0,348,24,71,37,107,31,6,72,22,46,"17,118",0,48,8,45,"199,898",0,2,6,3,7,0,13,3,"$                        							57,350,000,000","$                        							3,770,254,730,000","$                        							1,635,000,000,000","$                        							60,404,000,000","2,257","14,912,000",66,604,"32,606                        						
							km","873,573                        						
							km","386,000                        						
							bbl","1,151,000                        						
							bbl","2,446,000,000                        						
							bbl","153,783,000,000                        						
							Cu.M","50,188,000,000                        						
							Cu.M","3,228,000,000,000                        						
							Cu.M","445,077,000                        						
							Cu.M","95,667,000                        						
							mt","149,472,000,000                        						
							Cu.M","7,741,220                        						
							km","25,760                        						
							km","0                        						
							km","2,000                        						
							km"
