country,region,continent,alliances,metric,value
Somalia,East Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",total_population_by_country,13017273.0
South Sudan,East Africa,Africa,AFRICAN_UNION,total_population_by_country,12703714.0
Bolivia,South America,South America,None,total_population_by_country,12311974.0
Tunisia,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",total_population_by_country,12048847.0
Belgium,Western Europe,Europe,"NATO, EU",total_population_by_country,11977634.0
Jordan,Middle East,Asia,ARAB_LEAGUE,total_population_by_country,11174024.0
Cuba,Caribbean,North America,None,total_population_by_country,10966038.0
Czechia,Eastern Europe,Europe,"NATO, EU",total_population_by_country,10837890.0
Dominican Republic,Caribbean,North America,None,total_population_by_country,10815857.0
Azerbaijan,Eastern Europe,Europe,None,total_population_by_country,10650239.0
Portugal,Southern Europe,Europe,"NATO, EU",total_population_by_country,10639726.0
Sweden,Northern Europe,Europe,"NATO, EU",total_population_by_country,10589835.0
Greece,Southern Europe,Europe,"NATO, EU",total_population_by_country,10461091.0
Tajikistan,Central Asia,Asia,SCO,total_population_by_country,10394063.0
United Arab Emirates,Middle East,Asia,"BRICS, ARAB_LEAGUE",total_population_by_country,10032213.0
Hungary,Eastern Europe,Europe,"NATO, EU",total_population_by_country,9855745.0
Honduras,Central America,North America,None,total_population_by_country,9529188.0
Belarus,Eastern Europe,Europe,SCO,total_population_by_country,9501451.0
Israel,Middle East,Asia,None,total_population_by_country,9402617.0
Sierra Leone,West Africa,Africa,AFRICAN_UNION,total_population_by_country,9121049.0
Austria,Western Europe,Europe,EU,total_population_by_country,8967982.0
Switzerland,Western Europe,Europe,None,total_population_by_country,8860574.0
Laos,Southeast Asia,Asia,ASEAN,total_population_by_country,7953556.0
Paraguay,South America,South America,None,total_population_by_country,7522549.0
Libya,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",total_population_by_country,7361263.0
Bulgaria,Eastern Europe,Europe,"NATO, EU",total_population_by_country,6782659.0
Nicaragua,Central America,North America,None,total_population_by_country,6676948.0
Serbia,Eastern Europe,Europe,None,total_population_by_country,6652212.0
El Salvador,Central America,North America,None,total_population_by_country,6628702.0
