country,region,continent,alliances,metric,value
Austria,Western Europe,Europe,EU,aircraft_total,85.0
Switzerland,Western Europe,Europe,None,aircraft_total,146.0
Laos,Southeast Asia,Asia,ASEAN,aircraft_total,33.0
Paraguay,South America,South America,None,aircraft_total,39.0
Libya,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",aircraft_total,143.0
Bulgaria,Eastern Europe,Europe,"NATO, EU",aircraft_total,65.0
Nicaragua,Central America,North America,None,aircraft_total,17.0
Serbia,Eastern Europe,Europe,None,aircraft_total,110.0
El Salvador,Central America,North America,None,aircraft_total,52.0
Eritrea,East Africa,Africa,AFRICAN_UNION,aircraft_total,20.0
Kyrgyzstan,Central Asia,Asia,SCO,aircraft_total,7.0
Republic of the Congo,Central Africa,Africa,AFRICAN_UNION,aircraft_total,13.0
Singapore,Southeast Asia,Asia,ASEAN,aircraft_total,230.0
Denmark,Northern Europe,Europe,"NATO, EU",aircraft_total,117.0
Turkmenistan,Central Asia,Asia,None,aircraft_total,91.0
Central African Republic,Central Africa,Africa,AFRICAN_UNION,aircraft_total,6.0
Finland,Northern Europe,Europe,"NATO, EU",aircraft_total,163.0
Slovakia,Eastern Europe,Europe,"NATO, EU",aircraft_total,41.0
Norway,Northern Europe,Europe,NATO,aircraft_total,97.0
Liberia,West Africa,Africa,AFRICAN_UNION,aircraft_total,0.0
Lebanon,Middle East,Asia,ARAB_LEAGUE,aircraft_total,80.0
Ireland,Western Europe,Europe,EU,aircraft_total,22.0
New Zealand,Oceania,Oceania,FIVE_EYES,aircraft_total,48.0
Georgia,Eastern Europe,Europe,None,aircraft_total,61.0
Panama,Central America,North America,None,aircraft_total,38.0
Mauritania,West Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",aircraft_total,24.0
Croatia,Southern Europe,Europe,"NATO, EU",aircraft_total,67.0
Oman,Middle East,Asia,ARAB_LEAGUE,aircraft_total,128.0
Bosnia and Herzegovina,Eastern Europe,Europe,None,aircraft_total,22.0
Moldova,Eastern Europe,Europe,None,aircraft_total,3.0
Uruguay,South America,South America,None,aircraft_total,43.0
Mongolia,East Asia,Asia,None,aircraft_total,7.0
Kuwait,Middle East,Asia,ARAB_LEAGUE,aircraft_total,128.0
Albania,Southern Europe,Europe,NATO,aircraft_total,19.0
Armenia,Eastern Europe,Europe,None,aircraft_total,71.0
Namibia,Southern Africa,Africa,AFRICAN_UNION,aircraft_total,34.0
Lithuania,Northern Europe,Europe,"NATO, EU",aircraft_total,9.0
Qatar,Middle East,Asia,ARAB_LEAGUE,aircraft_total,251.0
Gabon,Central Africa,Africa,AFRICAN_UNION,aircraft_total,24.0
Botswana,Southern Africa,Africa,AFRICAN_UNION,aircraft_total,45.0
North Macedonia,Eastern Europe,Europe,NATO,aircraft_total,20.0
Slovenia,Southern Europe,Europe,"NATO, EU",aircraft_total,39.0
Kosovo,Eastern Europe,Europe,None,aircraft_total,0.0
Latvia,Northern Europe,Europe,"NATO, EU",aircraft_total,7.0
Bahrain,Middle East,Asia,ARAB_LEAGUE,aircraft_total,132.0
Estonia,Northern Europe,Europe,"NATO, EU",aircraft_total,5.0
Bhutan,South Asia,Asia,None,aircraft_total,2.0
Luxembourg,Western Europe,Europe,"NATO, EU",aircraft_total,1.0
Suriname,South America,South America,None,aircraft_total,3.0
Montenegro,Southern Europe,Europe,NATO,aircraft_total,11.0
Beliz,Central America,North America,None,aircraft_total,3.0
Iceland,Northern Europe,Europe,NATO,aircraft_total,0.0
China,East Asia,Asia,"BRICS, SCO",armor_tanks_total,6800.0
India,South Asia,Asia,"BRICS, SCO",armor_tanks_total,4201.0
United States,North America,North America,"NATO, FIVE_EYES",armor_tanks_total,4640.0
Indonesia,Southeast Asia,Asia,ASEAN,armor_tanks_total,331.0
Pakistan,South Asia,Asia,SCO,armor_tanks_total,2627.0
Nigeria,West Africa,Africa,AFRICAN_UNION,armor_tanks_total,330.0
Brazil,South America,South America,BRICS,armor_tanks_total,294.0
Bangladesh,South Asia,Asia,None,armor_tanks_total,320.0
Russia,Eastern Europe,Europe,"BRICS, SCO",armor_tanks_total,5750.0
Mexico,Central America,North America,None,armor_tanks_total,0.0
Japan,East Asia,Asia,None,armor_tanks_total,521.0
Ethiopia,East Africa,Africa,"BRICS, AFRICAN_UNION",armor_tanks_total,338.0
Philippines,Southeast Asia,Asia,ASEAN,armor_tanks_total,10.0
Democratic Republic of the Congo,Central Africa,Africa,AFRICAN_UNION,armor_tanks_total,105.0
Egypt,North Africa,Africa,"BRICS, ARAB_LEAGUE, AFRICAN_UNION",armor_tanks_total,3620.0
Vietnam,Southeast Asia,Asia,ASEAN,armor_tanks_total,1374.0
Iran,Middle East,Asia,"BRICS, SCO",armor_tanks_total,1713.0
Turkiye,Middle East,Asia,NATO,armor_tanks_total,2238.0
Germany,Western Europe,Europe,"NATO, EU",armor_tanks_total,296.0
Thailand,Southeast Asia,Asia,ASEAN,armor_tanks_total,635.0
United Kingdom,Western Europe,Europe,"NATO, FIVE_EYES",armor_tanks_total,227.0
France,Western Europe,Europe,"NATO, EU",armor_tanks_total,215.0
Tanzania,East Africa,Africa,AFRICAN_UNION,armor_tanks_total,62.0
Italy,Southern Europe,Europe,"NATO, EU",armor_tanks_total,200.0
South Africa,Southern Africa,Africa,"BRICS, AFRICAN_UNION",armor_tanks_total,252.0
Kenya,East Africa,Africa,AFRICAN_UNION,armor_tanks_total,188.0
Myanmar,Southeast Asia,Asia,ASEAN,armor_tanks_total,445.0
South Korea,East Asia,Asia,None,armor_tanks_total,2236.0
Sudan,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",armor_tanks_total,224.0
Colombia,South America,South America,None,armor_tanks_total,0.0
Uganda,East Africa,Africa,AFRICAN_UNION,armor_tanks_total,259.0
Spain,Southern Europe,Europe,"NATO, EU",armor_tanks_total,317.0
Algeria,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",armor_tanks_total,1485.0
Argentina,South America,South America,None,armor_tanks_total,342.0
Iraq,Middle East,Asia,ARAB_LEAGUE,armor_tanks_total,1025.0
Afghanistan,South Asia,Asia,None,armor_tanks_total,0.0
Canada,North America,North America,"NATO, FIVE_EYES",armor_tanks_total,74.0
Poland,Eastern Europe,Europe,"NATO, EU",armor_tanks_total,614.0
Morocco,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",armor_tanks_total,903.0
Angola,Southern Africa,Africa,AFRICAN_UNION,armor_tanks_total,309.0
Saudi Arabia,Middle East,Asia,"BRICS, ARAB_LEAGUE",armor_tanks_total,840.0
Uzbekistan,Central Asia,Asia,SCO,armor_tanks_total,340.0
Ukraine,Eastern Europe,Europe,None,armor_tanks_total,1114.0
Ghana,West Africa,Africa,AFRICAN_UNION,armor_tanks_total,0.0
Malaysia,Southeast Asia,Asia,ASEAN,armor_tanks_total,48.0
Mozambique,East Africa,Africa,AFRICAN_UNION,armor_tanks_total,30.0
Peru,South America,South America,None,armor_tanks_total,240.0
Yemen,Middle East,Asia,ARAB_LEAGUE,armor_tanks_total,0.0
Venezuela,South America,South America,None,armor_tanks_total,172.0
Nepal,South Asia,Asia,None,armor_tanks_total,0.0
Cameroon,Central Africa,Africa,AFRICAN_UNION,armor_tanks_total,0.0
Ivory Coast,West Africa,Africa,AFRICAN_UNION,armor_tanks_total,5.0
Madagascar,East Africa,Africa,AFRICAN_UNION,armor_tanks_total,6.0
Australia,Oceania,Oceania,FIVE_EYES,armor_tanks_total,59.0
Niger,West Africa,Africa,AFRICAN_UNION,armor_tanks_total,0.0
North Korea,East Asia,Asia,None,armor_tanks_total,4344.0
Syria,Middle East,Asia,ARAB_LEAGUE,armor_tanks_total,365.0
Taiwan,East Asia,Asia,None,armor_tanks_total,888.0
Burkina Faso,West Africa,Africa,AFRICAN_UNION,armor_tanks_total,0.0
Mali,West Africa,Africa,AFRICAN_UNION,armor_tanks_total,10.0
Sri Lanka,South Asia,Asia,None,armor_tanks_total,44.0
Zambia,Southern Africa,Africa,AFRICAN_UNION,armor_tanks_total,35.0
Kazakhstan,Central Asia,Asia,SCO,armor_tanks_total,350.0
Chad,Central Africa,Africa,AFRICAN_UNION,armor_tanks_total,90.0
Senegal,West Africa,Africa,AFRICAN_UNION,armor_tanks_total,0.0
Chile,South America,South America,None,armor_tanks_total,386.0
Ecuador,South America,South America,None,armor_tanks_total,54.0
Guatemala,Central America,North America,None,armor_tanks_total,5.0
Romania,Eastern Europe,Europe,"NATO, EU",armor_tanks_total,328.0
Netherlands,Western Europe,Europe,"NATO, EU",armor_tanks_total,18.0
Zimbabwe,Southern Africa,Africa,AFRICAN_UNION,armor_tanks_total,15.0
Cambodia,Southeast Asia,Asia,ASEAN,armor_tanks_total,644.0
Benin,West Africa,Africa,AFRICAN_UNION,armor_tanks_total,0.0
Somalia,East Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",armor_tanks_total,0.0
South Sudan,East Africa,Africa,AFRICAN_UNION,armor_tanks_total,30.0
Bolivia,South America,South America,None,armor_tanks_total,54.0
Tunisia,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",armor_tanks_total,90.0
Belgium,Western Europe,Europe,"NATO, EU",armor_tanks_total,0.0
Jordan,Middle East,Asia,ARAB_LEAGUE,armor_tanks_total,1458.0
Cuba,Caribbean,North America,None,armor_tanks_total,113.0
Czechia,Eastern Europe,Europe,"NATO, EU",armor_tanks_total,43.0
Dominican Republic,Caribbean,North America,None,armor_tanks_total,5.0
Azerbaijan,Eastern Europe,Europe,None,armor_tanks_total,497.0
Portugal,Southern Europe,Europe,"NATO, EU",armor_tanks_total,34.0
Sweden,Northern Europe,Europe,"NATO, EU",armor_tanks_total,110.0
Greece,Southern Europe,Europe,"NATO, EU",armor_tanks_total,1344.0
Tajikistan,Central Asia,Asia,SCO,armor_tanks_total,38.0
United Arab Emirates,Middle East,Asia,"BRICS, ARAB_LEAGUE",armor_tanks_total,354.0
Hungary,Eastern Europe,Europe,"NATO, EU",armor_tanks_total,209.0
Honduras,Central America,North America,None,armor_tanks_total,11.0
Belarus,Eastern Europe,Europe,SCO,armor_tanks_total,507.0
Israel,Middle East,Asia,None,armor_tanks_total,1300.0
Sierra Leone,West Africa,Africa,AFRICAN_UNION,armor_tanks_total,0.0
Austria,Western Europe,Europe,EU,armor_tanks_total,56.0
Switzerland,Western Europe,Europe,None,armor_tanks_total,205.0
Laos,Southeast Asia,Asia,ASEAN,armor_tanks_total,160.0
Paraguay,South America,South America,None,armor_tanks_total,0.0
Libya,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",armor_tanks_total,43.0
Bulgaria,Eastern Europe,Europe,"NATO, EU",armor_tanks_total,90.0
Nicaragua,Central America,North America,None,armor_tanks_total,89.0
Serbia,Eastern Europe,Europe,None,armor_tanks_total,262.0
El Salvador,Central America,North America,None,armor_tanks_total,0.0
Eritrea,East Africa,Africa,AFRICAN_UNION,armor_tanks_total,65.0
Kyrgyzstan,Central Asia,Asia,SCO,armor_tanks_total,215.0
Republic of the Congo,Central Africa,Africa,AFRICAN_UNION,armor_tanks_total,30.0
Singapore,Southeast Asia,Asia,ASEAN,armor_tanks_total,170.0
Denmark,Northern Europe,Europe,"NATO, EU",armor_tanks_total,44.0
Turkmenistan,Central Asia,Asia,None,armor_tanks_total,654.0
Central African Republic,Central Africa,Africa,AFRICAN_UNION,armor_tanks_total,0.0
Finland,Northern Europe,Europe,"NATO, EU",armor_tanks_total,200.0
Slovakia,Eastern Europe,Europe,"NATO, EU",armor_tanks_total,45.0
Norway,Northern Europe,Europe,NATO,armor_tanks_total,44.0
Liberia,West Africa,Africa,AFRICAN_UNION,armor_tanks_total,0.0
Lebanon,Middle East,Asia,ARAB_LEAGUE,armor_tanks_total,116.0
Ireland,Western Europe,Europe,EU,armor_tanks_total,0.0
New Zealand,Oceania,Oceania,FIVE_EYES,armor_tanks_total,0.0
Georgia,Eastern Europe,Europe,None,armor_tanks_total,123.0
Panama,Central America,North America,None,armor_tanks_total,0.0
Mauritania,West Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",armor_tanks_total,25.0
Croatia,Southern Europe,Europe,"NATO, EU",armor_tanks_total,45.0
Oman,Middle East,Asia,ARAB_LEAGUE,armor_tanks_total,150.0
Bosnia and Herzegovina,Eastern Europe,Europe,None,armor_tanks_total,45.0
Moldova,Eastern Europe,Europe,None,armor_tanks_total,0.0
Uruguay,South America,South America,None,armor_tanks_total,31.0
Mongolia,East Asia,Asia,None,armor_tanks_total,420.0
Kuwait,Middle East,Asia,ARAB_LEAGUE,armor_tanks_total,367.0
Albania,Southern Europe,Europe,NATO,armor_tanks_total,46.0
Armenia,Eastern Europe,Europe,None,armor_tanks_total,109.0
Namibia,Southern Africa,Africa,AFRICAN_UNION,armor_tanks_total,4.0
Lithuania,Northern Europe,Europe,"NATO, EU",armor_tanks_total,0.0
Qatar,Middle East,Asia,ARAB_LEAGUE,armor_tanks_total,99.0
Gabon,Central Africa,Africa,AFRICAN_UNION,armor_tanks_total,0.0
Botswana,Southern Africa,Africa,AFRICAN_UNION,armor_tanks_total,45.0
North Macedonia,Eastern Europe,Europe,NATO,armor_tanks_total,20.0
Slovenia,Southern Europe,Europe,"NATO, EU",armor_tanks_total,54.0
Kosovo,Eastern Europe,Europe,None,armor_tanks_total,0.0
Latvia,Northern Europe,Europe,"NATO, EU",armor_tanks_total,0.0
Bahrain,Middle East,Asia,ARAB_LEAGUE,armor_tanks_total,150.0
Estonia,Northern Europe,Europe,"NATO, EU",armor_tanks_total,0.0
Bhutan,South Asia,Asia,None,armor_tanks_total,0.0
Luxembourg,Western Europe,Europe,"NATO, EU",armor_tanks_total,0.0
Suriname,South America,South America,None,armor_tanks_total,0.0
Montenegro,Southern Europe,Europe,NATO,armor_tanks_total,0.0
Beliz,Central America,North America,None,armor_tanks_total,0.0
Iceland,Northern Europe,Europe,NATO,armor_tanks_total,0.0
China,East Asia,Asia,"BRICS, SCO",navy_ships,754.0
India,South Asia,Asia,"BRICS, SCO",navy_ships,293.0
United States,North America,North America,"NATO, FIVE_EYES",navy_ships,440.0
Indonesia,Southeast Asia,Asia,ASEAN,navy_ships,331.0
Pakistan,South Asia,Asia,SCO,navy_ships,121.0
Nigeria,West Africa,Africa,AFRICAN_UNION,navy_ships,133.0
Brazil,South America,South America,BRICS,navy_ships,64.0
Bangladesh,South Asia,Asia,None,navy_ships,118.0
Russia,Eastern Europe,Europe,"BRICS, SCO",navy_ships,419.0
Mexico,Central America,North America,None,navy_ships,167.0
Japan,East Asia,Asia,None,navy_ships,159.0
Ethiopia,East Africa,Africa,"BRICS, AFRICAN_UNION",navy_ships,0.0
Philippines,Southeast Asia,Asia,ASEAN,navy_ships,113.0
Democratic Republic of the Congo,Central Africa,Africa,AFRICAN_UNION,navy_ships,16.0
Egypt,North Africa,Africa,"BRICS, ARAB_LEAGUE, AFRICAN_UNION",navy_ships,150.0
Vietnam,Southeast Asia,Asia,ASEAN,navy_ships,110.0
Iran,Middle East,Asia,"BRICS, SCO",navy_ships,107.0
Turkiye,Middle East,Asia,NATO,navy_ships,182.0
Germany,Western Europe,Europe,"NATO, EU",navy_ships,61.0
Thailand,Southeast Asia,Asia,ASEAN,navy_ships,293.0
United Kingdom,Western Europe,Europe,"NATO, FIVE_EYES",navy_ships,109.0
France,Western Europe,Europe,"NATO, EU",navy_ships,129.0
Tanzania,East Africa,Africa,AFRICAN_UNION,navy_ships,12.0
Italy,Southern Europe,Europe,"NATO, EU",navy_ships,196.0
South Africa,Southern Africa,Africa,"BRICS, AFRICAN_UNION",navy_ships,49.0
Kenya,East Africa,Africa,AFRICAN_UNION,navy_ships,23.0
Myanmar,Southeast Asia,Asia,ASEAN,navy_ships,232.0
South Korea,East Asia,Asia,None,navy_ships,227.0
Sudan,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",navy_ships,6.0
Colombia,South America,South America,None,navy_ships,233.0
Uganda,East Africa,Africa,AFRICAN_UNION,navy_ships,0.0
Spain,Southern Europe,Europe,"NATO, EU",navy_ships,152.0
Algeria,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",navy_ships,110.0
Argentina,South America,South America,None,navy_ships,44.0
Iraq,Middle East,Asia,ARAB_LEAGUE,navy_ships,68.0
Afghanistan,South Asia,Asia,None,navy_ships,0.0
Canada,North America,North America,"NATO, FIVE_EYES",navy_ships,73.0
Poland,Eastern Europe,Europe,"NATO, EU",navy_ships,62.0
Morocco,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",navy_ships,111.0
Angola,Southern Africa,Africa,AFRICAN_UNION,navy_ships,31.0
Saudi Arabia,Middle East,Asia,"BRICS, ARAB_LEAGUE",navy_ships,32.0
Uzbekistan,Central Asia,Asia,SCO,navy_ships,0.0
Ukraine,Eastern Europe,Europe,None,navy_ships,89.0
Ghana,West Africa,Africa,AFRICAN_UNION,navy_ships,28.0
Malaysia,Southeast Asia,Asia,ASEAN,navy_ships,100.0
Mozambique,East Africa,Africa,AFRICAN_UNION,navy_ships,33.0
Peru,South America,South America,None,navy_ships,71.0
Yemen,Middle East,Asia,ARAB_LEAGUE,navy_ships,33.0
Venezuela,South America,South America,None,navy_ships,34.0
Nepal,South Asia,Asia,None,navy_ships,0.0
Cameroon,Central Africa,Africa,AFRICAN_UNION,navy_ships,51.0
Ivory Coast,West Africa,Africa,AFRICAN_UNION,navy_ships,3.0
Madagascar,East Africa,Africa,AFRICAN_UNION,navy_ships,6.0
Australia,Oceania,Oceania,FIVE_EYES,navy_ships,44.0
Niger,West Africa,Africa,AFRICAN_UNION,navy_ships,0.0
North Korea,East Asia,Asia,None,navy_ships,207.0
Syria,Middle East,Asia,ARAB_LEAGUE,navy_ships,27.0
Taiwan,East Asia,Asia,None,navy_ships,97.0
Burkina Faso,West Africa,Africa,AFRICAN_UNION,navy_ships,0.0
Mali,West Africa,Africa,AFRICAN_UNION,navy_ships,0.0
Sri Lanka,South Asia,Asia,None,navy_ships,270.0
Zambia,Southern Africa,Africa,AFRICAN_UNION,navy_ships,0.0
Kazakhstan,Central Asia,Asia,SCO,navy_ships,26.0
Chad,Central Africa,Africa,AFRICAN_UNION,navy_ships,0.0
Senegal,West Africa,Africa,AFRICAN_UNION,navy_ships,4.0
Chile,South America,South America,None,navy_ships,130.0
Ecuador,South America,South America,None,navy_ships,30.0
Guatemala,Central America,North America,None,navy_ships,25.0
Romania,Eastern Europe,Europe,"NATO, EU",navy_ships,20.0
Netherlands,Western Europe,Europe,"NATO, EU",navy_ships,64.0
Zimbabwe,Southern Africa,Africa,AFRICAN_UNION,navy_ships,0.0
Cambodia,Southeast Asia,Asia,ASEAN,navy_ships,20.0
Benin,West Africa,Africa,AFRICAN_UNION,navy_ships,2.0
Somalia,East Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",navy_ships,10.0
South Sudan,East Africa,Africa,AFRICAN_UNION,navy_ships,0.0
Bolivia,South America,South America,None,navy_ships,67.0
Tunisia,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",navy_ships,58.0
Belgium,Western Europe,Europe,"NATO, EU",navy_ships,9.0
Jordan,Middle East,Asia,ARAB_LEAGUE,navy_ships,27.0
Cuba,Caribbean,North America,None,navy_ships,19.0
Czechia,Eastern Europe,Europe,"NATO, EU",navy_ships,0.0
Dominican Republic,Caribbean,North America,None,navy_ships,34.0
Azerbaijan,Eastern Europe,Europe,None,navy_ships,38.0
Portugal,Southern Europe,Europe,"NATO, EU",navy_ships,194.0
Sweden,Northern Europe,Europe,"NATO, EU",navy_ships,308.0
Greece,Southern Europe,Europe,"NATO, EU",navy_ships,192.0
Tajikistan,Central Asia,Asia,SCO,navy_ships,0.0
United Arab Emirates,Middle East,Asia,"BRICS, ARAB_LEAGUE",navy_ships,181.0
Hungary,Eastern Europe,Europe,"NATO, EU",navy_ships,0.0
Honduras,Central America,North America,None,navy_ships,98.0
Belarus,Eastern Europe,Europe,SCO,navy_ships,0.0
Israel,Middle East,Asia,None,navy_ships,62.0
Sierra Leone,West Africa,Africa,AFRICAN_UNION,navy_ships,7.0
Austria,Western Europe,Europe,EU,navy_ships,0.0
Switzerland,Western Europe,Europe,None,navy_ships,0.0
Laos,Southeast Asia,Asia,ASEAN,navy_ships,36.0
Paraguay,South America,South America,None,navy_ships,72.0
Libya,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",navy_ships,5.0
Bulgaria,Eastern Europe,Europe,"NATO, EU",navy_ships,36.0
Nicaragua,Central America,North America,None,navy_ships,23.0
Serbia,Eastern Europe,Europe,None,navy_ships,20.0
El Salvador,Central America,North America,None,navy_ships,14.0
Eritrea,East Africa,Africa,AFRICAN_UNION,navy_ships,23.0
Kyrgyzstan,Central Asia,Asia,SCO,navy_ships,0.0
Republic of the Congo,Central Africa,Africa,AFRICAN_UNION,navy_ships,4.0
Singapore,Southeast Asia,Asia,ASEAN,navy_ships,50.0
Denmark,Northern Europe,Europe,"NATO, EU",navy_ships,50.0
Turkmenistan,Central Asia,Asia,None,navy_ships,16.0
Central African Republic,Central Africa,Africa,AFRICAN_UNION,navy_ships,0.0
Finland,Northern Europe,Europe,"NATO, EU",navy_ships,264.0
Slovakia,Eastern Europe,Europe,"NATO, EU",navy_ships,0.0
Norway,Northern Europe,Europe,NATO,navy_ships,43.0
Liberia,West Africa,Africa,AFRICAN_UNION,navy_ships,4.0
Lebanon,Middle East,Asia,ARAB_LEAGUE,navy_ships,64.0
Ireland,Western Europe,Europe,EU,navy_ships,8.0
New Zealand,Oceania,Oceania,FIVE_EYES,navy_ships,8.0
Georgia,Eastern Europe,Europe,None,navy_ships,19.0
Panama,Central America,North America,None,navy_ships,30.0
Mauritania,West Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",navy_ships,6.0
Croatia,Southern Europe,Europe,"NATO, EU",navy_ships,30.0
Oman,Middle East,Asia,ARAB_LEAGUE,navy_ships,22.0
Bosnia and Herzegovina,Eastern Europe,Europe,None,navy_ships,0.0
Moldova,Eastern Europe,Europe,None,navy_ships,0.0
Uruguay,South America,South America,None,navy_ships,14.0
Mongolia,East Asia,Asia,None,navy_ships,0.0
Kuwait,Middle East,Asia,ARAB_LEAGUE,navy_ships,123.0
Albania,Southern Europe,Europe,NATO,navy_ships,19.0
Armenia,Eastern Europe,Europe,None,navy_ships,0.0
Namibia,Southern Africa,Africa,AFRICAN_UNION,navy_ships,15.0
Lithuania,Northern Europe,Europe,"NATO, EU",navy_ships,14.0
Qatar,Middle East,Asia,ARAB_LEAGUE,navy_ships,115.0
Gabon,Central Africa,Africa,AFRICAN_UNION,navy_ships,5.0
Botswana,Southern Africa,Africa,AFRICAN_UNION,navy_ships,0.0
North Macedonia,Eastern Europe,Europe,NATO,navy_ships,0.0
Slovenia,Southern Europe,Europe,"NATO, EU",navy_ships,2.0
Kosovo,Eastern Europe,Europe,None,navy_ships,0.0
Latvia,Northern Europe,Europe,"NATO, EU",navy_ships,18.0
Bahrain,Middle East,Asia,ARAB_LEAGUE,navy_ships,64.0
Estonia,Northern Europe,Europe,"NATO, EU",navy_ships,8.0
Bhutan,South Asia,Asia,None,navy_ships,0.0
Luxembourg,Western Europe,Europe,"NATO, EU",navy_ships,0.0
Suriname,South America,South America,None,navy_ships,17.0
Montenegro,Southern Europe,Europe,NATO,navy_ships,14.0
Beliz,Central America,North America,None,navy_ships,8.0
Iceland,Northern Europe,Europe,NATO,navy_ships,0.0
China,East Asia,Asia,"BRICS, SCO",defense_spending_budget,266850000000.0
India,South Asia,Asia,"BRICS, SCO",defense_spending_budget,75000000000.0
United States,North America,North America,"NATO, FIVE_EYES",defense_spending_budget,895000000000.0
Indonesia,Southeast Asia,Asia,ASEAN,defense_spending_budget,10600000000.0
Pakistan,South Asia,Asia,SCO,defense_spending_budget,7640000000.0
Nigeria,West Africa,Africa,AFRICAN_UNION,defense_spending_budget,3160000000.0
Brazil,South America,South America,BRICS,defense_spending_budget,26157300000.0
Bangladesh,South Asia,Asia,None,defense_spending_budget,4374000000.0
Russia,Eastern Europe,Europe,"BRICS, SCO",defense_spending_budget,126000000000.0
Mexico,Central America,North America,None,defense_spending_budget,7600000000.0
Japan,East Asia,Asia,None,defense_spending_budget,57000000000.0
Ethiopia,East Africa,Africa,"BRICS, AFRICAN_UNION",defense_spending_budget,2097575000.0
Philippines,Southeast Asia,Asia,ASEAN,defense_spending_budget,4380000000.0
Democratic Republic of the Congo,Central Africa,Africa,AFRICAN_UNION,defense_spending_budget,796560000.0
Egypt,North Africa,Africa,"BRICS, ARAB_LEAGUE, AFRICAN_UNION",defense_spending_budget,5879500000.0
Vietnam,Southeast Asia,Asia,ASEAN,defense_spending_budget,8594000000.0
Iran,Middle East,Asia,"BRICS, SCO",defense_spending_budget,15450000000.0
Turkiye,Middle East,Asia,NATO,defense_spending_budget,47000000000.0
Germany,Western Europe,Europe,"NATO, EU",defense_spending_budget,50000000000.0
Thailand,Southeast Asia,Asia,ASEAN,defense_spending_budget,5887883500.0
United Kingdom,Western Europe,Europe,"NATO, FIVE_EYES",defense_spending_budget,71500540000.0
France,Western Europe,Europe,"NATO, EU",defense_spending_budget,55000000000.0
Tanzania,East Africa,Africa,AFRICAN_UNION,defense_spending_budget,1406745334.0
Italy,Southern Europe,Europe,"NATO, EU",defense_spending_budget,30890000000.0
South Africa,Southern Africa,Africa,"BRICS, AFRICAN_UNION",defense_spending_budget,2266800000.0
Kenya,East Africa,Africa,AFRICAN_UNION,defense_spending_budget,1307383850.0
Myanmar,Southeast Asia,Asia,ASEAN,defense_spending_budget,2948000000.0
South Korea,East Asia,Asia,None,defense_spending_budget,46300000000.0
Sudan,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",defense_spending_budget,342000000.0
Colombia,South America,South America,None,defense_spending_budget,10541500000.0
Uganda,East Africa,Africa,AFRICAN_UNION,defense_spending_budget,985400000.0
Spain,Southern Europe,Europe,"NATO, EU",defense_spending_budget,23397000000.0
Algeria,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",defense_spending_budget,25000000000.0
Argentina,South America,South America,None,defense_spending_budget,928897000.0
Iraq,Middle East,Asia,ARAB_LEAGUE,defense_spending_budget,7923000000.0
Afghanistan,South Asia,Asia,None,defense_spending_budget,290000000.0
Canada,North America,North America,"NATO, FIVE_EYES",defense_spending_budget,41000000000.0
Poland,Eastern Europe,Europe,"NATO, EU",defense_spending_budget,48700000000.0
Morocco,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",defense_spending_budget,13400000000.0
Angola,Southern Africa,Africa,AFRICAN_UNION,defense_spending_budget,1101360000.0
Saudi Arabia,Middle East,Asia,"BRICS, ARAB_LEAGUE",defense_spending_budget,74760000000.0
Uzbekistan,Central Asia,Asia,SCO,defense_spending_budget,2803500000.0
Ukraine,Eastern Europe,Europe,None,defense_spending_budget,53700000000.0
Ghana,West Africa,Africa,AFRICAN_UNION,defense_spending_budget,308500000.0
Malaysia,Southeast Asia,Asia,ASEAN,defense_spending_budget,4800000000.0
Mozambique,East Africa,Africa,AFRICAN_UNION,defense_spending_budget,412400000.0
Peru,South America,South America,None,defense_spending_budget,3420000000.0
Yemen,Middle East,Asia,ARAB_LEAGUE,defense_spending_budget,810375000.0
Venezuela,South America,South America,None,defense_spending_budget,4093120000.0
Nepal,South Asia,Asia,None,defense_spending_budget,409100000.0
Cameroon,Central Africa,Africa,AFRICAN_UNION,defense_spending_budget,554952283.0
Ivory Coast,West Africa,Africa,AFRICAN_UNION,defense_spending_budget,669600935.0
Madagascar,East Africa,Africa,AFRICAN_UNION,defense_spending_budget,112210000.0
Australia,Oceania,Oceania,FIVE_EYES,defense_spending_budget,55700000000.0
