country,continent,region,is_nato,overall_rank,kpi_name,kpi_value
Sierra Leone,Other,Other,0,129,assets_per_capita,1.74E-05
Austria,Other,Other,0,92,assets_per_capita,0.000836755
Switzerland,Other,Other,0,39,assets_per_capita,0.000833693
Laos,Other,Other,0,70,assets_per_capita,0.000582381
Paraguay,Other,Other,0,57,assets_per_capita,0.000163907
Libya,Other,Other,0,84,assets_per_capita,0.000274817
Bulgaria,Other,Other,1,73,assets_per_capita,0.000756635
Nicaragua,Other,Other,0,99,assets_per_capita,0.000300886
Serbia,Other,Other,0,55,assets_per_capita,0.000619493
El Salvador,Other,Other,0,106,assets_per_capita,0.000292667
Eritrea,Other,Other,0,80,assets_per_capita,0.000154635
Kyrgyzstan,Other,Other,0,86,assets_per_capita,0.000472287
Republic of the Congo,Other,Other,0,136,assets_per_capita,0.00011447
Singapore,Other,Other,0,43,assets_per_capita,0.001578845
Denmark,Other,Other,1,62,assets_per_capita,0.000686574
Turkmenistan,Other,Other,0,91,assets_per_capita,0.001010245
Central African Republic,Other,Other,0,142,assets_per_capita,4.14E-05
Finland,Other,Other,1,20,assets_per_capita,0.002196426
Slovakia,Other,Other,1,119,assets_per_capita,0.000571927
Norway,Other,Other,1,66,assets_per_capita,0.001228553
Liberia,Other,Other,0,138,assets_per_capita,5.59E-05
Lebanon,Other,Other,0,59,assets_per_capita,0.000907077
Ireland,Other,Other,0,118,assets_per_capita,0.000334387
New Zealand,Other,Other,0,113,assets_per_capita,0.000424513
Georgia,Other,Other,0,79,assets_per_capita,0.000742507
Panama,Other,Other,0,90,assets_per_capita,7.90E-05
Mauritania,Other,Other,0,112,assets_per_capita,0.000158732
Croatia,Other,Other,1,87,assets_per_capita,0.000729377
Oman,Other,Other,0,76,assets_per_capita,0.001131473
Bosnia and Herzegovina,Other,Other,0,134,assets_per_capita,0.000212969
Moldova,Other,Other,0,126,assets_per_capita,0.000140296
Uruguay,Other,Other,0,105,assets_per_capita,0.000917284
Mongolia,Other,Other,0,102,assets_per_capita,0.000910815
