country,power_rank,power_index,population,total_military_personnel,active_personnel,reserve_personnel,aircraft,helicopters,tanks,naval_assets,defense_budget
Libya,80,1.7872,7361263,3827857,32000,0,83,22,55,5,1474800000
Paraguay,81,1.7974,7522549,3535598,15650,168500,49,18,10,73,416800000
Bolivia,82,1.8301,12311974,5417269,40000,40000,67,29,54,67,467670000
Cambodia,83,1.8434,17063669,8190561,124300,0,24,20,520,20,750000000
Kenya,84,1.8588,58246378,21551160,50000,0,154,84,188,27,1651803025
Chad,85,1.8594,19093595,6873694,37750,0,40,16,90,0,706800000
Oman,86,1.8823,3901992,1482757,100000,0,128,31,264,17,8364000000
Syria,87,1.8861,23865423,15273871,100000,0,104,39,168,12,145925000
Lithuania,88,1.8949,2628186,1708321,23000,104000,9,4,0,13,5651760000
Tanzania,89,1.9111,67462121,12143182,25000,0,38,15,200,12,1476113361
New Zealand,90,1.9258,5161211,2219321,10050,3300,47,21,0,8,2455949332
Slovenia,91,1.9404,2097893,1006989,7000,26000,40,16,54,3,1782000000
Mozambique,92,1.9769,33350954,14674420,11200,0,23,7,60,36,480000000
Mongolia,93,1.9987,3281676,1870555,35000,230000,8,3,420,0,1590000000
Ireland,94,2.0661,5233461,2407392,7557,1720,23,8,0,8,1754400500
Georgia,95,2.0779,4900961,2744538,37000,205500,61,44,132,19,680000000
Guatemala,96,2.1277,18255216,7484639,106114,90000,35,20,0,25,616000000
Uruguay,97,2.1537,3425330,1575652,24000,0,43,12,62,16,1903440000
Yemen,98,2.1617,32140443,12213368,33350,0,160,59,0,26,405187500
Cameroon,99,2.1689,30966105,10528476,38000,0,35,21,0,19,835694942
Tajikistan,100,2.1749,10394063,4781269,150000,600000,25,20,38,0,450460000
Armenia,101,2.2016,2976765,1666988,65000,210000,69,36,109,0,1480000000
Latvia,102,2.2316,1801246,810561,17870,38000,3,3,0,18,42000000
Honduras,103,2.2575,9529188,4192843,52225,0,45,11,22,98,612300000
Mali,104,2.2598,21990607,6817088,40000,0,44,10,0,0,1110000000
Zimbabwe,105,2.2801,17150352,6517134,29000,0,80,28,60,0,1976800000
Estonia,106,2.3201,1193791,584958,7700,230000,2,0,0,8,2375000000
Uganda,107,2.3252,49283041,16756234,45000,0,51,30,259,0,1510000000
Ivory Coast,108,2.3884,29981758,12292521,22000,0,22,14,0,8,18200000
Kyrgyzstan,109,2.3969,6172101,3147772,23000,0,7,7,215,0,654000000
Luxembourg,110,2.4429,671254,154388,1200,0,1,0,0,0,1530685000
Zambia,111,2.4461,20799116,7279691,15150,0,78,33,75,0,385321000
Ghana,112,2.4566,34589092,14873310,15500,0,18,9,0,20,954423756
South Sudan,113,2.4645,12703714,6351857,185000,0,19,15,122,0,30700000
North Macedonia,114,2.4956,2135622,948216,10010,60000,20,10,0,0,421527100
Dominican Republic,115,2.5853,10815857,4975294,89000,189000,80,49,6,34,903000000
Nicaragua,116,2.5894,6676948,3271705,45000,0,17,12,186,23,1311600000
Republic of the Congo,117,2.6259,6097665,2256136,10000,0,14,8,61,4,933360000
Lebanon,118,2.6521,5364482,2092148,80000,15000,80,68,334,48,800000000
Eritrea,119,2.6841,6343956,2220385,350000,680000,20,13,148,23,219000000
Niger,120,2.6867,26342784,7902835,25000,0,26,13,0,0,488400000
Afghanistan,121,2.7342,40121552,15647405,75000,0,5,3,0,0,145000000
Namibia,122,2.7414,2803660,616805,17567,0,36,7,7,15,450498000
Mauritania,123,2.7919,4328040,1687936,31540,66000,23,4,51,6,270625000
Nepal,124,2.8037,31122387,15249970,98500,82000,17,10,0,0,431355326
Laos,125,2.8672,7953556,3499565,100000,30000,29,20,160,51,355600000
Senegal,126,2.8925,18847519,7162057,17000,0,39,19,0,4,777800000
Burkina Faso,127,2.9213,23042199,8525614,7500,0,26,19,0,0,4590000000
Montenegro,128,2.9782,599849,143964,2350,0,10,10,0,20,204000000
El Salvador,129,2.9973,6628702,3181777,25000,0,51,28,0,13,1037200000
Botswana,130,2.9993,2450668,1029281,12000,0,45,16,45,0,581000000
Madagascar,131,3.0381,29452714,11192031,13500,0,6,5,12,7,147630000
