global_rank,country_name,active-reserve-military-manpower,aircraft-helicopters-attack,aircraft-helicopters-total,aircraft-total,aircraft-total-fighters,aircraft-total-transports,armor-apc-total,armor-tanks-total,border-coverage,coal-consumption-by-country,coal-production-by-country,coastline-coverage,external-debt-by-country,labor-force-by-country,major-serviceable-airports-by-country,manpower-fit-for-military-service,manpower-paramilitary,manpower-reaching-military-age-annually,natural-gas-production-by-country,navy-aircraft-carriers,navy-force-by-tonnage,navy-frigates,navy-helo-carriers,navy-mine-warfare-craft,navy-ships,navy-submarines,oil-consumption-by-country,oil-production-by-country,proven-coal-reserves-by-country,proven-natural-gas-reserves-by-country,proven-oil-reserves-by-country,purchasing-power-parity,railway-coverage,reserves-of-foreign-exchange-and-gold,roadway-coverage,total-population-by-country,waterway-coverage
21,Italy,18500,37,392,729,89,30,73480,200,1836,13127000,1618000.0,7600,2750000000000,25669000,636,22191235,105000,548684,3117000000.0,2,359417.0,10,0,10,196,8,1246000,116000,609999000.0,45750000000.0,497934000,3097000000000,18475,247396000000,487700,60964931,2400
22,Taiwan,2310000,91,236,761,285,19,19921,888,0,66855000,5608000.0,1566,209000000000,11498000,53,1061787,55000,306739,63747000.0,0,250414.0,22,0,14,97,4,1022000,800,1000000.0,6230000000.0,2380000,1257300000000,1613,492635000000,43206,23595274,0
23,North Korea,560000,20,205,861,368,1,18288,4344,1607,21747000,21747000.0,2495,5500000000,15837000,83,5312331,100000,420779,0.0,0,143304.0,2,0,1,207,13,17000,0,10600000000.0,0.0,0,72000000000,7435,5500000000,25554,26298666,2250
24,Thailand,200000,7,258,493,72,54,16935,635,5673,36030000,13642000.0,3219,102694000000,40814000,108,27968399,25000,1118736,30797000000.0,0,130988.0,7,1,5,293,0,1248000,386000,1063000000.0,138243000000.0,252750000,1516000000000,4127,224470000000,180053,69920998,4000
25,Venezuela,8000,10,88,229,30,49,8802,172,5267,82000,197000.0,2800,110330000000,11548000,502,12812625,220000,625006,17696000000.0,0,124962.0,1,0,0,34,1,367000,761000,730999000.0,5674000000000.0,303806000000,295974800000,447,10095500000,96189,31250306,7100
26,Algeria,135000,74,299,608,102,63,26000,1485,6734,167000,0.0,998,3335624000,13425000,85,19185169,150000,752360,100726000000.0,0,82880.0,8,0,2,110,6,428000,1443000,233000000.0,4504000000000.0,12200000000,699947000000,4020,81217000000,104000,47022473,0
27,Kazakhstan,135000,12,65,198,63,19,7736,350,13364,84852000,118195000.0,26,91321500000,9587000,132,6928922,55000,283640,27011000000.0,0,124962.0,0,0,2,26,0,288000,1955000,25605000000.0,2407000000000.0,30000000000,705520000000,16636,35965000000,96167,20260006,43983
28,Poland,350000,29,216,479,59,49,23138,614,2845,123782000,116682000.0,440,386947000000,18387000,288,15576017,50000,464956,5551000000.0,0,124962.0,2,0,26,62,1,722000,24000,28531000000.0,91492000000.0,113000000,1616000000000,19461,193783000000,420000,38746310,3997
29,Greece,221350,29,293,558,178,15,61888,1344,1110,13988000,13703000.0,13676,550000000000,4645000,81,3985676,55000,104611,3284000.0,0,216348.0,13,0,7,192,10,303000,5000,2876000000.0,991090000.0,10000000,375780000000,2345,13608000000,117000,10461091,6
30,Nigeria,0,15,66,163,14,23,8962,330,4477,3044000,3043000.0,853,32455500000,75721000,47,90437404,50000,4261448,39951000000.0,0,124962.0,1,0,2,133,0,515000,1541000,2144000000.0,5761000000000.0,36890000000,1275000000000,3798,41349000000,195000,236747130,8600
31,Mexico,98655,0,178,433,3,41,19658,0,4389,18423000,7453000.0,9330,371359000000,60042000,1485,49811912,120000,2222579,31422000000.0,0,124962.0,1,0,0,167,0,1737000,2101000,1211000000.0,180322000000.0,5786000000,2873000000000,23389,214317000000,704884,130739927,2900
32,Spain,15150,17,153,461,137,51,17626,317,1953,8255000,1293000.0,4964,2572738300000,24108000,363,17635602,78470,330963,41009000.0,1,215346.0,11,0,6,152,2,1269000,47000,1187000000.0,2549000000.0,150000000,2242000000000,15489,103089000000,683175,47280433,1000
