Country,Total Population,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Total Helicopter Strength,Total Tank Strength,Total Naval Assets,Defense Budget
Bahrain,1566888,846120,18400,110000,132,80,150,64,1597200000
Oman,3901992,1482757,42600,100000,128,31,150,22,8200000000
Kenya,58246378,21551160,50000,0,156,85,188,23,1307383850
Chad,19093595,6873694,33250,0,40,16,90,0,381350000
Yemen,32140443,12213368,66700,0,84,30,0,33,810375000
New Zealand,5161211,2219321,8670,3250,48,21,0,8,3030000000
Paraguay,7522549,3535598,15650,168500,39,14,0,72,17595000000
Lithuania,2628186,1708321,23000,104000,9,4,0,14,2388900000
Mozambique,33350954,14674420,11200,0,22,8,30,33,412400000
Tunisia,12048847,6024424,89800,0,154,101,90,58,1400000000
Armenia,2976765,1666988,57500,210000,71,36,109,0,1700000000
Tanzania,67462121,12143182,27000,80000,39,12,62,12,1406745334
Cameroon,30966105,10528476,40000,0,35,21,0,51,554952283
Georgia,4900961,2744538,55000,152500,61,44,123,19,495629055
Cambodia,17063669,8190561,221000,0,25,21,644,20,860000000
Slovenia,2097893,1006989,7300,26000,39,16,54,2,886860000
Ireland,5233461,2407392,7765,1700,22,8,0,8,1500000000
Mongolia,3281676,1870555,35000,135000,7,2,420,0,165110000
Latvia,1801246,810561,17250,36000,7,7,0,18,1138000000
Uruguay,3425330,1575652,25000,0,43,12,31,14,772400000
Honduras,9529188,4192843,52225,60000,40,8,11,98,413635000
Ivory Coast,29981758,12292521,22000,0,19,10,5,3,669600935
Guatemala,18255216,7484639,106114,90000,36,21,5,25,408635000
Mali,21990607,6817088,40000,0,43,10,10,0,650386000
Kyrgyzstan,6172101,3147772,23000,300000,7,7,215,0,221800000
Laos,7953556,3499565,100000,30000,33,23,160,36,135000000
Estonia,1193791,584958,7700,78800,5,3,0,8,1463360000
Tajikistan,10394063,4781269,9500,600000,25,20,38,0,446000000
Zambia,20799116,7279691,15150,0,77,32,35,0,394240000
Ghana,34589092,14873310,15500,0,19,10,0,28,308500000
Zimbabwe,17150352,6517134,29000,0,95,28,15,0,530800000
North Macedonia,2135622,948216,9000,60000,20,10,20,0,388421700
South Sudan,12703714,6351857,185000,0,20,15,30,0,175300000
Uganda,49283041,16756234,45000,0,51,30,259,0,985400000
Lebanon,5364482,2092148,60000,35000,80,68,116,64,768250325
Namibia,2803660,616805,13000,0,34,7,4,15,370500000
Luxembourg,671254,154388,1000,0,1,0,0,0,726092925
