country,total_population_by_country,total_population_by_country_rank,available_military_manpower,available_military_manpower_rank,manpower_fit_for_military_service,manpower_fit_for_military_service_rank,manpower_reaching_military_age_annually,manpower_reaching_military_age_annually_rank,active_military_manpower,active_military_manpower_rank,active_reserve_military_manpower,active_reserve_military_manpower_rank,manpower_paramilitary,manpower_paramilitary_rank,aircraft_total,aircraft_total_rank,aircraft_total_fighters,aircraft_total_fighters_rank,aircraft_total_attack_types,aircraft_total_attack_types_rank,aircraft_total_transports,aircraft_total_transports_rank,aircraft_total_trainers,aircraft_total_trainers_rank,aircraft_total_special_mission,aircraft_total_special_mission_rank,aircraft_total_tanker_fleet,aircraft_total_tanker_fleet_rank,aircraft_helicopters_total,aircraft_helicopters_total_rank,aircraft_helicopters_attack,aircraft_helicopters_attack_rank,armor_tanks_total,armor_tanks_total_rank,armor_apc_total,armor_apc_total_rank,armor_self_propelled_guns_total,armor_self_propelled_guns_total_rank,armor_towed_artillery_total,armor_towed_artillery_total_rank,armor_mlrs_total,armor_mlrs_total_rank,navy_ships,navy_ships_rank,navy_force_by_tonnage,navy_force_by_tonnage_rank,navy_aircraft_carriers,navy_aircraft_carriers_rank,navy_helo_carriers,navy_helo_carriers_rank,navy_submarines,navy_submarines_rank,navy_destroyers,navy_destroyers_rank,navy_frigates,navy_frigates_rank,navy_corvettes,navy_corvettes_rank,navy_patrol_coastal_craft,navy_patrol_coastal_craft_rank,navy_mine_warfare_craft,navy_mine_warfare_craft_rank,defense_spending_budget,defense_spending_budget_rank,external_debt_by_country,external_debt_by_country_rank,purchasing_power_parity,purchasing_power_parity_rank,reserves_of_foreign_exchange_and_gold,reserves_of_foreign_exchange_and_gold_rank,major_serviceable_airports_by_country,major_serviceable_airports_by_country_rank,labor_force_by_country,labor_force_by_country_rank,major_ports_and_terminals,major_ports_and_terminals_rank,merchant_marine_strength_by_country,merchant_marine_strength_by_country_rank,railway_coverage,railway_coverage_rank,roadway_coverage,roadway_coverage_rank,oil_production_by_country,oil_production_by_country_rank,oil_consumption_by_country,oil_consumption_by_country_rank,proven_oil_reserves_by_country,proven_oil_reserves_by_country_rank,natural_gas_production_by_country,natural_gas_production_by_country_rank,natural_gas_consumption_by_country,natural_gas_consumption_by_country_rank,proven_natural_gas_reserves_by_country,proven_natural_gas_reserves_by_country_rank,coal_production_by_country,coal_production_by_country_rank,coal_consumption_by_country,coal_consumption_by_country_rank,proven_coal_reserves_by_country,proven_coal_reserves_by_country_rank,square_land_area,square_land_area_rank,coastline_coverage,coastline_coverage_rank,border_coverage,border_coverage_rank,waterway_coverage,waterway_coverage_rank
Cambodia,"17,063,669",72,"8,190,561",63,"5,733,393",63,"307,146",67,"221,000",23,0,104,"10,000",79,25,110,0,101,0,80,4,94,0,124,0,93,0,51,21,93,0,91,644,22,"3,627",77,30,66,430,29,463,10,20,81,,,0,24,0,24,0,52,0,27,0,60,0,55,20,55,0,63,"$                        							860,000,000",92,"$                        							13,200,000,000",97,"$                        							85,900,000,000",97,"$                        							17,801,000,000",62,13,127,"9,175,000",58,2,101,195,53,"642                        						
							km",105,"47,263                        						
							km",83,"0                        						
							bbl",115,"73,000                        						
							bbl",87,"0                        						
							bbl",103,"0                        						
							Cu.M",102,"0                        						
							Cu.M",116,"0                        						
							Cu.M",102,"113,000                        						
							Cu.M",73,"2,215,000                        						
							mt",63,"0                        						
							Cu.M",93,"181,035                        						
							km",85,"443                        						
							km",85,"2,530                        						
							km",72,"3,700                        						
							km",31
Benin,"14,697,052",73,"5,584,880",77,"3,189,260",90,"308,638",65,"4,750",137,0,100,0,124,5,133,0,96,0,75,0,128,0,120,0,87,0,43,5,129,0,85,0,116,92,144,0,101,16,98,0,103,2,113,,,0,19,0,20,0,48,0,22,0,57,0,52,2,106,0,60,"$                        							98,350,000",140,"$                        							4,066,500,000",124,"$                        							52,510,000,000",118,"$                        							698,900,000",132,10,133,"4,964,000",84,1,107,6,115,"438                        						
							km",112,"16,000                        						
							km",118,"0                        						
							bbl",110,"46,000                        						
							bbl",101,"8,000,000                        						
							bbl",90,"0                        						
							Cu.M",97,"182,131,000                        						
							Cu.M",100,"1,133,000,000                        						
							Cu.M",92,"0                        						
							Cu.M",83,"45,000                        						
							mt",105,"0                        						
							Cu.M",90,"112,622                        						
							km",96,"121                        						
							km",105,"2,123                        						
							km",83,"150                        						
							km",99
Somalia,"13,017,273",74,"2,993,973",103,"1,796,384",111,"130,173",86,"15,000",116,0,135,"2,000",111,0,145,0,140,0,130,0,143,0,143,0,133,0,124,0,145,0,137,0,143,682,120,0,139,0,139,0,138,10,97,,,0,97,0,98,0,104,0,98,0,104,0,103,10,79,0,109,"$                        							171,002,350",134,"$                        							5,830,000,000",117,"$                        							26,351,000,000",134,"$                        							16,747,500",145,38,102,"3,277,000",95,6,74,4,119,"0                        						
							km",142,"15,000                        						
							km",121,"0                        						
							bbl",141,"6,000                        						
							bbl",138,"0                        						
							bbl",137,"0                        						
							Cu.M",136,"0                        						
							Cu.M",139,"5,663,000,000                        						
							Cu.M",83,"0                        						
							Cu.M",133,"0                        						
							mt",140,"0                        						
							Cu.M",135,"637,657                        						
							km",44,"3,025                        						
							km",33,"2,385                        						
							km",76,"0                        						
							km",135
South Sudan,"12,703,714",75,"6,351,857",73,"4,065,188",75,"330,297",63,"185,000",29,0,136,0,142,20,119,0,141,0,132,5,91,0,144,0,135,0,126,15,107,6,57,30,100,"1,950",93,24,74,0,140,15,81,0,140,,,0,140,0,140,0,140,0,140,0,140,0,140,0,140,0,140,"$                        							175,300,000",133,"$                        							2,475,000,000",136,"$                        							20,010,000,000",137,"$                        							183,615,000",142,82,64,"4,471,000",90,0,138,0,141,"248                        						
							km",122,"90,200                        						
							km",55,"146,000                        						
							bbl",38,"14,000                        						
							bbl",133,"3,750,000,000                        						
							bbl",24,"0                        						
							Cu.M",137,"0                        						
							Cu.M",140,"0                        						
							Cu.M",138,"0                        						
							Cu.M",134,"0                        						
							mt",141,"0                        						
							Cu.M",136,"644,329                        						
							km",42,"0                        						
							km",140,"6,018                        						
							km",23,"0                        						
							km",137
Bolivia,"12,311,974",76,"5,417,269",78,"4,112,199",72,"233,928",72,"40,000",83,"40,000",60,0,126,64,86,0,98,0,77,15,45,19,75,0,89,0,45,33,75,0,87,54,80,890,113,0,103,106,61,0,105,67,44,,,0,20,0,21,0,49,0,23,0,58,0,53,50,27,0,61,"$                        							550,200,000",103,"$                        							11,431,000,000",100,"$                        							119,785,000,000",90,"$                        							1,800,000,000",121,200,31,"6,114,000",72,0,117,50,90,"3,690                        						
							km",52,"90,568                        						
							km",54,"58,000                        						
							bbl",53,"87,000                        						
							bbl",85,"240,900,000                        						
							bbl",51,"13,760,000,000                        						
							Cu.M",36,"3,055,000,000                        						
							Cu.M",67,"302,990,000,000                        						
							Cu.M",34,"0                        						
							Cu.M",84,"9,000                        						
							mt",114,"1,000,000                        						
							Cu.M",82,"1,098,581                        						
							km",27,"0                        						
							km",119,"7,252                        						
							km",14,"10,000                        						
							km",15
Tunisia,"12,048,847",77,"6,024,424",74,"5,181,004",66,"204,830",73,"89,800",56,0,138,"12,000",76,154,57,10,79,0,140,11,63,28,65,4,49,0,137,101,36,0,142,90,73,"7,913",47,0,143,85,68,0,144,58,52,,,0,108,0,108,0,111,0,108,0,110,0,111,51,25,0,114,"$                        							1,400,000,000",79,"$                        							27,084,500,000",81,"$                        							153,637,000,000",82,"$                        							9,240,000,000",79,14,126,"4,445,000",91,16,46,72,80,"2,173                        						
							km",70,"20,000                        						
							km",111,"35,000                        						
							bbl",58,"108,000                        						
							bbl",79,"425,000,000                        						
							bbl",47,"1,323,000,000                        						
							Cu.M",59,"5,153,000,000                        						
							Cu.M",57,"65,129,000,000                        						
							Cu.M",54,"0                        						
							Cu.M",140,"2,000                        						
							mt",117,"0                        						
							Cu.M",142,"163,610                        						
							km",88,"1,148                        						
							km",64,"1,495                        						
							km",106,"0                        						
							km",140
Belgium,"11,977,634",78,"4,910,830",85,"3,880,753",79,"119,776",89,"25,000",96,"6,400",86,0,122,108,69,43,39,0,73,7,73,38,51,0,86,0,41,20,97,0,83,0,114,"4,606",69,0,99,0,114,0,101,9,98,"10,190",47,0,17,0,18,0,46,0,20,2,41,0,50,2,105,5,24,"$                        							10,200,000,000",31,"$                        							1,449,264,300,000",15,"$                        							751,592,000,000",36,"$                        							40,813,000,000",49,49,84,"5,432,000",77,7,65,198,51,"3,602                        						
							km",55,"118,414                        						
							km",42,"11,000                        						
							bbl",74,"585,000                        						
							bbl",31,"0                        						
							bbl",98,"13,436,000                        						
							Cu.M",87,"15,347,000,000                        						
							Cu.M",42,"0                        						
							Cu.M",96,"1,270,000                        						
							Cu.M",58,"4,869,000                        						
							mt",49,"4,100,000,000                        						
							Cu.M",20,"30,528                        						
							km",130,"67                        						
							km",107,"1,297                        						
							km",108,"2,043                        						
							km",43
Jordan,"11,174,024",79,"3,463,947",97,"2,983,464",94,"145,262",83,"100,500",52,"65,000",52,"35,000",51,274,36,44,38,6,57,13,52,66,42,13,28,0,79,155,27,44,15,"1,458",12,"16,624",32,358,16,80,69,56,42,27,73,,,0,55,0,55,0,72,0,57,0,79,0,79,27,44,0,83,"$                        							2,500,000,000",65,"$                        							25,646,500,000",84,"$                        							106,806,000,000",92,"$                        							15,715,600,000",66,17,125,"3,063,000",102,1,109,34,96,"509                        						
							km",109,"7,203                        						
							km",135,"20                        						
							bbl",106,"97,000                        						
							bbl",82,"1,000,000                        						
							bbl",93,"187,262,000                        						
							Cu.M",71,"4,382,000,000                        						
							Cu.M",61,"6,031,000,000                        						
							Cu.M",79,"0                        						
							Cu.M",107,"479,000                        						
							mt",86,"0                        						
							Cu.M",113,"89,342                        						
							km",106,"26                        						
							km",111,"1,744                        						
							km",94,"0                        						
							km",117
Cuba,"10,966,038",80,"5,921,661",75,"4,737,328",68,"142,558",84,"45,500",75,"40,000",62,"1,145,000",3,31,107,11,73,0,85,4,95,3,109,0,96,0,56,13,109,4,64,113,66,"6,864",56,60,44,130,55,15,80,19,85,,,0,30,0,30,0,55,0,33,1,48,1,41,6,90,4,30,"$                        							4,508,784,000",54,"$                        							33,066,000,000",75,"$                        							141,400,000,000",84,"$                        							10,442,000,000",76,123,40,"5,317,000",78,34,27,65,82,"8,367                        						
							km",25,"60,000                        						
							km",75,"34,000                        						
							bbl",59,"165,000                        						
							bbl",61,"124,000,000                        						
							bbl",63,"659,434,000                        						
							Cu.M",62,"659,434,000                        						
							Cu.M",88,"70,792,000,000                        						
							Cu.M",53,"0                        						
							Cu.M",90,"2,000                        						
							mt",116,"0                        						
							Cu.M",97,"110,860                        						
							km",100,"3,735                        						
							km",28,"29                        						
							km",135,"240                        						
							km",95
Czechia,"10,837,890",81,"5,093,808",81,"4,129,236",71,"97,541",99,"28,000",92,"4,200",89,0,130,99,72,12,70,16,38,10,64,17,77,2,61,0,57,42,69,4,65,43,92,"6,340",60,50,47,0,119,16,78,0,127,,,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127,"$                        							6,750,000,000",43,"$                        							211,200,000,000",37,"$                        							519,007,000,000",48,"$                        							148,379,000,000",21,243,27,"5,502,000",75,0,122,0,132,"9,548                        						
							km",23,"55,744                        						
							km",81,"4,000                        						
							bbl",89,"211,000                        						
							bbl",53,"15,000,000                        						
							bbl",82,"224,725,000                        						
							Cu.M",69,"7,602,000,000                        						
							Cu.M",52,"3,964,000,000                        						
							Cu.M",86,"37,423,000                        						
							Cu.M",15,"40,239,000                        						
							mt",16,"3,595,000,000                        						
							Cu.M",22,"78,867                        						
							km",110,"0                        						
							km",124,"2,046                        						
							km",85,"664                        						
							km",78
