country,total_population_by_country,total_population_by_country_rank,available_military_manpower,available_military_manpower_rank,manpower_fit_for_military_service,manpower_fit_for_military_service_rank,manpower_reaching_military_age_annually,manpower_reaching_military_age_annually_rank,active_military_manpower,active_military_manpower_rank,active_reserve_military_manpower,active_reserve_military_manpower_rank,manpower_paramilitary,manpower_paramilitary_rank,aircraft_total,aircraft_total_rank,aircraft_total_fighters,aircraft_total_fighters_rank,aircraft_total_attack_types,aircraft_total_attack_types_rank,aircraft_total_transports,aircraft_total_transports_rank,aircraft_total_trainers,aircraft_total_trainers_rank,aircraft_total_special_mission,aircraft_total_special_mission_rank,aircraft_total_tanker_fleet,aircraft_total_tanker_fleet_rank,aircraft_helicopters_total,aircraft_helicopters_total_rank,aircraft_helicopters_attack,aircraft_helicopters_attack_rank,armor_tanks_total,armor_tanks_total_rank,armor_apc_total,armor_apc_total_rank,armor_self_propelled_guns_total,armor_self_propelled_guns_total_rank,armor_towed_artillery_total,armor_towed_artillery_total_rank,armor_mlrs_total,armor_mlrs_total_rank,navy_ships,navy_ships_rank,navy_force_by_tonnage,navy_force_by_tonnage_rank,navy_aircraft_carriers,navy_aircraft_carriers_rank,navy_helo_carriers,navy_helo_carriers_rank,navy_submarines,navy_submarines_rank,navy_destroyers,navy_destroyers_rank,navy_frigates,navy_frigates_rank,navy_corvettes,navy_corvettes_rank,navy_patrol_coastal_craft,navy_patrol_coastal_craft_rank,navy_mine_warfare_craft,navy_mine_warfare_craft_rank,defense_spending_budget,defense_spending_budget_rank,external_debt_by_country,external_debt_by_country_rank,purchasing_power_parity,purchasing_power_parity_rank,reserves_of_foreign_exchange_and_gold,reserves_of_foreign_exchange_and_gold_rank,major_serviceable_airports_by_country,major_serviceable_airports_by_country_rank,labor_force_by_country,labor_force_by_country_rank,major_ports_and_terminals,major_ports_and_terminals_rank,merchant_marine_strength_by_country,merchant_marine_strength_by_country_rank,railway_coverage,railway_coverage_rank,roadway_coverage,roadway_coverage_rank,oil_production_by_country,oil_production_by_country_rank,oil_consumption_by_country,oil_consumption_by_country_rank,proven_oil_reserves_by_country,proven_oil_reserves_by_country_rank,natural_gas_production_by_country,natural_gas_production_by_country_rank,natural_gas_consumption_by_country,natural_gas_consumption_by_country_rank,proven_natural_gas_reserves_by_country,proven_natural_gas_reserves_by_country_rank,coal_production_by_country,coal_production_by_country_rank,coal_consumption_by_country,coal_consumption_by_country_rank,proven_coal_reserves_by_country,proven_coal_reserves_by_country_rank,square_land_area,square_land_area_rank,coastline_coverage,coastline_coverage_rank,border_coverage,border_coverage_rank,waterway_coverage,waterway_coverage_rank
China,"1,415,043,270",1,"764,123,366",1,"626,864,169",1,"19,810,606",2,"2,035,000",1,"510,000",14,"625,000",4,"3,309",3,"1,212",2,371,3,289,3,402,4,112,4,10,7,913,3,281,3,"6,800",1,"144,017",3,"3,490",2,"1,000",9,"2,750",2,754,1,"2,857,143",2,3,2,4,2,61,3,50,2,47,1,72,2,150,5,36,2,"$                        							266,850,000,000",2,"$                        							1,218,458,500,000",16,"$                        							31,227,000,000,000",1,"$                        							3,450,000,000,000",1,531,14,"779,246,000",1,66,13,"8,314",2,"150,000                        						
							km",2,"5,200,000                        						
							km",3,"4,984,000                        						
							bbl",5,"15,148,000                        						
							bbl",2,"26,023,000,000                        						
							bbl",13,"225,341,000,000                        						
							Cu.M",4,"366,160,000,000                        						
							Cu.M",3,"6,654,000,000,000                        						
							Cu.M",7,"4,827,000,000                        						
							Cu.M",1,"5,313,000,000                        						
							mt",1,"143,197,000,000                        						
							Cu.M",4,"9,596,960                        						
							km",4,"14,500                        						
							km",10,"22,457                        						
							km",1,"27,700                        						
							km",6
India,"1,409,128,296",2,"662,290,299",2,"522,786,598",2,"23,955,181",1,"1,455,550",2,"1,155,000",7,"2,527,000",2,"2,229",4,513,4,130,4,270,4,351,6,74,5,6,14,899,4,80,9,"4,201",5,"148,594",2,100,32,"3,975",3,264,18,293,6,"593,603",5,2,3,0,47,18,7,13,4,14,5,18,5,135,8,0,78,"$                        							75,000,000,000",4,"$                        							371,020,500,000",30,"$                        							13,104,000,000,000",3,"$                        							627,793,000,000",5,311,20,"593,729,000",2,56,16,"1,859",12,"65,554                        						
							km",4,"6,371,847                        						
							km",2,"795,000                        						
							bbl",23,"5,049,000                        						
							bbl",3,"4,605,000,000                        						
							bbl",22,"33,170,000,000                        						
							Cu.M",23,"58,867,000,000                        						
							Cu.M",15,"1,381,000,000,000                        						
							Cu.M",23,"985,671,000                        						
							Cu.M",2,"1,200,000,000                        						
							mt",2,"111,052,000,000                        						
							Cu.M",5,"3,287,263                        						
							km",7,"7,000                        						
							km",18,"13,888                        						
							km",4,"14,500                        						
							km",10
United States,"341,963,408",3,"150,463,900",3,"124,816,644",3,"4,445,524",5,"1,328,000",3,"799,500",10,0,145,"13,043",1,"1,790",1,889,1,918,1,"2,647",1,647,1,605,1,"5,843",1,"1,002",1,"4,640",3,"391,963",1,671,8,"1,212",8,641,5,440,2,"4,168,037",1,11,1,9,1,70,1,81,1,0,115,26,3,0,117,8,16,"$                        							895,000,000,000",1,"$                        							22,303,546,100,000",1,"$                        							24,662,000,000,000",2,"$                        							773,426,000,000",4,"15,873",1,"170,549,000",3,666,1,"3,533",6,"293,564                        						
							km",1,"6,586,610                        						
							km",1,"20,879,000                        						
							bbl",1,"20,245,000                        						
							bbl",1,"38,212,000,000                        						
							bbl",10,"1,029,000,000,000                        						
							Cu.M",1,"914,301,000,000                        						
							Cu.M",1,"13,402,000,000,000                        						
							Cu.M",4,"548,849,000                        						
							Cu.M",4,"476,044,000                        						
							mt",3,"248,941,000,000                        						
							Cu.M",1,"9,833,517                        						
							km",3,"19,924                        						
							km",8,"12,002                        						
							km",6,"41,009                        						
							km",5
Indonesia,"281,562,465",4,"137,965,608",4,"114,595,923",4,"4,786,562",4,"400,000",13,"400,000",17,"250,000",8,459,26,41,44,34,21,70,10,112,24,17,23,1,29,214,22,15,38,331,38,"20,440",22,153,23,396,31,63,41,331,4,"304,168",11,0,48,0,48,4,28,0,51,7,23,25,4,211,2,12,11,"$                        							10,600,000,000",29,"$                        							440,000,000,000",25,"$                        							3,906,000,000,000",8,"$                        							146,359,000,000",22,513,15,"140,931,000",4,123,6,"11,422",1,"8,159                        						
							km",26,"496,607                        						
							km",15,"865,000                        						
							bbl",20,"1,728,000                        						
							bbl",13,"2,480,000,000                        						
							bbl",33,"57,410,000,000                        						
							Cu.M",14,"36,061,000,000                        						
							Cu.M",26,"1,408,000,000,000                        						
							Cu.M",22,"659,357,000                        						
							Cu.M",3,"202,283,000                        						
							mt",6,"34,869,000,000                        						
							Cu.M",7,"1,904,569                        						
							km",14,"54,716                        						
							km",2,"2,958                        						
							km",62,"21,579                        						
							km",8
Pakistan,"252,363,571",5,"108,516,336",7,"85,803,614",7,"4,794,908",3,"654,000",7,"550,000",13,"500,000",6,"1,399",7,328,6,90,8,64,11,565,3,27,12,4,19,373,10,57,12,"2,627",7,"17,516",30,662,9,"2,629",4,600,6,121,27,"111,715",28,0,81,0,81,8,16,0,82,9,15,9,8,69,17,3,40,"$                        							7,640,000,000",38,"$                        							92,426,000,000",52,"$                        							1,347,000,000,000",25,"$                        							13,730,000,000",71,116,43,"80,990,000",6,3,95,60,84,"11,881                        						
							km",19,"264,175                        						
							km",22,"101,000                        						
							bbl",43,"473,000                        						
							bbl",34,"540,000,000                        						
							bbl",44,"36,937,000,000                        						
							Cu.M",21,"46,448,000,000                        						
							Cu.M",19,"592,219,000,000                        						
							Cu.M",29,"12,712,000                        						
							Cu.M",29,"34,027,000                        						
							mt",22,"3,064,000,000                        						
							Cu.M",26,"796,095                        						
							km",35,"1,046                        						
							km",65,"7,257                        						
							km",13,"0                        						
							km",131
Nigeria,"236,747,130",6,"125,475,979",5,"90,437,404",5,"4,261,448",6,"230,000",22,0,127,"50,000",44,163,54,14,66,24,32,23,36,28,64,11,31,0,106,66,55,15,39,330,39,"8,962",43,40,59,339,33,37,50,133,23,,,0,77,0,77,0,91,0,78,1,50,0,95,109,10,2,46,"$                        							3,160,000,000",59,"$                        							32,455,500,000",76,"$                        							1,275,000,000,000",26,"$                        							41,349,000,000",48,47,87,"75,721,000",7,28,30,928,21,"3,798                        						
							km",51,"195,000                        						
							km",29,"1,541,000                        						
							bbl",15,"515,000                        						
							bbl",32,"36,890,000,000                        						
							bbl",11,"39,951,000,000                        						
							Cu.M",19,"20,719,000,000                        						
							Cu.M",36,"5,761,000,000,000                        						
							Cu.M",8,"3,043,000                        						
							Cu.M",42,"3,044,000                        						
							mt",58,"2,144,000,000                        						
							Cu.M",32,"923,768                        						
							km",31,"853                        						
							km",69,"4,477                        						
							km",42,"8,600                        						
							km",17
Brazil,"220,051,512",7,"112,226,271",6,"88,680,759",6,"3,520,824",7,"360,000",15,"340,000",22,"200,000",13,513,22,43,40,38,16,109,6,133,22,25,16,0,48,191,25,0,90,294,45,"22,464",19,109,30,412,30,38,49,64,46,"135,737",22,0,22,1,8,4,24,0,25,6,28,2,35,23,50,3,39,"$                        							26,157,300,000",19,"$                        							432,224,000,000",26,"$                        							4,016,000,000,000",7,"$                        							355,021,000,000",11,"4,919",2,"108,695,000",5,45,19,888,22,"29,850                        						
							km",7,"2,000,000                        						
							km",4,"4,221,000                        						
							bbl",7,"3,027,000                        						
							bbl",7,"12,715,000,000                        						
							bbl",14,"22,670,000,000                        						
							Cu.M",29,"31,654,000,000                        						
							Cu.M",29,"363,985,000,000                        						
							Cu.M",32,"15,644,000                        						
							Cu.M",22,"32,787,000                        						
							mt",23,"6,596,000,000                        						
							Cu.M",17,"8,515,770                        						
							km",5,"7,491                        						
							km",15,"16,145                        						
							km",3,"50,000                        						
							km",2
Bangladesh,"168,697,184",8,"82,661,620",8,"66,129,296",8,"3,205,246",8,"163,000",36,0,99,"6,800,000",1,214,44,42,43,0,72,17,42,86,31,4,46,0,39,65,56,0,82,320,41,"11,584",38,56,45,546,21,110,33,118,28,"75,280",34,0,16,0,17,2,36,0,19,7,21,6,19,61,20,5,23,"$                        							4,374,000,000",56,"$                        							51,965,000,000",60,"$                        							1,413,000,000,000",23,"$                        							21,860,000,000",60,17,124,"74,914,000",8,2,98,558,33,"2,460                        						
							km",66,"369,105                        						
							km",20,"13,000                        						
							bbl",70,"160,000                        						
							bbl",62,"28,000,000                        						
							bbl",77,"24,620,000,000                        						
							Cu.M",27,"30,384,000,000                        						
							Cu.M",30,"126,293,000,000                        						
							Cu.M",44,"754,000                        						
							Cu.M",63,"7,514,000                        						
							mt",41,"3,260,000,000                        						
							Cu.M",24,"148,460                        						
							km",89,"580                        						
							km",75,"4,413                        						
							km",43,"8,370                        						
							km",19
Russia,"140,820,810",9,"69,002,197",9,"46,189,226",10,"1,267,387",18,"1,320,000",5,"2,000,000",4,"250,000",9,"4,292",2,833,3,689,2,456,2,611,2,141,3,19,3,"1,651",2,557,2,"5,750",2,"131,527",4,"5,168",1,"8,505",1,"3,005",1,419,3,"1,260,447",3,1,7,0,91,63,2,10,7,12,9,83,1,123,9,47,1,"$                        							126,000,000,000",3,"$                        							317,650,500,000",31,"$                        							5,816,000,000,000",4,"$                        							597,217,000,000",6,904,7,"72,408,000",9,67,11,"2,910",8,"85,494                        						
							km",3,"1,283,387                        						
							km",5,"10,727,000                        						
							bbl",3,"3,684,000                        						
							bbl",4,"80,000,000,000                        						
							bbl",8,"617,830,000,000                        						
							Cu.M",2,"472,239,000,000                        						
							Cu.M",2,"47,805,000,000,000                        						
							Cu.M",1,"508,190,000                        						
							Cu.M",5,"310,958,000                        						
							mt",4,"162,166,000,000                        						
							Cu.M",2,"17,098,242                        						
							km",1,"37,653                        						
							km",3,"22,407                        						
							km",2,"102,000                        						
							km",1
Mexico,"130,739,927",10,"61,447,766",10,"49,811,912",9,"2,222,579",11,"412,000",12,"98,655",44,"120,000",20,433,28,3,87,33,22,41,22,176,13,25,17,0,94,178,26,0,120,0,133,"19,658",24,20,77,70,73,0,125,167,19,,,0,68,0,68,0,84,5,9,1,49,3,32,140,7,0,91,"$                        							7,600,000,000",39,"$                        							371,359,000,000",29,"$                        							2,873,000,000,000",13,"$                        							214,317,000,000",16,"1,485",4,"60,042,000",12,35,26,674,28,"23,389                        						
							km",10,"704,884                        						
							km",12,"2,101,000                        						
							bbl",11,"1,737,000                        						
							bbl",12,"5,786,000,000                        						
							bbl",20,"31,422,000,000                        						
							Cu.M",24,"90,566,000,000                        						
							Cu.M",8,"180,322,000,000                        						
							Cu.M",39,"7,453,000                        						
							Cu.M",32,"18,423,000                        						
							mt",26,"1,211,000,000                        						
							Cu.M",39,"1,964,375                        						
							km",13,"9,330                        						
							km",13,"4,389                        						
							km",44,"2,900                        						
							km",36
Japan,"123,201,945",11,"52,976,836",13,"42,874,277",12,"1,108,818",20,"247,150",21,"56,000",55,"25,000",54,"1,443",6,217,13,38,18,55,14,401,5,141,2,10,8,596,6,119,4,521,25,"31,964",16,149,24,480,25,54,43,159,20,"769,882",4,0,54,4,3,24,5,42,3,6,29,0,78,6,91,22,4,"$                        							57,000,000,000",7,"$                        							4,679,698,100,000",7,"$                        							5,761,000,000,000",5,"$                        							1,295,000,000,000",2,279,23,"69,349,000",10,163,4,"5,229",4,"27,311                        						
							km",9,"1,218,772                        						
							km",6,"8,000                        						
							bbl",81,"3,289,000                        						
							bbl",6,"44,115,000                        						
							bbl",72,"2,220,000,000                        						
							Cu.M",54,"92,843,000,000                        						
							Cu.M",7,"20,898,000,000                        						
							Cu.M",68,"29,141,000                        						
							Cu.M",18,"216,332,000                        						
							mt",5,"350,000,000                        						
							Cu.M",55,"377,915                        						
							km",60,"29,751                        						
							km",5,"0                        						
							km",140,"1,770                        						
							km",46
Ethiopia,"118,550,298",12,"56,904,143",11,"35,327,989",17,"2,726,657",9,"162,000",37,0,109,0,132,103,70,25,56,0,89,8,71,34,57,0,101,0,66,33,76,7,53,338,37,"7,256",53,35,63,309,34,40,48,0,128,,,0,128,0,128,0,128,0,128,0,128,0,128,0,128,0,128,"$                        							2,097,575,000",71,"$                        							25,761,000,000",83,"$                        							354,604,000,000",55,"$                        							3,131,288,000",112,57,78,"61,664,000",11,0,123,12,109,"659                        						
							km",103,"120,171                        						
							km",41,"0                        						
							bbl",119,"110,000                        						
							bbl",77,"428,000                        						
							bbl",95,"0                        						
							Cu.M",109,"0                        						
							Cu.M",120,"24,919,000,000                        						
							Cu.M",65,"8,000                        						
							Cu.M",75,"660,000                        						
							mt",82,"0                        						
							Cu.M",103,"1,104,300                        						
							km",26,"0                        						
							km",125,"5,925                        						
							km",25,"0                        						
							km",113
Philippines,"118,277,063",13,"50,859,137",14,"41,751,803",13,"2,128,987",12,"150,000",39,"1,200,000",5,"35,000",52,202,46,0,136,25,30,26,34,23,69,8,38,0,114,122,33,2,75,10,107,"11,878",36,12,85,294,36,0,134,113,30,"76,313",33,0,85,0,85,0,95,0,86,2,46,1,44,58,23,0,102,"$                        							4,380,000,000",55,"$                        							90,200,000,000",54,"$                        							1,138,000,000,000",31,"$                        							103,742,000,000",29,246,26,"49,477,000",14,70,9,"2,203",9,"77                        						
							km",124,"216,387                        						
							km",25,"10,000                        						
							bbl",78,"453,000                        						
							bbl",35,"138,500,000                        						
							bbl",61,"2,251,000,000                        						
							Cu.M",53,"2,251,000,000                        						
							Cu.M",77,"98,543,000,000                        						
							Cu.M",46,"14,483,000                        						
							Cu.M",25,"37,130,000                        						
							mt",18,"361,000,000                        						
							Cu.M",54,"300,000                        						
							km",71,"36,289                        						
							km",4,"0                        						
							km",141,"3,219                        						
							km",33
Democratic Republic of the Congo,"115,403,027",14,"39,237,029",18,"31,389,623",18,"2,538,867",10,"166,580",34,"31,000",69,"10,000",80,46,91,1,91,6,56,6,81,1,113,0,97,0,58,32,78,8,50,105,69,916,112,8,89,60,76,25,60,16,89,,,0,31,0,31,0,56,0,34,0,63,0,60,16,65,0,68,"$                        							796,560,000",95,"$                        							4,994,000,000",120,"$                        							154,012,000,000",81,"$                        							3,898,125,000",103,272,24,"35,983,000",17,3,91,24,102,"4,007                        						
							km",47,"152,373                        						
							km",34,"19,000                        						
							bbl",64,"26,000                        						
							bbl",119,"180,000,000                        						
							bbl",55,"380,000                        						
							Cu.M",93,"380,000                        						
							Cu.M",110,"991,090,000                        						
							Cu.M",93,"0                        						
							Cu.M",91,"23,000                        						
							mt",109,"987,999,000                        						
							Cu.M",44,"2,344,858                        						
							km",11,"37                        						
							km",110,"10,481                        						
							km",8,"15,000                        						
							km",9
Egypt,"111,247,248",15,"45,611,372",16,"38,269,053",15,"1,668,709",14,"440,000",11,"480,000",15,"300,000",7,"1,093",8,238,11,90,7,61,13,345,7,11,30,0,62,348,11,100,7,"3,620",6,"41,012",12,"1,056",5,962,10,528,8,150,22,"235,989",13,0,35,2,6,8,14,0,38,13,6,7,13,62,19,17,6,"$                        							5,879,500,000",46,"$                        							103,750,000,000",50,"$                        							1,912,000,000,000",17,"$                        							33,070,000,000",54,73,68,"33,431,000",20,31,28,441,38,"5,085                        						
							km",37,"65,050                        						
							km",73,"667,000                        						
							bbl",26,"851,000                        						
							bbl",26,"3,300,000,000                        						
							bbl",26,"64,817,000,000                        						
							Cu.M",13,"60,089,000,000                        						
							Cu.M",13,"1,784,000,000,000                        						
							Cu.M",17,"289,000                        						
							Cu.M",67,"3,083,000                        						
							mt",57,"182,000,000                        						
							Cu.M",65,"1,001,450                        						
							km",29,"2,450                        						
							km",41,"2,612                        						
							km",69,"3,500                        						
							km",32
Vietnam,"105,758,975",16,"54,994,667",12,"45,053,323",11,"1,797,903",13,"600,000",10,"5,000,000",1,"250,000",10,246,40,41,45,32,24,9,70,60,43,3,56,0,142,101,38,0,144,"1,374",13,"11,912",35,40,60,535,22,474,9,110,33,"107,813",29,0,116,0,116,9,13,0,116,9,16,16,6,35,36,8,17,"$                        							8,594,000,000",35,"$                        							110,000,000,000",49,"$                        							1,354,000,000,000",24,"$                        							97,955,500,000",31,42,94,"56,149,000",13,16,47,"1,973",11,"2,600                        						
							km",65,"195,468                        						
							km",28,"187,000                        						
							bbl",36,"494,000                        						
							bbl",33,"4,400,000,000                        						
							bbl",23,"7,676,000,000                        						
							Cu.M",42,"7,676,000,000                        						
							Cu.M",51,"699,426,000,000                        						
							Cu.M",26,"43,614,000                        						
							Cu.M",13,"83,116,000                        						
							mt",14,"3,360,000,000                        						
							Cu.M",23,"331,210                        						
							km",64,"3,444                        						
							km",29,"4,616                        						
							km",40,"47,130                        						
							km",3
Iran,"88,386,937",17,"49,496,685",15,"41,541,860",14,"1,414,191",16,"610,000",8,"350,000",20,"220,000",11,551,20,188,15,21,34,87,7,103,26,10,34,6,15,128,32,13,41,"1,713",10,"65,825",8,392,15,"2,070",5,"1,517",3,107,35,"223,395",15,0,49,0,49,25,4,0,52,7,24,3,31,21,54,1,51,"$                        							15,450,000,000",25,"$                        							4,134,926,000",123,"$                        							1,440,000,000,000",22,"$                        							120,600,000,000",24,173,32,"29,159,000",24,18,39,965,20,"8,484                        						
							km",24,"223,485                        						
							km",23,"3,985,000                        						
							bbl",9,"2,136,000                        						
							bbl",10,"208,600,000,000                        						
							bbl",3,"263,280,000,000                        						
							Cu.M",3,"244,890,000,000                        						
							Cu.M",4,"33,987,000,000,000                        						
							Cu.M",2,"2,791,000                        						
							Cu.M",44,"3,531,000                        						
							mt",52,"1,203,000,000                        						
							Cu.M",40,"1,648,195                        						
							km",17,"2,440                        						
							km",42,"5,894                        						
							km",27,"850                        						
							km",72
Turkiye,"84,119,531",18,"42,985,080",17,"36,087,279",16,"1,430,032",15,"355,200",16,"378,700",19,"150,000",18,"1,083",9,201,14,0,141,84,9,287,9,28,10,7,11,508,7,111,6,"2,238",8,"61,173",10,"1,038",6,"1,707",6,296,13,182,17,"325,729",10,0,109,1,10,13,9,0,109,17,4,9,10,41,30,11,12,"$                        							47,000,000,000",13,"$                        							294,441,000,000",32,"$                        							2,936,000,000,000",12,"$                        							140,858,000,000",23,115,44,"35,071,000",19,54,17,"1,170",18,"11,497                        						
							km",20,"67,333                        						
							km",71,"83,000                        						
							bbl",45,"1,077,000                        						
							bbl",21,"366,000,000                        						
							bbl",49,"379,701,000                        						
							Cu.M",66,"2,887,000,000                        						
							Cu.M",69,"3,794,000,000                        						
							Cu.M",87,"88,746,000                        						
							Cu.M",11,"123,976,000                        						
							mt",10,"11,525,000,000                        						
							Cu.M",12,"783,562                        						
							km",36,"7,200                        						
							km",17,"2,816                        						
							km",65,"1,200                        						
							km",61
Germany,"84,119,100",19,"38,694,786",19,"30,955,829",19,"841,191",27,"181,600",31,"34,000",66,0,134,584,18,129,18,63,11,50,18,35,55,26,14,3,22,309,12,54,13,296,44,"83,260",6,134,27,0,124,33,53,61,51,"228,552",14,0,42,0,41,6,19,0,45,11,11,5,25,0,113,12,10,"$                        							50,000,000,000",11,"$                        							6,238,609,300,000",4,"$                        							5,230,000,000,000",6,"$                        							322,700,000,000",12,838,8,"44,784,000",15,35,24,595,31,"39,379                        						
							km",5,"830,000                        						
							km",10,"131,000                        						
							bbl",39,"2,052,000                        						
							bbl",11,"115,200,000                        						
							bbl",64,"4,824,000,000                        						
							Cu.M",46,"77,516,000,000                        						
							Cu.M",9,"23,390,000,000                        						
							Cu.M",66,"138,981,000                        						
							Cu.M",8,"186,725,000                        						
							mt",7,"35,900,000,000                        						
							Cu.M",6,"357,022                        						
							km",61,"2,389                        						
							km",45,"3,694                        						
							km",54,"7,300                        						
							km",21
Thailand,"69,920,998",20,"36,358,919",20,"27,968,399",20,"1,118,736",19,"360,850",14,"200,000",29,"25,000",57,493,23,72,27,20,35,54,15,135,21,26,15,0,136,258,17,7,54,635,23,"16,935",31,50,48,589,19,26,59,293,7,"130,988",23,0,107,1,9,0,110,0,107,7,27,6,24,49,28,5,28,"$                        							5,887,883,500",45,"$                        							102,694,000,000",51,"$                        							1,516,000,000,000",21,"$                        							224,470,000,000",15,108,48,"40,814,000",16,21,35,884,23,"4,127                        						
							km",43,"180,053                        						
							km",30,"386,000                        						
							bbl",31,"1,248,000                        						
							bbl",18,"252,750,000                        						
							bbl",50,"30,797,000,000                        						
							Cu.M",25,"48,898,000,000                        						
							Cu.M",17,"138,243,000,000                        						
							Cu.M",41,"13,642,000                        						
							Cu.M",28,"36,030,000                        						
							mt",19,"1,063,000,000                        						
							Cu.M",43,"513,120                        						
							km",51,"3,219                        						
							km",30,"5,673                        						
							km",29,"4,000                        						
							km",29
United Kingdom,"68,459,055",21,"31,491,165",21,"25,192,932",21,"753,050",29,"184,860",30,"924,000",8,0,144,631,15,113,19,31,25,29,32,203,11,28,11,9,9,266,15,37,19,227,50,"38,200",13,71,41,126,56,29,55,109,34,"394,043",7,2,5,0,113,9,12,6,8,8,19,0,115,26,47,7,19,"$                        							71,500,540,000",6,"$                        							9,593,749,000,000",2,"$                        							3,700,000,000,000",10,"$                        							177,915,000,000",20,"1,043",6,"35,275,000",18,185,3,868,24,"16,390                        						
							km",17,"394,428                        						
							km",19,"753,000                        						
							bbl",25,"1,397,000                        						
							bbl",16,"2,500,000,000                        						
							bbl",31,"37,758,000,000                        						
							Cu.M",20,"70,141,000,000                        						
							Cu.M",10,"180,661,000,000                        						
							Cu.M",38,"1,891,000                        						
							Cu.M",51,"8,568,000                        						
							mt",38,"26,000,000                        						
							Cu.M",75,"243,610                        						
							km",76,"12,429                        						
							km",12,"443                        						
							km",128,"3,200                        						
							km",34
France,"68,374,591",22,"30,084,820",23,"23,794,358",22,"752,121",31,"200,000",26,"26,000",73,"150,000",16,976,10,226,12,0,91,119,5,141,18,44,6,16,4,448,8,68,11,215,52,"110,932",5,96,34,0,122,9,89,129,25,"428,765",6,1,6,3,4,9,11,11,6,11,10,0,67,20,56,17,7,"$                        							55,000,000,000",9,"$                        							6,992,104,900,000",3,"$                        							3,764,000,000,000",9,"$                        							240,792,000,000",14,689,10,"31,825,000",21,66,14,553,34,"27,860                        						
							km",8,"1,053,215                        						
							km",7,"80,000                        						
							bbl",46,"1,554,000                        						
							bbl",14,"61,719,000                        						
							bbl",71,"20,132,000                        						
							Cu.M",85,"37,001,000,000                        						
							Cu.M",25,"7,787,000,000                        						
							Cu.M",74,"2,419,000                        						
							Cu.M",47,"12,985,000                        						
							mt",32,"160,000,000                        						
							Cu.M",66,"643,801                        						
							km",43,"4,853                        						
							km",24,"4,072                        						
							km",52,"8,501                        						
							km",18
Tanzania,"67,462,121",23,"12,143,182",52,"6,678,750",58,"607,159",42,"27,000",93,"80,000",48,"6,500",86,39,101,14,67,0,139,6,84,7,103,0,139,0,135,12,112,0,141,62,77,"1,072",111,0,142,0,144,0,143,12,96,,,0,106,0,107,0,109,0,106,0,109,0,110,10,80,0,113,"$                        							1,406,745,334",78,"$                        							18,983,500,000",90,"$                        							234,050,000,000",69,"$                        							5,693,050,000",92,206,28,"31,219,000",22,8,63,381,42,"4,097                        						
							km",44,"145,203                        						
							km",35,"0                        						
							bbl",143,"58,000                        						
							bbl",96,"0                        						
							bbl",142,"1,808,000,000                        						
							Cu.M",56,"1,808,000,000                        						
							Cu.M",79,"6,513,000,000                        						
							Cu.M",76,"2,511,000                        						
							Cu.M",46,"802,000                        						
							mt",77,"1,410,000,000                        						
							Cu.M",37,"947,300                        						
							km",30,"1,424                        						
							km",59,"4,161                        						
							km",49,"0                        						
							km",139
Italy,"60,964,931",24,"27,434,219",25,"22,191,235",23,"548,684",46,"165,500",35,"18,500",79,"105,000",22,729,14,89,25,67,10,30,30,162,15,23,19,8,10,392,9,37,18,200,57,"73,480",7,64,43,108,60,21,69,196,14,"359,417",8,2,4,0,53,8,15,3,13,10,13,0,76,19,60,10,14,"$                        							30,890,000,000",16,"$                        							2,750,000,000,000",10,"$                        							3,097,000,000,000",11,"$                        							247,396,000,000",13,636,12,"25,669,000",26,123,7,"1,276",15,"18,475                        						
							km",14,"487,700                        						
							km",16,"116,000                        						
							bbl",42,"1,246,000                        						
							bbl",19,"497,934,000                        						
							bbl",45,"3,117,000,000                        						
							Cu.M",49,"68,735,000,000                        						
							Cu.M",11,"45,750,000,000                        						
							Cu.M",58,"1,618,000                        						
							Cu.M",54,"13,127,000                        						
							mt",31,"609,999,000                        						
							Cu.M",51,"301,340                        						
							km",70,"7,600                        						
							km",14,"1,836                        						
							km",90,"2,400                        						
							km",39
South Africa,"60,442,647",25,"27,803,618",24,"14,989,776",35,"1,027,525",22,"71,235",60,"29,350",71,"50,000",46,182,50,2,90,0,131,12,58,81,33,0,134,0,125,87,42,10,45,252,48,"18,692",27,49,49,134,54,101,35,49,56,"40,186",39,0,98,0,99,3,34,0,99,4,38,0,104,33,39,2,47,"$                        							2,266,800,000",69,"$                        							58,773,000,000",56,"$                        							862,981,000,000",33,"$                        							62,492,000,000",38,575,13,"25,158,000",28,8,61,110,66,"20,986                        						
							km",12,"750,000                        						
							km",11,"95,000                        						
							bbl",44,"601,000                        						
							bbl",30,"15,000,000                        						
							bbl",83,"59,128,000                        						
							Cu.M",76,"4,487,000,000                        						
							Cu.M",60,"0                        						
							Cu.M",137,"245,467,000                        						
							Cu.M",7,"176,148,000                        						
							mt",8,"9,893,000,000                        						
							Cu.M",14,"1,219,090                        						
							km",24,"2,798                        						
							km",35,"5,244                        						
							km",34,"0                        						
							km",136
