global_rank,country_name,active-military-manpower,active-reserve-military-manpower,aircraft-helicopters-attack,aircraft-helicopters-total,aircraft-total,aircraft-total-attack-types,aircraft-total-fighters,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-total-trainers,aircraft-total-transports,armor-apc-total,armor-mlrs-total,armor-self-propelled-guns-total,armor-tanks-total,armor-towed-artillery-total,available-military-manpower,border-coverage,coal-consumption-by-country,coal-production-by-country,coastline-coverage,defense-spending-budget,external-debt-by-country,labor-force-by-country,major-ports-and-terminals,major-serviceable-airports-by-country,manpower-fit-for-military-service,manpower-paramilitary,manpower-reaching-military-age-annually,merchant-marine-strength-by-country,natural-gas-consumption-by-country,natural-gas-production-by-country,navy-aircraft-carriers,navy-corvettes,navy-destroyers,navy-force-by-tonnage,navy-frigates,navy-helo-carriers,navy-mine-warfare-craft,navy-patrol-coastal-craft,navy-ships,navy-submarines,oil-consumption-by-country,oil-production-by-country,proven-coal-reserves-by-country,proven-natural-gas-reserves-by-country,proven-oil-reserves-by-country,purchasing-power-parity,railway-coverage,reserves-of-foreign-exchange-and-gold,roadway-coverage,square-land-area,total-population-by-country,waterway-coverage
54,Sri Lanka,346000,90000,9,55,85,0,5,3,0,8,14,3190,28,0,44,96,10551652,0,2084000,0.0,1340,1265400000,46409500000,8707000,6,18,8551235,0,307757,96,0.0,0.0,0,0,0,27136.0,5,0,0,59,270,0,121000,0,0.0,0.0,0,287132000000,1562,3450700000,114093,65610,21982608,160
55,Angola,107000,0,15,116,298,12,71,2,0,66,31,5500,113,25,309,575,7440412,5369,0,0.0,1600,1101360000,45774500000,15223000,21,106,3720206,10000,372021,64,1397000000.0,5514000000.0,0,0,0,124962.0,0,0,0,29,31,0,127000,1175000,0.0,343002000000.0,7783000000,265868000000,2761,13942000000,26000,1246700,37202061,1300
56,Azerbaijan,126400,300000,16,86,154,18,12,0,0,35,3,7642,268,198,497,650,5218617,2468,60000,0.0,713,5000000000,16159500000,5473000,0,32,3908638,15000,159754,312,11759000000.0,34175000000.0,0,0,0,124962.0,0,0,4,17,38,4,105000,618000,0.0,1699000000000.0,7000000000,215896000000,2944,13749000000,24981,86600,10650239,0
57,Turkmenistan,36500,0,10,26,91,27,24,0,0,9,5,5016,164,73,654,450,2768681,4158,0,0.0,1768,1078020000,2134500000,2163000,0,23,2245963,3500,109139,73,41561000000.0,86472000000.0,0,0,0,124962.0,0,0,0,16,16,0,152000,272000,800000000.0,11327000000000.0,600000000,94790000000,5113,23415400000,58592,488100,5744151,1300
58,Sudan,92000,85000,35,64,165,27,37,0,0,15,13,2900,192,100,224,287,26747657,6819,0,0.0,853,342000000,37846000000,13590000,4,41,17108407,17500,1312149,14,0.0,0.0,0,0,0,124962.0,0,0,0,6,6,0,127000,68000,0.0,84951000000.0,1250000000,136039000000,7251,206763700,31000,1861484,50467278,4068
59,Panama,0,0,0,23,38,0,0,2,0,0,13,262,0,0,0,0,2011608,687,837000,0.0,2490,917202000,1115532300000,2096000,12,76,1206965,80000,53643,8174,389611000.0,0.0,0,0,0,124962.0,0,0,0,27,30,0,146000,0,0.0,0.0,0,159867000000,77,6757000000,11978,75420,4470241,800
60,Romania,81300,55000,0,65,140,0,21,2,0,44,14,10774,243,0,328,720,9437041,2844,19404000,18160000.0,225,9700000000,132000000000,8282000,11,82,7731114,15000,199630,127,10055000000.0,9501000000.0,0,7,0,124962.0,3,0,5,3,20,0,221000,67000,291000000.0,105480000000.0,600000000,772107000000,10628,73000000000,84185,238391,18148155,1731
61,Portugal,24000,211700,0,31,115,0,28,14,3,23,19,10828,0,24,34,115,5319863,1224,0,0.0,1793,4627000000,399395000000,5140900,18,136,4096295,24700,127677,996,4500000000.0,0.0,0,2,0,38657.0,5,0,0,20,194,2,191000,12932,40000000.0,72000000000.0,22440000,529901000000,3622,53710000000,136635,92090,10639726,764
62,Ethiopia,162000,0,7,33,103,0,25,0,0,34,8,7256,40,35,338,309,56904143,5925,660000,8000.0,0,2097575000,25761000000,61664000,0,57,35327989,0,2726657,12,0.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,110000,0,0.0,24919000000.0,428000,354604000000,659,3131288000,120171,1104300,118550298,0
63,Bolivia,40000,40000,0,33,64,0,0,0,0,19,15,890,0,0,54,106,5417269,7252,9000,0.0,0,550200000,11431000000,6114000,0,200,4112199,0,233928,50,3055000000.0,13760000000.0,0,0,0,124962.0,0,0,0,50,67,0,87000,58000,1000000.0,302990000000.0,240900000,119785000000,3690,1800000000,90568,1098581,12311974,10000
64,Uzbekistan,48000,0,34,101,192,13,58,0,0,7,13,2970,108,147,340,236,18990708,6893,7396000,5356000.0,420,2803500000,19652500000,14270000,0,74,15959499,20000,730412,0,43227000000.0,47500000000.0,0,0,0,124962.0,0,0,0,0,0,0,91000,64000,1375000000.0,1841000000000.0,594000000,319174000000,4642,34558000000,86496,447400,36520593,1100
65,Syria,170000,50000,14,77,207,9,104,1,0,15,3,11148,204,90,365,641,15273871,2363,47000,0.0,193,291850000,4309500000,6315000,3,39,13245310,50000,668232,24,3084000000.0,3085000000.0,0,0,0,124962.0,0,0,4,16,27,0,138000,75000,0.0,240693000000.0,2500000000,55935900000,2052,341962500,69873,187437,23865423,900
66,Denmark,20000,12000,0,34,117,4,31,3,0,41,4,3856,8,19,44,0,2628180,140,1788000,0.0,7314,7225466250,555500000000,3180000,69,99,2126436,51000,77651,715,2208000000.0,1879000000.0,0,0,0,121180.0,9,0,6,9,50,0,152000,63000,0.0,29534000000.0,441000000,428385000000,2682,109371000000,74558,43094,5973136,400
67,Jordan,100500,65000,44,155,274,6,44,13,0,66,13,16624,56,358,1458,80,3463947,1744,479000,0.0,26,2500000000,25646500000,3063000,1,17,2983464,35000,145262,34,4382000000.0,187262000.0,0,0,0,124962.0,0,0,0,27,27,0,97000,20,0.0,6031000000.0,1000000,106806000000,509,15715600000,7203,89342,11174024,0
68,Libya,32000,0,4,16,143,1,10,0,0,38,6,1816,25,15,43,28,3827857,4339,0,0.0,1770,3060000000,3322000000,2398000,14,66,3290485,100000,125141,96,9212000000.0,11832000000.0,0,1,0,124962.0,0,0,1,1,5,0,230000,1245000,0.0,1505000000000.0,48363000000,121951000000,2000,92427000000,37000,1759540,7361263,0
69,Honduras,52225,60000,0,8,40,7,4,1,0,10,10,614,0,0,11,32,4192843,1575,190000,0.0,832,413635000,8805500000,4676000,8,129,3144632,23000,95292,489,0.0,0.0,0,0,0,124962.0,0,0,0,93,98,0,67000,20,0.0,0.0,0,68854000000,699,7543000000,14742,112090,9529188,465
70,Cambodia,221000,0,0,21,25,0,0,0,0,0,4,3627,463,30,644,430,8190561,2530,2215000,113000.0,443,860000000,13200000000,9175000,2,13,5733393,10000,307146,195,0.0,0.0,0,0,0,124962.0,0,0,0,20,20,0,73000,0,0.0,0.0,0,85900000000,642,17801000000,47263,181035,17063669,3700
71,Paraguay,15650,168500,0,14,39,0,0,1,0,13,11,1108,0,0,0,25,3535598,4655,1000,0.0,0,17595000000,14370000000,3469000,1,83,3001497,15000,150451,108,0.0,0.0,0,0,0,124962.0,0,0,0,63,72,0,57000,2000,0.0,0.0,0,108022000000,30,9886000000,78811,406752,7522549,3100
72,Switzerland,101584,49715,0,40,146,0,43,3,0,44,16,6996,0,133,205,0,3898653,1770,161000,0.0,0,25039000000,2200000000000,4991000,0,62,3163225,5000,97466,17,3138000000.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,193000,300,0.0,0.0,0,733779000000,5296,863892000000,71557,41277,8860574,1292
73,Mongolia,35000,135000,0,2,7,0,0,0,0,2,3,2560,130,0,420,500,1870555,8082,6393000,28276000.0,0,165110000,19542500000,1403000,0,35,1552233,50000,62352,318,0.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,36000,15000,2520000000.0,0.0,0,56264000000,1815,4782000000,113200,1564116,3281676,580
74,Belarus,63000,145000,29,68,185,50,36,0,0,27,4,6916,206,357,507,215,5035769,3599,778000,0.0,0,1077900000,44000000000,4956000,0,46,3724569,55000,104516,4,16683000000.0,73929000.0,0,0,0,124962.0,0,0,0,0,0,0,131000,30000,0.0,2832000000.0,198000000,254407000000,5528,8118000000,86600,207600,9501451,2500
75,Cameroon,40000,0,0,21,35,0,0,2,0,6,6,430,20,18,0,52,10528476,5018,0,0.0,400,554952283,9506000000,11965000,7,37,6224187,12500,495458,198,877058000.0,2595000000.0,0,0,0,124962.0,0,0,0,51,51,0,40000,54000,0.0,135071000000.0,200000000,138925000000,987,5754093000,77589,475440,30966105,0
76,Mozambique,11200,0,2,8,22,0,8,1,0,1,4,872,6,0,30,52,14674420,4783,11000,9015000.0,2470,412400000,12100000000,15191000,11,92,7770772,3000,533615,36,1347000000.0,5388000000.0,0,0,0,124962.0,0,0,0,33,33,0,40000,0,1792000000.0,2832000000000.0,0,50631000000,4787,3515000000,31083,799380,33350954,460
77,Laos,100000,30000,0,23,33,0,0,0,0,8,2,4380,64,40,160,87,3499565,5274,13691000,14845000.0,0,135000000,16500000000,3174000,0,18,2521277,120000,159071,1,0.0,0.0,0,0,0,124962.0,0,0,0,36,36,0,24000,0,62000000.0,0.0,0,64173000000,422,1770000000,39568,236800,7953556,4600
78,Bulgaria,37000,3000,4,27,65,5,10,0,0,21,6,4914,24,48,90,24,3187850,1806,35970000,35516000.0,354,1373232000,27138500000,3103000,2,111,2611324,0,61044,78,2801000000.0,20837000.0,0,3,0,124962.0,4,0,10,0,36,0,101000,4000,2366000000.0,5663000000.0,15000000,214061000000,4029,46334000000,19512,110880,6782659,470
79,Ecuador,41250,118000,0,46,102,0,0,8,0,34,20,5204,24,5,54,106,8422593,2237,21000,0.0,2237,2376000000,44898000000,8893000,6,310,6738074,1500,329580,154,309778000.0,309778000.0,0,6,0,124962.0,2,0,0,5,30,2,225000,480000,24000000.0,10902000000.0,8273000000,260213000000,965,4442000000,43950,283560,18309984,1500
80,Serbia,25000,2000,4,46,110,17,11,0,0,33,3,3683,98,90,262,150,3259584,2322,38297000,35129000.0,0,2287461000,35200000000,3333000,0,43,2574406,600000,79827,0,2939000000.0,353376000.0,0,0,0,124962.0,0,0,5,7,20,0,82000,13000,7514000000.0,48139000000.0,77500000,162213000000,3333,27569000000,44248,77474,6652212,587
81,Kenya,50000,0,2,85,156,0,17,2,0,31,21,4128,0,18,188,53,21551160,3457,1168000,0.0,536,1307383850,30514500000,25502000,4,370,14037377,25000,931942,26,0.0,0.0,0,0,0,124962.0,0,0,0,7,23,0,119000,0,0.0,0.0,0,314063000000,3819,7342000000,161452,580367,58246378,0
82,Tunisia,89800,0,0,101,154,0,10,4,0,28,11,7913,0,0,90,85,6024424,1495,2000,0.0,1148,1400000000,27084500000,4445000,16,14,5181004,12000,204830,72,5153000000.0,1323000000.0,0,0,0,124962.0,0,0,0,51,58,0,108000,35000,0.0,65129000000.0,425000000,153637000000,2173,9240000000,20000,163610,12048847,0
83,Cuba,45500,40000,4,13,31,0,11,0,0,3,4,6864,15,60,113,130,5921661,29,2000,0.0,3735,4508784000,33066000000,5317000,34,123,4737328,1145000,142558,65,659434000.0,659434000.0,0,1,0,124962.0,1,0,4,6,19,0,165000,34000,0.0,70792000000.0,124000000,141400000000,8367,10442000000,60000,110860,10966038,240
84,Oman,42600,100000,0,31,128,10,29,4,0,45,9,4084,0,24,150,140,1482757,1561,31000,0.0,2092,8200000000,50897000000,2316000,7,36,1291559,10000,50726,57,27364000000.0,40754000000.0,0,5,0,124962.0,0,0,0,12,22,0,211000,1056000,0.0,651287000000.0,5375000000,185960000000,0,17455000000,60230,309500,3901992,0
85,Bahrain,18400,110000,34,80,132,0,24,0,0,40,3,2764,17,38,150,26,846120,0,0,0.0,161,1597200000,49500000000,855000,4,3,720768,1500,17236,184,17924000000.0,18005000000.0,0,2,0,124962.0,2,0,0,50,64,0,72000,189000,0.0,81382000000.0,186500000,85491000000,0,5118000000,4122,760,1566888,0
86,Chad,33250,0,3,16,40,7,0,2,0,8,7,3316,20,10,90,10,6873694,6406,0,0.0,0,381350000,2038000000,5806000,0,42,3856906,5000,381872,0,0.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,15000,124000,0.0,0.0,1500000000,32446000000,0,211591000,40000,1284000,19093595,12400
87,Tanzania,27000,80000,0,12,39,0,14,0,0,7,6,1072,0,0,62,0,12143182,4161,802000,2511000.0,1424,1406745334,18983500000,31219000,8,206,6678750,6500,607159,381,1808000000.0,1808000000.0,0,0,0,124962.0,0,0,0,10,12,0,58000,0,1410000000.0,6513000000.0,0,234050000000,4097,5693050000,145203,947300,67462121,0
88,Belgium,25000,6400,0,20,108,0,43,0,0,38,7,4606,0,0,0,0,4910830,1297,4869000,1270000.0,67,10200000000,1449264300000,5432000,7,49,3880753,0,119776,198,15347000000.0,13436000.0,0,0,0,10190.0,2,0,5,2,9,0,585000,11000,4100000000.0,0.0,0,751592000000,3602,40813000000,118414,30528,11977634,2043
89,Mali,40000,0,8,10,43,12,9,1,0,4,7,570,20,0,10,10,6817088,7908,0,0.0,0,650386000,4057500000,8277000,0,30,4288168,4800,351850,0,0.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,46000,0,0.0,0.0,0,57235000000,593,647800000,139107,1240192,21990607,1800
90,Lebanon,60000,35000,0,68,80,9,0,0,0,9,0,4538,11,12,116,353,2092148,484,207000,0.0,225,768250325,36928000000,1771000,5,8,1775644,65000,69738,51,0.0,0.0,0,0,0,124962.0,0,0,0,61,64,0,174000,0,0.0,0.0,0,65818000000,401,26498095000,21705,10400,5364482,0
91,Liberia,1500,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,2392390,1667,0,0.0,579,364800000,830923000,2499000,4,99,1913912,5500,65247,4821,0.0,0.0,0,0,0,124962.0,0,0,0,4,4,0,4000,0,0.0,0.0,0,8884000000,429,599660000,10600,111369,5437249,0
92,Georgia,55000,152500,11,44,61,5,0,0,0,10,2,3392,42,67,123,121,2744538,1814,516000,256000.0,310,495629055,13488000000,1853000,3,19,2225036,0,93118,26,2796000000.0,8760000.0,0,0,0,124962.0,0,0,4,31,19,0,32000,300,900999000.0,8495000000.0,35000000,83656000000,1363,5002000000,20295,69700,4900961,0
93,Kyrgyzstan,23000,300000,2,7,7,0,0,0,0,0,0,2686,21,30,215,169,3147772,4573,3352000,3637000.0,0,221800000,6728500000,3069000,0,28,2487357,55000,117270,0,438000000.0,31026000.0,0,0,0,124962.0,0,0,0,0,0,0,31000,6000,28499000000.0,5663000000.0,40000000,45461000000,424,3237000000,34000,199951,6172101,576
94,South Sudan,185000,0,6,15,20,0,0,0,0,0,5,1950,15,24,30,0,6351857,6018,0,0.0,0,175300000,2475000000,4471000,0,82,4065188,0,330297,0,0.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,14000,146000,0.0,0.0,3750000000,20010000000,248,183615000,90200,644329,12703714,0
95,Yemen,66700,0,7,30,84,12,27,0,0,15,2,550,10,0,0,15,12213368,1601,165000,0.0,1906,810375000,6343500000,6883000,10,36,9031464,20000,610668,30,189432000.0,189432000.0,0,1,0,124962.0,0,0,1,12,33,0,60000,15000,0.0,478555000000.0,3000000000,67003300000,0,923361750,71300,527968,32140443,0
96,Ghana,15500,0,0,10,19,0,0,2,0,5,2,1824,6,0,0,6,14873310,2420,85000,0.0,539,308500000,22550000000,14887000,4,11,9961658,0,622604,52,3912000000.0,3192000000.0,0,0,0,124962.0,0,0,0,27,28,0,110000,174000,0.0,22653000000.0,660000000,229639000000,947,3624000000,65725,238533,34589092,1293
97,Afghanistan,0,0,1,6,9,0,0,0,0,0,3,5202,0,0,0,0,15647405,5987,1545000,4885000.0,0,290000000,1142500000,8921000,0,67,8826741,80000,842553,0,80200000.0,80200000.0,0,0,0,124962.0,0,0,0,0,0,0,2700,0,66000000.0,49554000000.0,0,54772700000,0,8852092000,34903,652230,40121552,1200
98,Zambia,15150,0,0,32,77,0,0,0,0,34,13,424,25,12,35,30,7279691,6043,823000,831000.0,0,394240000,13200000000,7051000,0,119,4139024,1200,374384,2,0.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,34000,0,944999000.0,0.0,0,76493000000,3126,2861000000,67671,752618,20799116,0
99,Croatia,14325,20100,0,37,67,0,10,0,0,28,0,2848,42,25,45,42,2033557,2237,702000,0.0,5835,1176000000,55000000000,1744000,16,40,1564594,2000,53952,384,2502000000.0,741456000.0,0,0,0,124962.0,0,0,1,10,30,0,70000,11000,0.0,24919000000.0,71000000,159305000000,2617,3176000000,26958,56594,4150116,4714
100,Niger,25000,0,1,13,26,2,0,2,0,0,7,456,0,0,0,0,7902835,5834,457000,457000.0,0,336400000,3844000000,10237000,0,26,5294900,5000,447827,0,29858000.0,29509000.0,0,0,0,124962.0,0,0,0,0,0,0,13000,6000,90000000.0,0.0,150000000,44561000000,0,1442772000,18949,1267000,26342784,300
101,Namibia,13000,0,2,7,34,0,11,0,0,14,3,2094,25,0,4,25,616805,4220,32000,0.0,1572,370500000,8800000000,989000,2,255,400923,5000,30840,15,0.0,0.0,0,2,0,124962.0,0,0,0,12,15,0,25000,0,350000000.0,62297000000.0,0,29944000000,2628,2956000000,48875,824292,2803660,0
102,Hungary,41600,20000,8,44,69,0,12,0,0,12,3,7797,0,24,209,295,4632200,2106,6180000,5450000.0,0,4576000000,137500000000,5006000,0,109,3794462,15000,118269,1,9485000000.0,1523000000.0,0,0,0,124962.0,0,0,0,0,0,0,175000,36000,2909000000.0,3738000000.0,12100000,388906000000,7687,45719000000,203601,103000,9855745,1622
103,Czechia,28000,4200,4,42,99,16,12,2,0,17,10,6340,16,50,43,0,5093808,2046,40239000,37423000.0,0,6750000000,211200000000,5502000,0,243,4129236,0,97541,0,7602000000.0,224725000.0,0,0,0,124962.0,0,0,0,0,0,0,211000,4000,3595000000.0,3964000000.0,15000000,519007000000,9548,148379000000,55744,78867,10837890,664
104,Mauritania,31540,66000,0,4,24,4,0,2,0,7,7,628,0,0,25,75,1687936,5002,0,0.0,754,261250000,3661000000,1179000,2,25,1181555,5000,82233,11,0.0,0.0,0,0,0,124962.0,0,0,0,6,6,0,29000,0,0.0,28317000000.0,20000000,30395000000,728,2629290500,12253,1030700,4328040,1086
105,Tajikistan,9500,600000,6,20,25,0,0,0,0,4,1,1240,20,3,38,13,4781269,4130,2245000,2175000.0,0,446000000,7150000000,2677000,0,19,3773045,20000,176699,0,85567000.0,18476000.0,0,0,0,124962.0,0,0,0,0,0,0,28000,300,4075000000.0,5663000000.0,12000000,46467000000,680,2748900000,30000,144100,10394063,200
106,Guatemala,106114,90000,0,21,36,4,0,0,0,0,10,688,0,0,5,50,7484639,1667,1296000,0.0,400,408635000,27500000000,7258000,3,58,6279794,35000,182552,9,2986000.0,3276000.0,0,0,0,124962.0,0,0,0,20,25,0,115000,6000,0.0,0.0,86110000,223183000000,800,21311000000,17440,108889,18255216,990
107,Uganda,45000,0,6,30,51,0,6,0,0,12,0,3862,12,6,259,26,16756234,2729,0,0.0,0,985400000,11818000000,18881000,0,39,9905891,10000,985661,0,0.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,43000,0,800000000.0,14158000000.0,2500000000,135668000000,1244,3506500000,20544,241038,49283041,0
108,Austria,16000,125600,0,41,85,0,15,0,0,18,11,7322,0,30,56,0,4035592,2524,5026000,1271000.0,0,5475750000,630000000000,4825000,0,61,3632033,0,98648,1,8136000000.0,618209000.0,0,0,0,124962.0,0,0,0,0,0,0,245000,18000,0.0,5040000000.0,35200000,590354000000,6123,31212000000,137039,83871,8967982,358
109,Ireland,7765,1700,0,8,22,0,0,2,0,8,4,1712,0,0,0,0,2407392,443,1322000,0.0,1448,1500000000,3300000000000,2766000,21,100,1999182,0,57568,94,5280000000.0,1447000000.0,0,0,0,124962.0,0,0,0,8,8,0,156000,600,40000000.0,9911000000.0,0,608463000000,1688,12905000000,99830,70273,5233461,956
110,New Zealand,8670,3250,0,21,48,0,0,6,0,13,8,2114,0,0,0,31,2219321,0,2441000,3036000.0,15134,3030000000,209683100000,3068000,22,202,1775457,300,61935,117,3819000000.0,3770000000.0,0,0,0,124962.0,2,0,0,4,8,0,154000,12000,7575000000.0,31149000000.0,40993000,254770000000,4128,15487000000,94000,268838,5161211,0
111,Eritrea,120000,130000,6,13,20,0,1,0,0,1,5,860,22,23,65,75,2220385,1840,0,0.0,2234,198000000,635504500,1800000,2,10,1598677,0,76127,9,0.0,0.0,0,0,0,124962.0,0,0,0,18,23,0,4000,0,0.0,0.0,0,9702000000,306,225014976,16000,117600,6343956,0
112,Ivory Coast,22000,0,3,10,19,0,0,3,0,2,4,656,3,0,5,2,12292521,3458,0,0.0,515,669600935,19311500000,10954000,5,29,7855221,5500,569653,25,2635000000.0,2635000000.0,0,0,0,124962.0,0,0,0,3,3,0,60000,29000,0.0,28317000000.0,100000000,202758000000,660,7583484000,81996,322463,29981758,980
113,Central African Republic,10000,0,0,0,6,6,0,0,0,0,0,228,0,0,0,0,2203873,5920,0,0.0,0,45990000,666293000,2114000,0,43,1254512,1000,101717,0,0.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,2000,0,3000000.0,0.0,0,5849000000,0,374405000,24000,622984,5650957,2800
114,Republic of the Congo,8500,0,1,7,13,0,2,0,0,0,4,644,30,2,30,38,2256136,5008,0,0.0,169,306400000,5741000000,2461000,5,56,1353682,2500,115856,11,423000000.0,423000000.0,0,0,0,124962.0,0,0,0,0,4,0,12000,267000,0.0,283990000000.0,2885000000,38163000000,510,715391000,23324,342000,6097665,1120
115,Latvia,17250,36000,0,7,7,0,0,0,0,0,0,1848,0,47,0,0,810561,1370,20000,0.0,498,1138000000,44180400000,978000,5,56,648449,12500,16211,83,828214000.0,0.0,0,0,0,124962.0,0,0,6,11,18,0,35000,2000,0.0,0.0,0,71154000000,2216,4957000000,70244,64589,1801246,300
116,Zimbabwe,29000,0,6,28,95,0,13,0,0,40,14,828,0,0,15,0,6517134,3229,4479000,3877000.0,0,530800000,11000000000,6561000,0,144,3721626,21800,360157,0,0.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,29000,800,502000000.0,0.0,0,58583000000,3427,115530000,97267,390757,17150352,0
117,Nepal,95000,0,0,10,15,0,0,0,0,0,5,1108,0,0,0,14,15249970,3159,1095000,15000.0,0,409100000,5838500000,8937000,0,51,11733140,15000,778060,0,0.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,62000,0,8000000.0,0.0,0,144310000000,59,12456000000,27990,147181,31122387,0
118,Lithuania,23000,104000,0,4,9,0,0,0,0,0,5,1263,0,21,0,54,1708321,1545,263000,0.0,90,2388900000,44000000000,1510000,2,65,1332490,14150,36795,59,1601000000.0,0.0,0,0,0,124962.0,0,0,4,7,14,0,68000,4000,0.0,0.0,12000000,132712000000,1911,6168000000,84166,65300,2628186,441
119,Armenia,57500,210000,20,36,71,15,4,0,0,13,3,1306,100,145,109,148,1666988,1570,23000,60.0,0,1700000000,9014000000,1356000,0,11,1366335,5000,44651,0,2861000000.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,14000,0,317000000.0,0.0,0,57728000000,686,3607000000,7700,29743,2976765,0
120,Botswana,21000,0,0,16,45,0,11,0,0,9,9,1224,20,12,45,36,1029281,4347,2291000,2634000.0,0,465600000,1853500000,1170000,0,122,617568,0,24507,0,0.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,21000,0,1660000000.0,0.0,0,46742000000,888,4756000000,31747,581730,2450668,0
121,Nicaragua,45000,0,0,11,17,0,0,0,0,1,5,1869,0,0,89,0,3271705,1253,0,0.0,910,92000000,9053000000,3264000,5,39,2777610,5500,146893,5,0.0,0.0,0,0,0,124962.0,0,0,0,23,23,0,36000,200,0.0,0.0,0,51088000000,0,5447000000,23897,130370,6676948,2220
122,Uruguay,25000,0,0,12,43,6,0,5,2,12,6,3042,4,6,31,70,1575652,1591,18000,0.0,660,772400000,49500000000,1775000,8,64,1322177,5000,54805,58,86037000.0,0.0,0,0,0,124962.0,0,0,2,2,14,0,52000,400,0.0,0.0,0,105096000000,1673,16257000000,77732,176215,3425330,1600
123,Dominican Republic,50000,0,0,50,79,8,0,1,0,17,11,540,0,0,5,11,4975294,376,2188000,0.0,1288,810800000,27500000000,5302000,17,32,4034315,30000,97343,40,2440000000.0,0.0,0,0,0,124962.0,0,0,0,14,34,0,134000,0,0.0,0.0,0,261616000000,496,15547000000,19705,48320,10815857,0
124,Senegal,17000,0,5,20,40,0,0,1,0,23,5,1740,6,0,0,20,7162057,2684,502000,0.0,531,465150000,11326000000,5257000,6,19,4089912,0,395798,36,54498000.0,54646000.0,0,0,0,124962.0,0,0,0,4,4,0,55000,9000,0.0,0.0,0,77382000000,906,889295000,16665,196722,18847519,1000
125,Burkina Faso,12000,0,5,18,25,3,0,2,0,0,2,491,9,0,0,8,8525614,3611,0,0.0,0,81280000,3145000000,8577000,0,49,6060098,4500,368675,0,0.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,36000,0,0.0,0.0,0,57152000000,622,47138000,15304,274200,23042199,0
126,Gabon,4800,0,0,15,24,0,6,0,0,0,3,424,14,0,0,0,932940,3261,0,0.0,885,274820000,6280000000,763000,9,40,532758,2500,46647,87,463000000.0,463000000.0,0,0,0,124962.0,0,0,0,4,5,0,16000,204000,0.0,25995000000.0,2000000000,48201000000,649,1568196000,14300,267667,2455105,1600
127,Somalia,15000,0,0,0,0,0,0,0,0,0,0,682,0,0,0,0,2993973,2385,0,0.0,3025,171002350,5830000000,3277000,6,38,1796384,2000,130173,4,0.0,0.0,0,0,0,124962.0,0,0,0,10,10,0,6000,0,0.0,5663000000.0,0,26351000000,0,16747500,15000,637657,13017273,0
128,Estonia,7700,78800,0,3,5,0,0,0,0,3,2,1685,0,36,0,0,584958,657,3000,0.0,3794,1463360000,26400000000,752000,20,26,456028,10000,13132,72,354912000.0,0.0,0,0,0,124962.0,0,0,4,4,8,0,28000,24000,0.0,0.0,0,57377000000,1441,2593000000,58412,45228,1193791,335
129,Luxembourg,1000,0,0,0,1,0,0,0,0,0,1,182,0,0,0,0,154388,327,62000,0.0,0,726092925,4730000000000,352000,0,3,92633,0,3356,147,594240000.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,51000,0,0.0,0.0,0,88533000000,271,2977000000,2875,2586,671254,37
130,Albania,6600,2000,0,19,19,0,0,0,0,0,0,1796,135,0,46,50,1522479,691,389000,379000.0,362,558862420,7312000000,1388000,3,3,1292554,500,62142,67,50623000.0,50623000.0,0,0,0,124962.0,0,0,0,19,19,0,2600,1400,522000000.0,5692000000.0,150000000,49592000000,424,6455000000,3945,28748,3107100,41
131,Madagascar,13500,0,0,5,5,0,0,0,0,0,0,158,0,0,6,9,11192031,0,511000,0.0,4828,112210000,3028500000,15830000,13,91,7952233,8100,559602,29,0.0,0.0,0,0,0,124962.0,0,0,0,4,6,0,19000,0,150000000.0,0.0,0,51255000000,836,2632000000,31640,587040,29452714,600
132,Suriname,2000,0,0,3,3,0,0,0,0,0,0,650,0,0,0,0,142287,1907,0,0.0,386,144000000,2200000000,250000,4,55,84079,200,3234,13,6967000.0,7109000.0,0,0,0,124962.0,0,0,0,17,17,0,15000,14000,0.0,0.0,89000000,11824000000,0,1346000000,4304,163820,646758,1200
133,Bosnia and Herzegovina,12770,6000,0,22,22,0,0,0,0,0,0,720,79,0,45,457,2355176,1543,14766000,14114000.0,20,216400000,7760500000,1369000,1,13,1956316,0,49383,0,225824000.0,0.0,0,0,0,124962.0,0,0,0,0,0,0,36000,0,2264000000.0,0.0,0,63769000000,965,9205000000,22926,51197,3798671,990
