global_rank,country_name,active-reserve-military-manpower,aircraft-helicopters-attack,aircraft-helicopters-total,aircraft-total,aircraft-total-fighters,aircraft-total-transports,armor-apc-total,armor-tanks-total,border-coverage,coal-consumption-by-country,coal-production-by-country,coastline-coverage,external-debt-by-country,labor-force-by-country,major-serviceable-airports-by-country,manpower-fit-for-military-service,manpower-paramilitary,manpower-reaching-military-age-annually,natural-gas-production-by-country,navy-aircraft-carriers,navy-force-by-tonnage,navy-frigates,navy-helo-carriers,navy-mine-warfare-craft,navy-ships,navy-submarines,oil-consumption-by-country,oil-production-by-country,proven-coal-reserves-by-country,proven-natural-gas-reserves-by-country,proven-oil-reserves-by-country,purchasing-power-parity,railway-coverage,reserves-of-foreign-exchange-and-gold,roadway-coverage,total-population-by-country,waterway-coverage
116,Luxembourg,0,0,0,1,0,1,182,0,"327                        						
							km","62,000                        						
							mt","0                        						
							Cu.M","0                        						
							km","$                        							4,730,000,000,000","352,000",3,"92,633",0,"3,356","0                        						
							Cu.M",0,,0,0,0,0,0,"51,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							88,533,000,000","271                        						
							km","$                        							2,977,000,000","2,875                        						
							km","671,254","37                        						
							km"
117,Guatemala,"90,000",0,21,36,0,10,688,5,"1,667                        						
							km","1,296,000                        						
							mt","0                        						
							Cu.M","400                        						
							km","$                        							27,500,000,000","7,258,000",58,"6,279,794","35,000","182,552","3,276,000                        						
							Cu.M",0,,0,0,0,25,0,"115,000                        						
							bbl","6,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","86,110,000                        						
							bbl","$                        							223,183,000,000","800                        						
							km","$                        							21,311,000,000","17,440                        						
							km","18,255,216","990                        						
							km"
118,Uruguay,0,0,12,43,0,6,"3,042",31,"1,591                        						
							km","18,000                        						
							mt","0                        						
							Cu.M","660                        						
							km","$                        							49,500,000,000","1,775,000",64,"1,322,177","5,000","54,805","0                        						
							Cu.M",0,,0,0,2,14,0,"52,000                        						
							bbl","400                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							105,096,000,000","1,673                        						
							km","$                        							16,257,000,000","77,732                        						
							km","3,425,330","1,600                        						
							km"
119,Gabon,0,0,15,24,6,3,424,0,"3,261                        						
							km","0                        						
							mt","0                        						
							Cu.M","885                        						
							km","$                        							6,280,000,000","763,000",40,"532,758","2,500","46,647","463,000,000                        						
							Cu.M",0,,0,0,0,5,0,"16,000                        						
							bbl","204,000                        						
							bbl","0                        						
							Cu.M","25,995,000,000                        						
							Cu.M","2,000,000,000                        						
							bbl","$                        							48,201,000,000","649                        						
							km","$                        							1,568,196,000","14,300                        						
							km","2,455,105","1,600                        						
							km"
120,Senegal,0,5,20,40,0,5,"1,740",0,"2,684                        						
							km","502,000                        						
							mt","0                        						
							Cu.M","531                        						
							km","$                        							11,326,000,000","5,257,000",19,"4,089,912",0,"395,798","54,646,000                        						
							Cu.M",0,,0,0,0,4,0,"55,000                        						
							bbl","9,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							77,382,000,000","906                        						
							km","$                        							889,295,000","16,665                        						
							km","18,847,519","1,000                        						
							km"
121,Lebanon,"35,000",0,68,80,0,0,"4,538",116,"484                        						
							km","207,000                        						
							mt","0                        						
							Cu.M","225                        						
							km","$                        							36,928,000,000","1,771,000",8,"1,775,644","65,000","69,738","0                        						
							Cu.M",0,,0,0,0,64,0,"174,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							65,818,000,000","401                        						
							km","$                        							26,498,095,000","21,705                        						
							km","5,364,482","0                        						
							km"
122,Panama,0,0,23,38,0,13,262,0,"687                        						
							km","837,000                        						
							mt","0                        						
							Cu.M","2,490                        						
							km","$                        							1,115,532,300,000","2,096,000",76,"1,206,965","80,000","53,643","0                        						
							Cu.M",0,,0,0,0,30,0,"146,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							159,867,000,000","77                        						
							km","$                        							6,757,000,000","11,978                        						
							km","4,470,241","800                        						
							km"
123,Estonia,"78,800",0,3,5,0,2,"1,685",0,"657                        						
							km","3,000                        						
							mt","0                        						
							Cu.M","3,794                        						
							km","$                        							26,400,000,000","752,000",26,"456,028","10,000","13,132","0                        						
							Cu.M",0,,0,0,4,8,0,"28,000                        						
							bbl","24,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							57,377,000,000","1,441                        						
							km","$                        							2,593,000,000","58,412                        						
							km","1,193,791","335                        						
							km"
124,Eritrea,"130,000",6,13,20,1,5,860,65,"1,840                        						
							km","0                        						
							mt","0                        						
							Cu.M","2,234                        						
							km","$                        							635,504,500","1,800,000",10,"1,598,677",0,"76,127","0                        						
							Cu.M",0,,0,0,0,23,0,"4,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							9,702,000,000","306                        						
							km","$                        							225,014,976","16,000                        						
							km","6,343,956","0                        						
							km"
125,Armenia,"210,000",20,36,71,4,3,"1,306",109,"1,570                        						
							km","23,000                        						
							mt","60                        						
							Cu.M","0                        						
							km","$                        							9,014,000,000","1,356,000",11,"1,366,335","5,000","44,651","0                        						
							Cu.M",0,,0,0,0,0,0,"14,000                        						
							bbl","0                        						
							bbl","317,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							57,728,000,000","686                        						
							km","$                        							3,607,000,000","7,700                        						
							km","2,976,765","0                        						
							km"
126,Nicaragua,0,0,11,17,0,5,"1,869",89,"1,253                        						
							km","0                        						
							mt","0                        						
							Cu.M","910                        						
							km","$                        							9,053,000,000","3,264,000",39,"2,777,610","5,500","146,893","0                        						
							Cu.M",0,,0,0,0,23,0,"36,000                        						
							bbl","200                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							51,088,000,000","0                        						
							km","$                        							5,447,000,000","23,897                        						
							km","6,676,948","2,220                        						
							km"
127,Slovakia,0,0,22,41,2,7,"3,074",45,"1,587                        						
							km","5,794,000                        						
							mt","2,343,000                        						
							Cu.M","0                        						
							km","$                        							127,600,000,000","2,823,000",114,"2,353,424",0,"61,200","52,556,000                        						
							Cu.M",0,,0,0,0,0,0,"94,000                        						
							bbl","7,000                        						
							bbl","19,000,000                        						
							Cu.M","14,158,000,000                        						
							Cu.M","9,000,000                        						
							bbl","$                        							213,053,000,000","3,627                        						
							km","$                        							11,288,000,000","56,926                        						
							km","5,563,649","172                        						
							km"
128,Somalia,0,0,0,0,0,0,682,0,"2,385                        						
							km","0                        						
							mt","0                        						
							Cu.M","3,025                        						
							km","$                        							5,830,000,000","3,277,000",38,"1,796,384","2,000","130,173","0                        						
							Cu.M",0,,0,0,0,10,0,"6,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","5,663,000,000                        						
							Cu.M","0                        						
							bbl","$                        							26,351,000,000","0                        						
							km","$                        							16,747,500","15,000                        						
							km","13,017,273","0                        						
							km"
129,Dominican Republic,0,0,50,79,0,11,540,5,"376                        						
							km","2,188,000                        						
							mt","0                        						
							Cu.M","1,288                        						
							km","$                        							27,500,000,000","5,302,000",32,"4,034,315","30,000","97,343","0                        						
							Cu.M",0,,0,0,0,34,0,"134,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							261,616,000,000","496                        						
							km","$                        							15,547,000,000","19,705                        						
							km","10,815,857","0                        						
							km"
130,Benin,0,0,5,5,0,0,92,0,"2,123                        						
							km","45,000                        						
							mt","0                        						
							Cu.M","121                        						
							km","$                        							4,066,500,000","4,964,000",10,"3,189,260",0,"308,638","0                        						
							Cu.M",0,,0,0,0,2,0,"46,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","1,133,000,000                        						
							Cu.M","8,000,000                        						
							bbl","$                        							52,510,000,000","438                        						
							km","$                        							698,900,000","16,000                        						
							km","14,697,052","150                        						
							km"
131,Madagascar,0,0,5,5,0,0,158,6,"0                        						
							km","511,000                        						
							mt","0                        						
							Cu.M","4,828                        						
							km","$                        							3,028,500,000","15,830,000",91,"7,952,233","8,100","559,602","0                        						
							Cu.M",0,,0,0,0,6,0,"19,000                        						
							bbl","0                        						
							bbl","150,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							51,255,000,000","836                        						
							km","$                        							2,632,000,000","31,640                        						
							km","29,452,714","600                        						
							km"
132,Bosnia and Herzegovina,"6,000",0,22,22,0,0,720,45,"1,543                        						
							km","14,766,000                        						
							mt","14,114,000                        						
							Cu.M","20                        						
							km","$                        							7,760,500,000","1,369,000",13,"1,956,316",0,"49,383","0                        						
							Cu.M",0,,0,0,0,0,0,"36,000                        						
							bbl","0                        						
							bbl","2,264,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							63,769,000,000","965                        						
							km","$                        							9,205,000,000","22,926                        						
							km","3,798,671","990                        						
							km"
133,Suriname,0,0,3,3,0,0,650,0,"1,907                        						
							km","0                        						
							mt","0                        						
							Cu.M","386                        						
							km","$                        							2,200,000,000","250,000",55,"84,079",200,"3,234","7,109,000                        						
							Cu.M",0,,0,0,0,17,0,"15,000                        						
							bbl","14,000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","89,000,000                        						
							bbl","$                        							11,824,000,000","0                        						
							km","$                        							1,346,000,000","4,304                        						
							km","646,758","1,200                        						
							km"
134,Moldova,"67,000",0,2,3,0,1,500,0,"1,885                        						
							km","120,000                        						
							mt","0                        						
							Cu.M","0                        						
							km","$                        							4,565,500,000","1,464,000",11,"1,792,565","2,000","71,991","10,000                        						
							Cu.M",0,,0,0,0,0,0,"22,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							38,969,000,000","1,171                        						
							km","$                        							5,453,000,000","9,352                        						
							km","3,599,528","558                        						
							km"
135,Slovenia,"26,000",0,16,39,0,4,"1,428",54,"1,211                        						
							km","2,553,000                        						
							mt","2,358,000                        						
							Cu.M","47                        						
							km","$                        							55,000,000,000","1,055,000",42,"826,570","5,000","22,867","3,863,000                        						
							Cu.M",0,,0,0,0,2,0,"45,000                        						
							bbl","0                        						
							bbl","95,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							102,036,000,000","1,207                        						
							km","$                        							2,370,000,000","38,985                        						
							km","2,097,893","710                        						
							km"
136,Liberia,0,0,0,0,0,0,300,0,"1,667                        						
							km","0                        						
							mt","0                        						
							Cu.M","579                        						
							km","$                        							830,923,000","2,499,000",99,"1,913,912","5,500","65,247","0                        						
							Cu.M",0,,0,0,0,4,0,"4,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							8,884,000,000","429                        						
							km","$                        							599,660,000","10,600                        						
							km","5,437,249","0                        						
							km"
137,El Salvador,"10,000",0,30,52,0,4,"1,844",0,"590                        						
							km","500                        						
							mt","0                        						
							Cu.M","307                        						
							km","$                        							14,258,000,000","2,870,000",27,"2,512,278","15,000","145,831","0                        						
							Cu.M",0,,0,0,0,14,0,"58,000                        						
							bbl","3                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							71,957,000,000","13                        						
							km","$                        							3,799,434,000","9,012                        						
							km","6,628,702","422                        						
							km"
138,Albania,"2,000",0,19,19,0,0,"1,796",46,"691                        						
							km","389,000                        						
							mt","379,000                        						
							Cu.M","362                        						
							km","$                        							7,312,000,000","1,388,000",3,"1,292,554",500,"62,142","50,623,000                        						
							Cu.M",0,,0,0,0,19,0,"2,600                        						
							bbl","1,400                        						
							bbl","522,000,000                        						
							Cu.M","5,692,000,000                        						
							Cu.M","150,000,000                        						
							bbl","$                        							49,592,000,000","424                        						
							km","$                        							6,455,000,000","3,945                        						
							km","3,107,100","41                        						
							km"
139,Sierra Leone,0,0,1,1,0,0,150,0,"1,093                        						
							km","0                        						
							mt","0                        						
							Cu.M","402                        						
							km","$                        							2,687,000,000","2,913,000",8,"1,203,978",0,"45,605","0                        						
							Cu.M",0,,0,0,0,7,0,"9,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							14,633,000,000","0                        						
							km","$                        							495,699,000","11,701                        						
							km","9,121,049","800                        						
							km"
140,North Macedonia,"60,000",4,10,20,0,0,"1,108",20,"838                        						
							km","5,776,000                        						
							mt","5,075,000                        						
							Cu.M","0                        						
							km","$                        							11,000,000,000","801,000",13,"783,773","3,500","27,763","0                        						
							Cu.M",0,,0,0,0,0,0,"22,000                        						
							bbl","0                        						
							bbl","332,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							42,444,000,000","699                        						
							km","$                        							5,015,000,000","14,182                        						
							km","2,135,622","0                        						
							km"
141,Montenegro,0,0,11,11,0,0,471,0,"680                        						
							km","1,517,000                        						
							mt","1,734,000                        						
							Cu.M","294                        						
							km","$                        							2,958,500,000","286,000",5,"85,179","5,500","3,599","0                        						
							Cu.M",0,,0,0,0,14,0,"8,000                        						
							bbl","0                        						
							bbl","337,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							17,115,000,000","250                        						
							km","$                        							1,574,000,000","7,762                        						
							km","599,849","0                        						
							km"
142,Bhutan,0,0,2,2,0,0,84,0,"1,136                        						
							km","325,000                        						
							mt","177,000                        						
							Cu.M","0                        						
							km","$                        							2,757,000,000","430,000",4,"122,067",0,"4,423","0                        						
							Cu.M",0,,0,0,0,0,0,"3,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							10,981,000,000","0                        						
							km","$                        							976,260,000","12,205                        						
							km","884,546","0                        						
							km"
143,Kosovo,"5,000",0,0,0,0,0,737,0,"714                        						
							km","8,927,000                        						
							mt","9,074,000                        						
							Cu.M","0                        						
							km","$                        							2,750,000,000","500,300",4,"743,387",500,"17,794","0                        						
							Cu.M",0,,0,0,0,0,0,"15,000                        						
							bbl","0                        						
							bbl","1,564,000,000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							23,794,000,000","437                        						
							km","$                        							1,245,000,000","2,012                        						
							km","1,977,093","0                        						
							km"
144,Beliz,850,0,1,3,0,1,130,0,"542                        						
							km","0                        						
							mt","0                        						
							Cu.M","386                        						
							km","$                        							1,248,000,000","190,000",27,"90,226",0,"8,732","0                        						
							Cu.M",0,,0,0,0,8,0,"5,000                        						
							bbl","800                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","6,700,000                        						
							bbl","$                        							5,257,000,000","0                        						
							km","$                        							473,729,000","3,281                        						
							km","415,789","825                        						
							km"
145,Iceland,0,0,0,0,0,0,150,0,"0                        						
							km","188,000                        						
							mt","0                        						
							Cu.M","4,970                        						
							km","$                        							22,000,000,000","239,000",83,"50,237",0,"1,820","0                        						
							Cu.M",0,,0,0,0,0,0,"18,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							bbl","$                        							26,155,000,000","0                        						
							km","$                        							5,809,000,000","12,898                        						
							km","364,036","0                        						
							km"
