country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coal_consumption_mt,coal_production_cum,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,external_debt_usd,fighter_aircraft,fit_for_service,foreign_exchange_and_gold_reserves_usd,frigates,helicopter_carriers,labour_force,major_ports_and_terminals,mine_warfare_craft,natural_gas_consumption_cum,natural_gas_production_cum,oil_consumption_bbl,oil_production_bbl,paramilitary,population_reaching_military_age_annually,proven_coal_reserves_cum,proven_natural_gas_reserves_cum,proven_oil_reserves_bbl,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_merchant_marine_fleet,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km
Bosnia and Herzegovina,12770,0,720,0,0,1543,14766000,14114000,0,20,0,216400000,0,7760500000,0,1956316,9205000000,0,0,1369000,1,0,225824000,0,36000,0,0,49383,2264000000,0,0,63769000000,965,6000,22926,79,0,0,0,0,45,51197,0,22,22,2355176,0,3798671,13,457,0,0,990
Botswana,21000,0,1224,0,0,4347,2291000,2634000,0,0,0,465600000,0,1853500000,11,617568,4756000000,0,0,1170000,0,0,0,0,21000,0,0,24507,1660000000,0,0,46742000000,888,0,31747,20,12,0,0,0,45,581730,0,45,16,1029281,0,2450668,122,36,9,9,0
Brazil,360000,0,22464,38,0,16145,32787000,15644000,23,7491,2,26157300000,0,4.32224E+11,43,88680759,3.55021E+11,6,1,108695000,45,3,31654000000,22670000000,3027000,4221000,200000,3520824,6596000000,3.63985E+11,12715000000,4.016E+12,29850,340000,2000000,38,109,25,4,0,294,8515770,888,513,191,112226271,64,220051512,4919,412,133,109,50000
Bulgaria,37000,0,4914,5,4,1806,35970000,35516000,0,354,3,1373232000,0,27138500000,10,2611324,46334000000,4,0,3103000,2,10,2801000000,20837000,101000,4000,0,61044,2366000000,5663000000,15000000,2.14061E+11,4029,3000,19512,24,48,0,0,0,90,110880,78,65,27,3187850,36,6782659,111,24,21,6,470
Burkina Faso,12000,0,491,3,5,3611,0,0,0,0,0,81280000,0,3145000000,0,6060098,47138000,0,0,8577000,0,0,0,0,36000,0,4500,368675,0,0,0,57152000000,622,0,15304,9,0,2,0,0,0,274200,0,25,18,8525614,0,23042199,49,8,0,2,0
Cambodia,221000,0,3627,0,0,2530,2215000,113000,20,443,0,860000000,0,13200000000,0,5733393,17801000000,0,0,9175000,2,0,0,0,73000,0,10000,307146,0,0,0,85900000000,642,0,47263,463,30,0,0,0,644,181035,195,25,21,8190561,20,17063669,13,430,0,4,3700
Cameroon,40000,0,430,0,0,5018,0,0,51,400,0,554952283,0,9506000000,0,6224187,5754093000,0,0,11965000,7,0,877058000,2595000000,40000,54000,12500,495458,0,1.35071E+11,200000000,1.38925E+11,987,0,77589,20,18,2,0,0,0,475440,198,35,21,10528476,51,30966105,37,52,6,6,0
Canada,68000,0,21704,0,0,8893,17138000,43024000,24,202080,0,41000000000,0,2.33738E+12,66,13500595,1.17551E+11,12,0,22110000,284,0,1.30316E+11,1.87686E+11,2454000,5692000,5500,426743,6582000000,2.06713E+12,1.703E+11,2.238E+12,4942,27000,1042300,0,0,33,4,6,74,9984670,716,351,145,16681770,73,38794813,1425,0,95,28,636
Central African Republic,10000,0,228,6,0,5920,0,0,0,0,0,45990000,0,666293000,0,1254512,374405000,0,0,2114000,0,0,0,0,2000,0,1000,101717,3000000,0,0,5849000000,0,0,24000,0,0,0,0,0,0,622984,0,6,0,2203873,0,5650957,43,0,0,0,2800
Chad,33250,0,3316,7,3,6406,0,0,0,0,0,381350000,0,2038000000,0,3856906,211591000,0,0,5806000,0,0,0,0,15000,124000,5000,381872,0,0,1500000000,32446000000,0,0,40000,20,10,2,0,0,90,1284000,0,40,16,6873694,0,19093595,42,10,8,7,12400
Chile,80000,0,8832,0,0,7801,8637000,499000,40,6435,0,5032500000,0,2.145E+11,45,7521855,46377000000,8,0,9848000,39,0,6916000000,1200000000,405000,11000,50000,298634,1181000000,97976000000,150000000,5.79201E+11,7282,40000,77801,8,48,21,4,5,386,756102,249,277,87,8959033,130,18664652,374,249,92,32,12290
China,2035000,3,144017,371,281,22457,5313000000,4827000000,150,14500,72,2.6685E+11,50,1.21846E+12,1212,626864169,3.45E+12,47,4,779246000,66,36,3.6616E+11,2.25341E+11,15148000,4984000,625000,19810606,1.43197E+11,6.654E+12,26023000000,3.1227E+13,150000,510000,5200000,2750,3490,112,61,10,6800,9596960,8314,3309,913,764123366,754,1415043270,531,1000,402,289,27700
Colombia,293200,0,3460,24,0,6672,7880000,58747000,217,3208,2,10541500000,0,1.1678E+11,16,19190694,59041000000,7,0,26003000,14,0,11451000000,11290000000,320000,800000,150000,843002,4554000000,87782000000,2036000000,9.78024E+11,2141,35000,205379,0,6,23,4,1,0,1138910,153,436,257,24298295,233,49588357,662,110,72,86,24725
Croatia,14325,0,2848,0,0,2237,702000,0,10,5835,0,1176000000,0,55000000000,10,1564594,3176000000,0,0,1744000,16,1,2502000000,741456000,70000,11000,2000,53952,0,24919000000,71000000,1.59305E+11,2617,20100,26958,42,25,0,0,0,45,56594,384,67,37,2033557,30,4150116,40,42,28,0,4714
Cuba,45500,0,6864,0,4,29,2000,0,6,3735,1,4508784000,0,33066000000,11,4737328,10442000000,1,0,5317000,34,4,659434000,659434000,165000,34000,1145000,142558,0,70792000000,124000000,1.414E+11,8367,40000,60000,15,60,0,0,0,113,110860,65,31,13,5921661,19,10966038,123,130,3,4,240
Czechia,28000,0,6340,16,4,2046,40239000,37423000,0,0,0,6750000000,0,2.112E+11,12,4129236,1.48379E+11,0,0,5502000,0,0,7602000000,224725000,211000,4000,0,97541,3595000000,3964000000,15000000,5.19007E+11,9548,4200,55744,16,50,2,0,0,43,78867,0,99,42,5093808,0,10837890,243,0,17,10,664
Democratic Republic of the Congo,166580,0,916,6,8,10481,23000,0,16,37,0,796560000,0,4994000000,1,31389623,3898125000,0,0,35983000,3,0,380000,380000,26000,19000,10000,2538867,987999000,991090000,180000000,1.54012E+11,4007,31000,152373,25,8,0,0,0,105,2344858,24,46,32,39237029,16,115403027,272,60,1,6,15000
Denmark,20000,0,3856,4,0,140,1788000,0,9,7314,0,7225466250,0,5.555E+11,31,2126436,1.09371E+11,9,0,3180000,69,6,2208000000,1879000000,152000,63000,51000,77651,0,29534000000,441000000,4.28385E+11,2682,12000,74558,8,19,3,0,0,44,43094,715,117,34,2628180,50,5973136,99,0,41,4,400
Dominican Republic,50000,0,540,8,0,376,2188000,0,14,1288,0,810800000,0,27500000000,0,4034315,15547000000,0,0,5302000,17,0,2440000000,0,134000,0,30000,97343,0,0,0,2.61616E+11,496,0,19705,0,0,1,0,0,5,48320,40,79,50,4975294,34,10815857,32,11,17,11,0
Ecuador,41250,0,5204,0,0,2237,21000,0,5,2237,6,2376000000,0,44898000000,0,6738074,4442000000,2,0,8893000,6,0,309778000,309778000,225000,480000,1500,329580,24000000,10902000000,8273000000,2.60213E+11,965,118000,43950,24,5,8,2,0,54,283560,154,102,46,8422593,30,18309984,310,106,34,20,1500
Egypt,440000,0,41012,90,100,2612,3083000,289000,62,2450,7,5879500000,0,1.0375E+11,238,38269053,33070000000,13,2,33431000,31,17,60089000000,64817000000,851000,667000,300000,1668709,182000000,1.784E+12,3300000000,1.912E+12,5085,480000,65050,528,1056,11,8,0,3620,1001450,441,1093,348,45611372,150,111247248,73,962,345,61,3500
El Salvador,25000,0,1844,15,0,590,500,0,10,307,0,334620000,0,14258000000,0,2512278,3799434000,0,0,2870000,3,0,226472,0,58000,3,15000,145831,0,0,0,71957000000,13,10000,9012,0,0,0,0,0,0,21041,5,52,30,3181777,14,6628702,27,76,10,4,422
Eritrea,120000,0,860,0,6,1840,0,0,18,2234,0,198000000,0,635504500,1,1598677,225014976,0,0,1800000,2,0,0,0,4000,0,0,76127,0,0,0,9702000000,306,130000,16000,22,23,0,0,0,65,117600,9,20,13,2220385,23,6343956,10,75,1,5,0
Estonia,7700,0,1685,0,0,657,3000,0,4,3794,0,1463360000,0,26400000000,0,456028,2593000000,0,0,752000,20,4,354912000,0,28000,24000,10000,13132,0,0,0,57377000000,1441,78800,58412,0,36,0,0,0,0,45228,72,5,3,584958,8,1193791,26,0,3,2,335
Ethiopia,162000,0,7256,0,7,5925,660000,8000,0,0,0,2097575000,0,25761000000,25,35327989,3131288000,0,0,61664000,0,0,0,0,110000,0,0,2726657,0,24919000000,428000,3.54604E+11,659,0,120171,40,35,0,0,0,338,1104300,12,103,33,56904143,0,118550298,57,309,34,8,0
Finland,24000,0,11704,0,0,2563,4141000,808000,8,1250,0,6779661000,0,6.6E+11,54,1912981,16929000000,0,0,2880000,37,18,1157000000,0,175000,8000,53800,56264,0,0,0,3.21126E+11,5918,870000,454000,76,107,1,0,0,200,338145,282,163,27,2306830,264,5626414,98,667,77,11,8000
France,200000,1,110932,0,68,4072,12985000,2419000,20,4853,0,55000000000,11,6.9921E+12,226,23794358,2.40792E+11,11,3,31825000,66,17,37001000000,20132000,1554000,80000,150000,752121,160000000,7787000000,61719000,3.764E+12,27860,26000,1053215,9,96,44,9,16,215,643801,553,976,448,30084820,129,68374591,689,0,141,119,8501
Gabon,4800,0,424,0,0,3261,0,0,4,885,0,274820000,0,6280000000,6,532758,1568196000,0,0,763000,9,0,463000000,463000000,16000,204000,2500,46647,0,25995000000,2000000000,48201000000,649,0,14300,14,0,0,0,0,0,267667,87,24,15,932940,5,2455105,40,0,0,3,1600
Georgia,55000,0,3392,5,11,1814,516000,256000,31,310,0,495629055,0,13488000000,0,2225036,5002000000,0,0,1853000,3,4,2796000000,8760000,32000,300,0,93118,900999000,8495000000,35000000,83656000000,1363,152500,20295,42,67,0,0,0,123,69700,26,61,44,2744538,19,4900961,19,121,10,2,0
Germany,181600,0,83260,63,54,3694,186725000,138981000,0,2389,5,50000000000,0,6.23861E+12,129,30955829,3.227E+11,11,0,44784000,35,12,77516000000,4824000000,2052000,131000,0,841191,35900000000,23390000000,115200000,5.23E+12,39379,34000,830000,33,134,26,6,3,296,357022,595,584,309,38694786,61,84119100,838,0,35,50,7300
Ghana,15500,0,1824,0,0,2420,85000,0,27,539,0,308500000,0,22550000000,0,9961658,3624000000,0,0,14887000,4,0,3912000000,3192000000,110000,174000,0,622604,0,22653000000,660000000,2.29639E+11,947,0,65725,6,0,2,0,0,0,238533,52,19,10,14873310,28,34589092,11,6,5,2,1293
Greece,142700,0,61888,0,29,1110,13988000,13703000,39,13676,0,6500000000,0,5.5E+11,178,3985676,13608000000,13,0,4645000,57,7,5173000000,3284000,303000,5000,55000,104611,2876000000,991090000,10000000,3.7578E+11,2345,221350,117000,152,589,8,10,0,1344,131957,1215,558,293,4916713,192,10461091,81,698,81,15,6
Guatemala,106114,0,688,4,0,1667,1296000,0,20,400,0,408635000,0,27500000000,0,6279794,21311000000,0,0,7258000,3,0,2986000,3276000,115000,6000,35000,182552,0,0,86110000,2.23183E+11,800,90000,17440,0,0,0,0,0,5,108889,9,36,21,7484639,25,18255216,58,50,0,10,990
Honduras,52225,0,614,7,0,1575,190000,0,93,832,0,413635000,0,8805500000,4,3144632,7543000000,0,0,4676000,8,0,0,0,67000,20,23000,95292,0,0,0,68854000000,699,60000,14742,0,0,1,0,0,11,112090,489,40,8,4192843,98,9529188,129,32,10,10,465
Hungary,41600,0,7797,0,8,2106,6180000,5450000,0,0,0,4576000000,0,1.375E+11,12,3794462,45719000000,0,0,5006000,0,0,9485000000,1523000000,175000,36000,15000,118269,2909000000,3738000000,12100000,3.88906E+11,7687,20000,203601,0,24,0,0,0,209,103000,1,69,44,4632200,0,9855745,109,295,12,3,1622
Iceland,0,0,150,0,0,0,188000,0,0,4970,0,312400000,0,22000000000,0,50237,5809000000,0,0,239000,43,0,0,0,18000,0,0,1820,0,0,0,26155000000,0,0,12898,0,0,0,0,0,0,100250,39,0,0,83728,0,364036,83,0,0,0,0
India,1455550,2,148594,130,80,13888,1200000000,985671000,135,7000,18,75000000000,13,3.71021E+11,513,522786598,6.27793E+11,14,0,593729000,56,0,58867000000,33170000000,5049000,795000,2527000,23955181,1.11052E+11,1.381E+12,4605000000,1.3104E+13,65554,1155000,6371847,264,100,74,18,6,4201,3287263,1859,2229,899,662290299,293,1409128296,311,3975,351,270,14500
Indonesia,400000,0,20440,34,15,2958,202283000,659357000,211,54716,25,10600000000,0,4.4E+11,41,114595923,1.46359E+11,7,0,140931000,123,12,36061000000,57410000000,1728000,865000,250000,4786562,34869000000,1.408E+12,2480000000,3.906E+12,8159,400000,496607,63,153,17,4,1,331,1904569,11422,459,214,137965608,331,281562465,513,396,112,70,21579
Iran,610000,0,65825,21,13,5894,3531000,2791000,21,2440,3,15450000000,0,4134926000,188,41541860,1.206E+11,7,0,29159000,18,1,2.4489E+11,2.6328E+11,2136000,3985000,220000,1414191,1203000000,3.3987E+13,2.086E+11,1.44E+12,8484,350000,223485,1517,392,10,25,6,1713,1648195,965,551,128,49496685,107,88386937,173,2070,103,87,850
Iraq,193000,0,37288,36,39,3809,0,0,26,58,2,7923000000,0,45032500000,26,14308368,1.12233E+11,0,0,11812000,6,0,19298000000,9860000000,918000,4437000,100000,715418,0,3.729E+12,1.45019E+11,5.72939E+11,2272,0,59623,572,434,17,0,0,1025,438317,74,391,197,17675043,68,42083436,71,610,139,15,5279
Ireland,7765,0,1712,0,0,443,1322000,0,8,1448,0,1500000000,0,3.3E+12,0,1999182,12905000000,0,0,2766000,21,0,5280000000,1447000000,156000,600,0,57568,40000000,9911000000,0,6.08463E+11,1688,1700,99830,0,0,2,0,0,0,70273,94,22,8,2407392,8,5233461,100,0,8,4,956
Israel,170000,0,35985,38,48,1068,6476000,0,46,273,7,30500000000,0,1.485E+11,240,3281513,2.04661E+11,0,0,4554000,5,0,11510000000,22886000000,230000,15000,35000,131637,0,1.76018E+11,12730000,4.7103E+11,1497,465000,20391,183,352,19,5,14,1300,21937,41,611,147,3949099,62,9402617,37,171,159,13,0
