country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coal_consumption_mt,coal_production_cum,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,external_debt_usd,fighter_aircraft,fit_for_service,foreign_exchange_and_gold_reserves_usd,frigates,helicopter_carriers,labour_force,major_ports_and_terminals,mine_warfare_craft,natural_gas_consumption_cum,natural_gas_production_cum,oil_consumption_bbl,oil_production_bbl,paramilitary,population_reaching_military_age_annually,proven_coal_reserves_cum,proven_natural_gas_reserves_cum,proven_oil_reserves_bbl,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_merchant_marine_fleet,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km
Latvia,17250,0,1848,0,0,1370,20000,0,11,498,0,1138000000,0,44180400000,0,648449,4957000000,0,0,978000,5,6,828214000,0,35000,2000,12500,16211,0,0,0,71154000000,2216,36000,70244,0,47,0,0,0,0,64589,83,7,7,810561,18,1801246,56,0,0,0,300
Lebanon,60000,0,4538,9,0,484,207000,0,61,225,0,768250325,0,36928000000,0,1775644,26498095000,0,0,1771000,5,0,0,0,174000,0,65000,69738,0,0,0,65818000000,401,35000,21705,11,12,0,0,0,116,10400,51,80,68,2092148,64,5364482,8,353,9,0,0
Liberia,1500,0,300,0,0,1667,0,0,4,579,0,364800000,0,830923000,0,1913912,599660000,0,0,2499000,4,0,0,0,4000,0,5500,65247,0,0,0,8884000000,429,0,10600,0,0,0,0,0,0,111369,4821,0,0,2392390,4,5437249,99,0,0,0,0
Libya,32000,0,1816,1,4,4339,0,0,1,1770,1,3060000000,0,3322000000,10,3290485,92427000000,0,0,2398000,14,1,9212000000,11832000000,230000,1245000,100000,125141,0,1.505E+12,48363000000,1.21951E+11,2000,0,37000,25,15,0,0,0,43,1759540,96,143,16,3827857,5,7361263,66,28,38,6,0
Lithuania,23000,0,1263,0,0,1545,263000,0,7,90,0,2388900000,0,44000000000,0,1332490,6168000000,0,0,1510000,2,4,1601000000,0,68000,4000,14150,36795,0,0,12000000,1.32712E+11,1911,104000,84166,0,21,0,0,0,0,65300,59,9,4,1708321,14,2628186,65,54,0,5,441
Luxembourg,1000,0,182,0,0,327,62000,0,0,0,0,726092925,0,4.73E+12,0,92633,2977000000,0,0,352000,0,0,594240000,0,51000,0,0,3356,0,0,0,88533000000,271,0,2875,0,0,0,0,0,0,2586,147,1,0,154388,0,671254,3,0,0,1,37
Madagascar,13500,0,158,0,0,0,511000,0,4,4828,0,112210000,0,3028500000,0,7952233,2632000000,0,0,15830000,13,0,0,0,19000,0,8100,559602,150000000,0,0,51255000000,836,0,31640,0,0,0,0,0,6,587040,29,5,5,11192031,6,29452714,91,9,0,0,600
Malaysia,113000,0,13506,12,0,2742,35050000,3731000,71,4675,6,4800000000,0,2.475E+11,26,13480276,1.13438E+11,2,0,17308000,35,4,42499000000,75456000000,717000,582000,100000,553037,226000000,1.189E+12,3600000000,1.152E+12,1851,51600,144403,36,0,6,2,4,48,329847,1750,135,45,16245461,100,34564810,102,196,31,16,7200
Mali,40000,0,570,12,8,7908,0,0,0,0,0,650386000,0,4057500000,9,4288168,647800000,0,0,8277000,0,0,0,0,46000,0,4800,351850,0,0,0,57235000000,593,0,139107,20,0,1,0,0,10,1240192,0,43,10,6817088,0,21990607,30,10,4,7,1800
Mauritania,31540,0,628,4,0,5002,0,0,6,754,0,261250000,0,3661000000,0,1181555,2629290500,0,0,1179000,2,0,0,0,29000,0,5000,82233,0,28317000000,20000000,30395000000,728,66000,12253,0,0,2,0,0,25,1030700,11,24,4,1687936,6,4328040,25,75,7,7,1086
Mexico,412000,0,19658,33,0,4389,18423000,7453000,140,9330,3,7600000000,5,3.71359E+11,3,49811912,2.14317E+11,1,0,60042000,35,0,90566000000,31422000000,1737000,2101000,120000,2222579,1211000000,1.80322E+11,5786000000,2.873E+12,23389,98655,704884,0,20,25,0,0,0,1964375,674,433,178,61447766,167,130739927,1485,70,176,41,2900
Moldova,8500,0,500,0,0,1885,120000,0,0,0,0,1710000000,0,4565500000,0,1792565,5453000000,0,0,1464000,0,0,2344000000,10000,22000,0,2000,71991,0,0,0,38969000000,1171,67000,9352,11,9,0,0,0,0,33851,75,3,2,2159717,0,3599528,11,67,0,1,558
Mongolia,35000,0,2560,0,0,8082,6393000,28276000,0,0,0,165110000,0,19542500000,0,1552233,4782000000,0,0,1403000,0,0,0,0,36000,15000,50000,62352,2520000000,0,0,56264000000,1815,135000,113200,130,0,0,0,0,420,1564116,318,7,2,1870555,0,3281676,35,500,2,3,580
Montenegro,2350,0,471,0,0,680,1517000,1734000,2,294,0,148100000,0,2958500000,0,85179,1574000000,0,0,286000,4,0,0,0,8000,0,5500,3599,337000000,0,0,17115000000,250,0,7762,12,0,0,0,0,0,13812,18,11,11,143964,14,599849,5,12,0,0,0
Morocco,195800,0,7877,0,0,2363,11940000,0,105,1835,1,13400000000,0,45645000000,83,15254135,36328000000,6,0,12284000,12,0,243201000,82595000,318000,25,50000,635589,96000000,1444000000,684000,3.3748E+11,2067,150000,57300,129,396,4,0,2,903,715550,94,260,78,17946041,111,37387585,49,153,75,31,0
Mozambique,11200,0,872,0,2,4783,11000,9015000,33,2470,0,412400000,0,12100000000,8,7770772,3515000000,0,0,15191000,11,0,1347000000,5388000000,40000,0,3000,533615,1792000000,2.832E+12,0,50631000000,4787,0,31083,6,0,1,0,0,30,799380,36,22,8,14674420,33,33350954,92,52,1,4,460
Myanmar,150000,0,5980,26,9,6522,1453000,1268000,146,1930,3,2948000000,0,7253400000,58,21975367,8590400000,6,0,22884000,7,2,3788000000,16780000000,148000,7000,55000,1035489,252000000,6.37129E+11,139000000,2.90507E+11,5031,20000,157000,180,95,5,3,0,445,676578,101,317,83,30489384,232,57527139,73,210,119,30,12800
Namibia,13000,0,2094,0,2,4220,32000,0,12,1572,2,370500000,0,8800000000,11,400923,2956000000,0,0,989000,2,0,0,0,25000,0,5000,30840,350000000,62297000000,0,29944000000,2628,0,48875,25,0,0,0,0,4,824292,15,34,7,616805,15,2803660,255,25,14,3,0
Nepal,95000,0,1108,0,0,3159,1095000,15000,0,0,0,409100000,0,5838500000,0,11733140,12456000000,0,0,8937000,0,0,0,0,62000,0,15000,778060,8000000,0,0,1.4431E+11,59,0,27990,0,0,0,0,0,0,147181,0,15,10,15249970,0,31122387,51,14,0,5,0
Netherlands,41380,0,2755,0,12,1053,10610000,1825000,4,451,0,27000000000,0,4.77995E+12,32,6486918,69830000000,6,0,9999000,18,4,33243000000,17774000000,872000,70000,5000,195496,3247000000,1.32608E+11,137747000,1.24E+12,3055,6765,139124,2,46,0,3,0,18,41543,1187,120,63,7997570,64,17772378,45,0,21,4,6237
New Zealand,8670,0,2114,0,0,0,2441000,3036000,4,15134,0,3030000000,0,2.09683E+11,0,1775457,15487000000,2,0,3068000,22,0,3819000000,3770000000,154000,12000,300,61935,7575000000,31149000000,40993000,2.5477E+11,4128,3250,94000,0,0,6,0,0,0,268838,117,48,21,2219321,8,5161211,202,31,13,8,0
Nicaragua,45000,0,1869,0,0,1253,0,0,23,910,0,92000000,0,9053000000,0,2777610,5447000000,0,0,3264000,5,0,0,0,36000,200,5500,146893,0,0,0,51088000000,0,0,23897,0,0,0,0,0,89,130370,5,17,11,3271705,23,6676948,39,0,1,5,2220
Niger,25000,0,456,2,1,5834,457000,457000,0,0,0,336400000,0,3844000000,0,5294900,1442772000,0,0,10237000,0,0,29858000,29509000,13000,6000,5000,447827,90000000,0,150000000,44561000000,0,0,18949,0,0,2,0,0,0,1267000,0,26,13,7902835,0,26342784,26,0,0,7,300
Nigeria,230000,0,8962,24,15,4477,3044000,3043000,109,853,0,3160000000,0,32455500000,14,90437404,41349000000,1,0,75721000,28,2,20719000000,39951000000,515000,1541000,50000,4261448,2144000000,5.761E+12,36890000000,1.275E+12,3798,0,195000,37,40,11,0,0,330,923768,928,163,66,125475979,133,236747130,47,339,28,23,8600
North Korea,1320000,0,18288,114,20,1607,21747000,21747000,155,2495,4,4736000000,0,5500000000,368,5312331,5500000000,2,0,15837000,10,1,0,0,17000,0,100000,420779,10600000000,0,0,72000000000,7435,560000,25554,1500,1300,0,13,0,4344,120538,264,861,205,9467520,207,26298666,83,700,173,1,2250
North Macedonia,9000,0,1108,0,4,838,5776000,5075000,0,0,0,388421700,0,11000000000,0,783773,5015000000,0,0,801000,0,0,274928000,0,22000,0,3500,27763,332000000,0,0,42444000000,699,60000,14182,17,0,0,0,0,20,25713,0,20,10,948216,0,2135622,13,150,10,0,0
Norway,23250,0,6552,32,0,2566,1201000,117000,18,25148,6,9710000000,0,7.16144E+11,0,1807192,80459000000,4,0,3009000,141,5,4548000000,1.23727E+11,229000,2020000,40000,71627,2000000,1.54446E+12,8122200000,4.99528E+11,3848,0,94902,0,42,5,6,0,44,323802,1720,97,33,2203893,43,5509733,145,0,23,4,1577
Oman,42600,0,4084,10,0,1561,31000,0,12,2092,5,8200000000,0,50897000000,29,1291559,17455000000,0,0,2316000,7,0,27364000000,40754000000,211000,1056000,10000,50726,0,6.51287E+11,5375000000,1.8596E+11,0,100000,60230,0,24,4,0,0,150,309500,57,128,31,1482757,22,3901992,36,140,45,9,0
Pakistan,654000,0,17516,90,57,7257,34027000,12712000,69,1046,9,7640000000,0,92426000000,328,85803614,13730000000,9,0,80990000,3,3,46448000000,36937000000,473000,101000,500000,4794908,3064000000,5.92219E+11,540000000,1.347E+12,11881,550000,264175,600,662,27,8,4,2627,796095,60,1399,373,108516336,121,252363571,116,2629,565,64,0
Panama,0,0,262,0,0,687,837000,0,27,2490,0,917202000,0,1.11553E+12,0,1206965,6757000000,0,0,2096000,12,0,389611000,0,146000,0,80000,53643,0,0,0,1.59867E+11,77,0,11978,0,0,2,0,0,0,75420,8174,38,23,2011608,30,4470241,76,0,0,13,800
Paraguay,15650,0,1108,0,0,4655,1000,0,63,0,0,17595000000,0,14370000000,0,3001497,9886000000,0,0,3469000,1,0,0,0,57000,2000,15000,150451,0,0,0,1.08022E+11,30,168500,78811,0,0,1,0,0,0,406752,108,39,14,3535598,72,7522549,83,25,13,11,3100
Peru,120000,0,6560,22,16,7062,712000,153000,13,2414,8,3420000000,0,59400000000,15,12681497,71394000000,7,0,18529000,20,0,7185000000,12270000000,210000,118000,60000,619405,1567000000,3.00159E+11,858890000,5.17644E+11,1855,385000,18699,49,12,12,4,0,240,1285216,111,256,111,15648120,71,32600249,166,290,72,38,8808
Philippines,150000,0,11878,25,2,0,37130000,14483000,58,36289,1,4380000000,0,90200000000,0,41751803,1.03742E+11,2,0,49477000,70,0,2251000000,2251000000,453000,10000,35000,2128987,361000000,98543000000,138500000,1.138E+12,77,1200000,216387,0,12,8,0,0,10,300000,2203,202,122,50859137,113,118277063,246,294,23,26,3219
Poland,202100,0,23138,44,29,2845,123782000,116682000,3,440,2,48700000000,0,3.86947E+11,59,15576017,1.93783E+11,2,0,18387000,10,26,20056000000,5551000000,722000,24000,50000,464956,28531000000,91492000000,113000000,1.616E+12,19461,350000,420000,196,677,11,1,0,614,312685,152,479,216,18985692,62,38746310,288,0,105,49,3997
Portugal,24000,0,10828,0,0,1224,0,0,20,1793,2,4627000000,0,3.99395E+11,28,4096295,53710000000,5,0,5140900,18,0,4500000000,0,191000,12932,24700,127677,40000000,72000000000,22440000,5.29901E+11,3622,211700,136635,0,24,14,2,3,34,92090,996,115,31,5319863,194,10639726,136,115,23,19,764
Qatar,66550,0,5024,6,24,87,0,0,105,563,4,9432000000,0,1.87E+11,102,490001,51539000000,0,0,2035000,6,0,41515000000,1.69595E+11,297000,1815000,5500,12760,0,2.3861E+13,25244000,3.04973E+11,0,15000,7039,16,46,0,0,0,99,11586,123,251,80,638022,115,2552088,8,12,51,12,0
Republic of the Congo,8500,0,644,0,1,5008,0,0,0,169,0,306400000,0,5741000000,2,1353682,715391000,0,0,2461000,5,0,423000000,423000000,12000,267000,2500,115856,0,2.8399E+11,2885000000,38163000000,510,0,23324,30,2,0,0,0,30,342000,11,13,7,2256136,4,6097665,56,38,0,4,1120
Romania,81300,0,10774,0,0,2844,19404000,18160000,3,225,7,9700000000,0,1.32E+11,21,7731114,73000000000,3,0,8282000,11,5,10055000000,9501000000,221000,67000,15000,199630,291000000,1.0548E+11,600000000,7.72107E+11,10628,55000,84185,243,0,2,0,0,328,238391,127,140,65,9437041,20,18148155,82,720,44,14,1731
Russia,1320000,1,131527,689,557,22407,310958000,508190000,123,37653,83,1.26E+11,10,3.17651E+11,833,46189226,5.97217E+11,12,0,72408000,67,47,4.72239E+11,6.1783E+11,3684000,10727000,250000,1267387,1.62166E+11,4.7805E+13,80000000000,5.816E+12,85494,2000000,1283387,3005,5168,141,63,19,5750,17098242,2910,4292,1651,69002197,419,140820810,904,8505,611,456,102000
Saudi Arabia,257000,0,19040,81,34,4272,164000,0,9,2640,9,74760000000,0,2.2561E+11,283,17468238,4.57949E+11,7,0,16934000,16,3,1.2187E+11,1.2187E+11,3649000,11113000,150000,621255,0,9.423E+12,2.586E+11,1.831E+12,5410,0,221372,321,332,16,0,22,840,2149690,433,917,264,19003104,32,36544431,86,467,202,49,0
Senegal,17000,0,1740,0,5,2684,502000,0,4,531,0,465150000,0,11326000000,0,4089912,889295000,0,0,5257000,6,0,54498000,54646000,55000,9000,0,395798,0,0,0,77382000000,906,0,16665,6,0,1,0,0,0,196722,36,40,20,7162057,4,18847519,19,20,23,5,1000
Serbia,25000,0,3683,17,4,2322,38297000,35129000,7,0,0,2287461000,0,35200000000,11,2574406,27569000000,0,0,3333000,0,5,2939000000,353376000,82000,13000,600000,79827,7514000000,48139000000,77500000,1.62213E+11,3333,2000,44248,98,90,0,0,0,262,77474,0,110,46,3259584,20,6652212,43,150,33,3,587
Sierra Leone,13000,0,150,0,0,1093,0,0,7,402,0,228600000,0,2687000000,0,1203978,495699000,0,0,2913000,3,0,0,0,9000,0,0,45605,0,0,0,14633000000,0,0,11701,0,0,0,0,0,0,71740,584,1,1,2006631,7,9121049,8,0,0,0,800
Singapore,51000,0,8998,0,18,0,784000,0,12,193,6,15000000000,0,1.71341E+12,100,2628408,3.59835E+11,6,0,3619000,5,4,13724000000,0,1470000,0,12000,66313,0,0,0,7.54758E+11,0,252500,3500,24,48,9,6,11,170,719,3202,230,70,3918498,50,6028459,9,89,36,9,0
Slovakia,19500,0,3074,0,0,1587,5794000,2343000,0,0,0,2656000000,0,1.276E+11,2,2353424,11288000000,0,0,2823000,0,0,60424000,52556000,94000,7000,0,61200,19000000,14158000000,9000000,2.13053E+11,3627,0,56926,25,35,1,0,0,45,49035,0,41,22,2837461,0,5563649,114,9,9,7,172
Slovenia,7300,0,1428,0,0,1211,2553000,2358000,2,47,0,886860000,0,55000000000,0,826570,2370000000,0,0,1055000,2,0,840902000,3863000,45000,0,5000,22867,95000000,0,0,1.02036E+11,1207,26000,38985,0,0,0,0,0,54,20273,8,39,16,1006989,2,2097893,42,18,23,4,710
Somalia,15000,0,682,0,0,2385,0,0,10,3025,0,171002350,0,5830000000,0,1796384,16747500,0,0,3277000,6,0,0,0,6000,0,2000,130173,0,5663000000,0,26351000000,0,0,15000,0,0,0,0,0,0,637657,4,0,0,2993973,10,13017273,38,0,0,0,0
South Africa,71235,0,18692,0,10,5244,176148000,245467000,33,2798,0,2266800000,0,58773000000,2,14989776,62492000000,4,0,25158000,8,2,4487000000,59128000,601000,95000,50000,1027525,9893000000,0,15000000,8.62981E+11,20986,29350,750000,101,49,0,3,0,252,1219090,110,182,87,27803618,49,60442647,575,134,81,12,0
South Korea,600000,0,58880,98,111,237,136413000,15595000,35,2413,5,46300000000,13,5.0352E+11,315,21353538,4.2093E+11,17,2,29611000,15,14,59480000000,55127000,2452000,38000,120000,416654,326000000,7079000000,0,2.615E+12,3979,3100000,100428,426,3270,36,22,4,2236,99720,2149,1592,807,26040900,227,52081799,89,4400,318,41,1600
South Sudan,185000,0,1950,0,6,6018,0,0,0,0,0,175300000,0,2475000000,0,4065188,183615000,0,0,4471000,0,0,0,0,14000,146000,0,330297,0,0,3750000000,20010000000,248,0,90200,15,24,0,0,0,30,644329,0,20,15,6351857,0,12703714,82,0,0,5,0
Spain,133282,1,17626,12,17,1953,8255000,1293000,22,4964,0,23397000000,0,2.57274E+12,137,17635602,1.03089E+11,11,0,24108000,52,6,32833000000,41009000,1269000,47000,78470,330963,1187000000,2549000000,150000000,2.242E+12,15489,15150,683175,0,95,8,2,0,317,505370,503,461,153,21748999,152,47280433,363,287,140,51,1000
Sri Lanka,346000,0,3190,0,9,0,2084000,0,59,1340,0,1265400000,0,46409500000,5,8551235,3450700000,5,0,8707000,6,0,0,0,121000,0,0,307757,0,0,0,2.87132E+11,1562,90000,114093,28,0,3,0,0,44,65610,96,85,55,10551652,270,21982608,18,96,8,14,160
Sudan,92000,0,2900,27,35,6819,0,0,6,853,0,342000000,0,37846000000,37,17108407,206763700,0,0,13590000,4,0,0,0,127000,68000,17500,1312149,0,84951000000,1250000000,1.36039E+11,7251,85000,31000,192,100,0,0,0,224,1861484,14,165,64,26747657,6,50467278,41,287,15,13,4068
Suriname,2000,0,650,0,0,1907,0,0,17,386,0,144000000,0,2200000000,0,84079,1346000000,0,0,250000,4,0,6967000,7109000,15000,14000,200,3234,0,0,89000000,11824000000,0,0,4304,0,0,0,0,0,0,163820,13,3,3,142287,17,646758,55,0,0,0,1200
Sweden,24400,0,6795,0,0,2211,3396000,1115000,179,3218,7,13000000000,0,1.00245E+12,71,3558185,60863000000,0,0,5825000,92,8,889924000,0,283000,11000,25000,105898,5000000,0,0,6.76353E+11,10910,32900,573134,0,26,5,4,1,110,450295,361,169,53,4235934,308,10589835,203,0,33,6,2052
Switzerland,101584,0,6996,0,0,1770,161000,0,0,0,0,25039000000,0,2.2E+12,43,3163225,8.63892E+11,0,0,4991000,0,0,3138000000,0,193000,300,5000,97466,0,0,0,7.33779E+11,5296,49715,71557,0,133,3,0,0,205,41277,17,146,40,3898653,0,8860574,62,0,44,16,1292
Syria,170000,0,11148,9,14,2363,47000,0,16,193,0,291850000,0,4309500000,104,13245310,341962500,0,0,6315000,3,4,3084000000,3085000000,138000,75000,50000,668232,0,2.40693E+11,2500000000,55935900000,2052,50000,69873,204,90,1,0,0,365,187437,24,207,77,15273871,27,23865423,39,641,15,3,900
Taiwan,215000,0,19921,0,91,0,66855000,5608000,37,1566,7,19740000000,4,2.09E+11,285,1061787,4.92635E+11,22,0,11498000,8,14,21157000000,63747000,1022000,800,55000,306739,1000000,6230000000,2380000,1.2573E+12,1613,2310000,43206,234,488,18,4,0,888,35980,465,761,236,12269542,97,23595274,53,1360,232,19,0
Tajikistan,9500,0,1240,0,6,4130,2245000,2175000,0,0,0,446000000,0,7150000000,0,3773045,2748900000,0,0,2677000,0,0,85567000,18476000,28000,300,20000,176699,4075000000,5663000000,12000000,46467000000,680,600000,30000,20,3,0,0,0,38,144100,0,25,20,4781269,0,10394063,19,13,4,1,200
Tanzania,27000,0,1072,0,0,4161,802000,2511000,10,1424,0,1406745334,0,18983500000,14,6678750,5693050000,0,0,31219000,8,0,1808000000,1808000000,58000,0,6500,607159,1410000000,6513000000,0,2.3405E+11,4097,80000,145203,0,0,0,0,0,62,947300,381,39,12,12143182,12,67462121,206,0,7,6,0
Thailand,360850,0,16935,20,7,5673,36030000,13642000,49,3219,6,5887883500,0,1.02694E+11,72,27968399,2.2447E+11,7,1,40814000,21,5,48898000000,30797000000,1248000,386000,25000,1118736,1063000000,1.38243E+11,252750000,1.516E+12,4127,200000,180053,26,50,26,0,0,635,513120,884,493,258,36358919,293,69920998,108,589,135,54,4000
Tunisia,89800,0,7913,0,0,1495,2000,0,51,1148,0,1400000000,0,27084500000,10,5181004,9240000000,0,0,4445000,16,0,5153000000,1323000000,108000,35000,12000,204830,0,65129000000,425000000,1.53637E+11,2173,0,20000,0,0,4,0,0,90,163610,72,154,101,6024424,58,12048847,14,85,28,11,0
Turkiye,355200,0,61173,0,111,2816,123976000,88746000,41,7200,9,47000000000,0,2.94441E+11,201,36087279,1.40858E+11,17,1,35071000,54,11,2887000000,379701000,1077000,83000,150000,1430032,11525000000,3794000000,366000000,2.936E+12,11497,378700,67333,296,1038,28,13,7,2238,783562,1170,1083,508,42985080,182,84119531,115,1707,287,84,1200
Turkmenistan,36500,0,5016,27,10,4158,0,0,16,1768,0,1078020000,0,2134500000,24,2245963,23415400000,0,0,2163000,0,0,41561000000,86472000000,152000,272000,3500,109139,800000000,1.1327E+13,600000000,94790000000,5113,0,58592,164,73,0,0,0,654,488100,73,91,26,2768681,16,5744151,23,450,9,5,1300
Uganda,45000,0,3862,0,6,2729,0,0,0,0,0,985400000,0,11818000000,6,9905891,3506500000,0,0,18881000,0,0,0,0,43000,0,10000,985661,800000000,14158000000,2500000000,1.35668E+11,1244,0,20544,12,6,0,0,0,259,241038,0,51,30,16756234,0,49283041,39,26,12,0,0
Ukraine,900000,0,18920,36,39,5581,10953000,4248000,33,2782,0,53700000000,0,1.32E+11,70,12731272,40510000000,0,0,20312000,26,3,22856000000,18725000000,248000,3000,100000,392280,34375000000,1.104E+12,395000000,5.59981E+11,21733,1200000,169694,279,658,3,0,0,1114,603550,410,324,136,18187531,89,35661826,148,615,73,24,1672
United Arab Emirates,65000,0,8707,16,30,1066,3273000,0,34,1318,11,2212360382,0,2.64E+11,99,4945881,1.89491E+11,0,0,6668000,20,2,66091000000,56683000000,939000,4146000,12000,80258,0,6091000000,97800000000,7.19733E+11,0,130000,4080,49,165,27,0,4,354,83600,655,551,247,5818684,181,10032213,42,99,147,37,0
United Kingdom,184860,2,38200,31,37,443,8568000,1891000,26,12429,0,71500540000,6,9.59375E+12,113,25192932,1.77915E+11,8,0,35275000,185,7,70141000000,37758000000,1397000,753000,0,753050,26000000,1.80661E+11,2500000000,3.7E+12,16390,924000,394428,29,71,28,9,9,227,243610,868,631,266,31491165,109,68459055,1043,126,203,29,3200
United States,1328000,11,391963,889,1002,12002,476044000,548849000,0,19924,26,8.95E+11,81,2.23035E+13,1790,124816644,7.73426E+11,0,9,170549000,666,8,9.14301E+11,1.029E+12,20245000,20879000,0,4445524,2.48941E+11,1.3402E+13,38212000000,2.4662E+13,293564,799500,6586610,641,671,647,70,605,4640,9833517,3533,13043,5843,150463900,440,341963408,15873,1212,2647,918,41009
Uruguay,25000,0,3042,6,0,1591,18000,0,2,660,0,772400000,0,49500000000,0,1322177,16257000000,0,0,1775000,8,2,86037000,0,52000,400,5000,54805,0,0,0,1.05096E+11,1673,0,77732,4,6,5,0,2,31,176215,58,43,12,1575652,14,3425330,64,70,12,6,1600
Uzbekistan,48000,0,2970,13,34,6893,7396000,5356000,0,420,0,2803500000,0,19652500000,58,15959499,34558000000,0,0,14270000,0,0,43227000000,47500000000,91000,64000,20000,730412,1375000000,1.841E+12,594000000,3.19174E+11,4642,0,86496,108,147,0,0,0,340,447400,0,192,101,18990708,0,36520593,74,236,7,13,1100
Venezuela,109000,0,8802,0,10,5267,82000,197000,25,2800,0,4093120000,0,1.1033E+11,30,12812625,10095500000,1,0,11548000,31,0,17696000000,17696000000,367000,761000,220000,625006,730999000,5.674E+12,3.03806E+11,2.95975E+11,447,8000,96189,36,48,3,1,1,172,912050,272,229,88,15625153,34,31250306,502,100,75,49,7100
Vietnam,600000,0,11912,32,0,4616,83116000,43614000,35,3444,16,8594000000,0,1.1E+11,41,45053323,97955500000,9,0,56149000,16,8,7676000000,7676000000,494000,187000,250000,1797903,3360000000,6.99426E+11,4400000000,1.354E+12,2600,5000000,195468,474,40,3,9,0,1374,331210,1973,246,101,54994667,110,105758975,42,535,60,9,47130
Yemen,66700,0,550,12,7,1601,165000,0,12,1906,1,810375000,0,6343500000,27,9031464,923361750,0,0,6883000,10,1,189432000,189432000,60000,15000,20000,610668,0,4.78555E+11,3000000000,67003300000,0,0,71300,10,0,0,0,0,0,527968,30,84,30,12213368,33,32140443,36,15,15,2,0
Zambia,15150,0,424,0,0,6043,823000,831000,0,0,0,394240000,0,13200000000,0,4139024,2861000000,0,0,7051000,0,0,0,0,34000,0,1200,374384,944999000,0,0,76493000000,3126,0,67671,25,12,0,0,0,35,752618,2,77,32,7279691,0,20799116,119,30,34,13,0
Zimbabwe,29000,0,828,0,6,3229,4479000,3877000,0,0,0,530800000,0,11000000000,13,3721626,115530000,0,0,6561000,0,0,0,0,29000,800,21800,360157,502000000,0,0,58583000000,3427,0,97267,0,0,0,0,0,15,390757,0,95,28,6517134,0,17150352,144,0,40,14,0
