country,power_rank,power_index,population,total_military_personnel,active_personnel,reserve_personnel,aircraft,helicopters,tanks,naval_assets,defense_budget,total_assets,assets_per_capita,power_index_rank_gap,budget_per_soldier,budget_per_capita,continent,is_nato
South Africa,40,0.6843,60442647,27803618,68731,29350,181,87,248,63,2877000000,579,9.579328979420773e-06,39,103.47574189805083,47.59884192365037,Other,0
Philippines,41,0.6993,118277063,50859137,160000,1500000,204,130,18,127,6571641011,479,4.049813107043417e-06,40,129.21259381573856,55.56141524244646,Other,0
Malaysia,42,0.7379,34564810,16245461,113000,51600,132,45,48,100,5100000000,325,9.402626544164426e-06,41,313.9338428130787,147.5489088468879,Other,0
Colombia,43,0.7551,49588357,24298295,429000,998000,430,255,0,213,15800000000,898,1.810908959939931e-05,42,650.2513859511541,318.6231800339745,Other,0
Iraq,44,0.8115,42083436,17675043,193000,0,360,183,1188,67,8000000000,1798,4.2724648244026464e-05,43,452.61558911058944,190.09854613582408,Other,0
Denmark,45,0.8198,5973136,2628180,21000,12000,122,34,44,50,14250000000,250,4.1854061250237734e-05,44,5422.0030591511995,2385.6814912635505,Other,1
Switzerland,46,0.8396,8860574,3898653,147178,0,141,39,134,0,8372658426,314,3.543788472394678e-05,45,2147.577233983122,944.9340895973556,Other,0
Ethiopia,47,0.8525,118550298,56904143,503000,138000,104,33,338,0,3720968976,475,4.006738135740494e-06,46,65.39012416020394,31.38725957483464,Other,0
Finland,48,0.8673,5626414,2306830,24000,870000,162,27,200,165,8890000000,554,9.846413719289054e-05,47,3853.7733599788453,1580.0472556765285,Other,1
Chile,49,0.8704,18664652,8959033,80000,40000,274,86,386,130,6800000000,876,4.693363690895496e-05,48,759.0104869576884,364.325035366317,Other,0
Peru,50,0.8827,32600249,15648120,120000,386000,252,112,355,78,2552000000,797,2.4447666028563157e-05,49,163.0866838955734,78.28161067113322,Other,0
Venezuela,51,0.9106,31250306,15625153,109000,8000,224,85,282,41,6060000000,632,2.0223801968531123e-05,50,387.836202307907,193.9181011539535,Other,0
