fighterJS,attackJS,transportJS,trainerJS,specialJS,tankerJS,helicopterJS,attackheloJS,tanksJS,afvJS,spgJS,artilleryJS,mlrsJS,accarrierJS,helocarrierJS,destroyerJS,frigateJS,corvetteJS,subJS,patrolJS,mineJS,Country
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,84,0,0,0,,,,,,,,,Bhutan
43.0,38.0,109.0,133.0,25.0,0.0,191.0,0.0,294,22464,109,412,38,0.0,1.0,0.0,6.0,2.0,4.0,23.0,3.0,Brazil
104.0,9.0,3.0,15.0,1.0,0.0,77.0,14.0,365,11148,90,641,204,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,Syria
66.0,0.0,28.0,95.0,33.0,6.0,145.0,0.0,74,21704,0,0,0,0.0,0.0,0.0,12.0,0.0,4.0,24.0,0.0,Canada
63.0,25.0,19.0,26.0,0.0,0.0,65.0,12.0,350,7736,126,194,287,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,Kazakhstan
0.0,0.0,13.0,34.0,0.0,0.0,32.0,0.0,35,424,12,30,25,,,,,,,,,Zambia
100.0,0.0,9.0,36.0,9.0,11.0,70.0,18.0,170,8998,48,89,24,0.0,0.0,0.0,6.0,6.0,6.0,12.0,4.0,Singapore
54.0,0.0,11.0,77.0,1.0,0.0,27.0,0.0,200,11704,107,667,76,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,Finland
283.0,81.0,49.0,202.0,16.0,22.0,264.0,34.0,840,19040,332,467,321,0.0,0.0,0.0,7.0,9.0,0.0,9.0,3.0,Saudi Arabia
89.0,67.0,30.0,162.0,23.0,8.0,392.0,37.0,200,73480,64,108,21,2.0,0.0,3.0,10.0,0.0,8.0,19.0,10.0,Italy
0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0,1263,21,54,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,Lithuania
3.0,33.0,41.0,176.0,25.0,0.0,178.0,0.0,0,19658,20,70,0,0.0,0.0,5.0,1.0,3.0,0.0,140.0,0.0,Mexico
0.0,15.0,4.0,10.0,0.0,0.0,30.0,0.0,0,1844,0,76,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,El Salvador
102.0,6.0,12.0,51.0,0.0,0.0,80.0,24.0,99,5024,46,12,16,0.0,0.0,0.0,0.0,4.0,0.0,105.0,0.0,Qatar
0.0,32.0,4.0,23.0,5.0,0.0,33.0,0.0,44,6552,42,0,0,0.0,0.0,0.0,4.0,6.0,6.0,18.0,5.0,Norway
0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,46,1796,0,50,135,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,Albania
0.0,3.0,2.0,0.0,2.0,0.0,18.0,5.0,0,491,0,8,9,,,,,,,,,Burkina Faso
31.0,4.0,4.0,41.0,3.0,0.0,34.0,0.0,44,3856,19,0,8,0.0,0.0,0.0,9.0,0.0,0.0,9.0,6.0,Denmark
30.0,0.0,49.0,75.0,3.0,1.0,88.0,10.0,172,8802,48,100,36,0.0,0.0,0.0,1.0,0.0,1.0,25.0,0.0,Venezuela
